"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"15"	"MH705134|MH705134"	9508	9621	"+"	15	37.4745	24	0.00104986	450	564	9508	1	1	75	75	5	117	9792	10359	"M30502|HIV2BEN"	24	23	TRUE	"M30502|HIV2BEN"	450	564	115	"*"	117	10359
"3"	"MH705134|MH705134"	9055	9324	"+"	3	117.296	80	9.55872e-28	9412	9684	9055	1	1	179	179	3	273	9792	10359	"M30502|HIV2BEN"	80	22	TRUE	"M30502|HIV2BEN"	9412	9684	273	"*"	273	10359
"14"	"MH705134|MH705134"	8399	8462	"+"	14	38.8999	25	0.000390693	8858	8921	8399	1	1	47	47	2	65	9792	10359	"M30502|HIV2BEN"	25	20	TRUE	"M30502|HIV2BEN"	8858	8921	64	"*"	65	10359
"6"	"MH705134|MH705134"	8114	8382	"+"	6	73.1091	49	1.94394e-14	8552	8820	8114	1	1	169	169	8	273	9792	10359	"M30502|HIV2BEN"	49	19	TRUE	"M30502|HIV2BEN"	8552	8820	269	"*"	273	10359
"4"	"MH705134|MH705134"	7805	8077	"+"	4	101.617	69	5.04313e-23	8254	8527	7805	1	1	179	179	7	277	9792	10359	"M30502|HIV2BEN"	69	18	TRUE	"M30502|HIV2BEN"	8254	8527	274	"*"	277	10359
"19"	"MH705134|MH705134"	7402	7431	"+"	19	34.6238	22	0.00758101	7867	7896	7402	1	1	26	26	NA	30	9792	10359	"M30502|HIV2BEN"	22	17	TRUE	"M30502|HIV2BEN"	7867	7896	30	"*"	30	10359
"13"	"MH705134|MH705134"	6368	6430	"+"	13	41.7507	27	5.41054e-05	6779	6841	6368	1	1	45	45	NA	63	9792	10359	"M30502|HIV2BEN"	27	16	TRUE	"M30502|HIV2BEN"	6779	6841	63	"*"	63	10359
"12"	"MH705134|MH705134"	5927	6083	"+"	12	44.6014	29	7.49282e-06	6554	6704	5927	1	1	101	101	8	158	9792	10359	"M30502|HIV2BEN"	29	15	TRUE	"M30502|HIV2BEN"	6554	6704	151	"*"	158	10359
"10"	"MH705134|MH705134"	5601	5836	"+"	10	57.4299	38	1.02557e-09	6264	6499	5601	1	1	142	142	4	238	9792	10359	"M30502|HIV2BEN"	38	14	TRUE	"M30502|HIV2BEN"	6264	6499	236	"*"	238	10359
"1"	"MH705134|MH705134"	2285	5077	"+"	1	1221.97	855	0	2638	5427	2285	1	1	1871	1871	41	2812	9792	10359	"M30502|HIV2BEN"	855	13	TRUE	"M30502|HIV2BEN"	2638	5427	2790	"*"	2812	10359
"5"	"MH705134|MH705134"	1992	2129	"+"	5	94.4898	64	7.06639e-21	2267	2404	1992	1	1	101	101	NA	138	9792	10359	"M30502|HIV2BEN"	64	10	TRUE	"M30502|HIV2BEN"	2267	2404	138	"*"	138	10359
"2"	"MH705134|MH705134"	1273	1921	"+"	2	302.596	210	1.48214e-83	1557	2205	1273	1	1	443	443	12	655	9792	10359	"M30502|HIV2BEN"	210	9	TRUE	"M30502|HIV2BEN"	1557	2205	649	"*"	655	10359
"23"	"MH705134|MH705134"	884	904	"+"	23	24.6461	15	7.67019	2404	2424	884	1	1	18	18	NA	21	9792	10359	"M30502|HIV2BEN"	15	6	TRUE	"M30502|HIV2BEN"	2404	2424	21	"*"	21	10359
"11"	"MH705134|MH705134"	633	674	"+"	11	47.4522	31	1.03765e-06	843	886	633	1	1	39	39	2	44	9792	10359	"M30502|HIV2BEN"	31	5	TRUE	"M30502|HIV2BEN"	843	886	44	"*"	44	10359
"16"	"MH705134|MH705134"	361	474	"+"	16	37.4745	24	0.00104986	450	564	361	1	1	75	75	5	117	9792	10359	"M30502|HIV2BEN"	24	3	TRUE	"M30502|HIV2BEN"	450	564	115	"*"	117	10359
"8"	"MH705134|MH705134"	1	177	"+"	8	70.2583	47	1.40372e-13	1	180	1	1	1	116	116	3	180	9792	10359	"M30502|HIV2BEN"	47	1	TRUE	"M30502|HIV2BEN"	1	180	180	"*"	180	10359
