"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"16"	"U27200|HIV2U27200"	10230	10267	"+"	16	41.7507	27	5.54197e-05	755	790	10230	1	1	34	34	2	38	10351	10036	"U04005|SIU04005"	27	24	TRUE	"U04005|SIU04005"	755	790	36	"*"	38	10036
"11"	"U27200|HIV2U27200"	9920	10030	"+"	11	51.7284	34	5.47771e-08	451	560	9920	1	1	78	78	5	113	10351	10036	"U04005|SIU04005"	34	20	TRUE	"U04005|SIU04005"	451	560	110	"*"	113	10036
"4"	"U27200|HIV2U27200"	9280	9702	"+"	4	197.117	136	8.91689e-52	9158	9580	9280	1	1	282	282	2	424	10351	10036	"U04005|SIU04005"	136	19	TRUE	"U04005|SIU04005"	9158	9580	423	"*"	424	10036
"3"	"U27200|HIV2U27200"	7900	8922	"+"	3	319.7	222	1.0719e-88	7769	8782	7900	1	1	653	653	29	1033	10351	10036	"U04005|SIU04005"	222	17	TRUE	"U04005|SIU04005"	7769	8782	1014	"*"	1033	10036
"5"	"U27200|HIV2U27200"	7262	7875	"+"	5	178.587	123	3.39717e-46	7080	7699	7262	1	1	392	392	20	627	10351	10036	"U04005|SIU04005"	123	16	TRUE	"U04005|SIU04005"	7080	7699	620	"*"	627	10036
"18"	"U27200|HIV2U27200"	6948	7006	"+"	18	36.0491	23	0.00288964	6769	6827	6948	1	1	41	41	NA	59	10351	10036	"U04005|SIU04005"	23	15	TRUE	"U04005|SIU04005"	6769	6827	59	"*"	59	10036
"15"	"U27200|HIV2U27200"	6743	6853	"+"	15	50.303	33	1.47195e-07	6546	6656	6743	1	1	77	77	4	113	10351	10036	"U04005|SIU04005"	33	14	TRUE	"U04005|SIU04005"	6546	6656	111	"*"	113	10036
"1"	"U27200|HIV2U27200"	2609	5864	"+"	1	1524.15	1067	0	2651	5910	2609	1	1	2230	2230	58	3287	10351	10036	"U04005|SIU04005"	1067	13	TRUE	"U04005|SIU04005"	2651	5910	3260	"*"	3287	10036
"10"	"U27200|HIV2U27200"	2243	2410	"+"	10	84.5122	57	7.3248e-18	2267	2434	2243	1	1	122	122	8	172	10351	10036	"U04005|SIU04005"	57	11	TRUE	"U04005|SIU04005"	2267	2434	168	"*"	172	10036
"2"	"U27200|HIV2U27200"	1499	2182	"+"	2	415.201	289	1.8474e-117	1484	2170	1499	1	1	493	493	5	688	10351	10036	"U04005|SIU04005"	289	10	TRUE	"U04005|SIU04005"	1484	2170	687	"*"	688	10036
"6"	"U27200|HIV2U27200"	1075	1427	"+"	6	160.057	110	1.29423e-40	1012	1365	1075	1	1	233	233	1	354	10351	10036	"U04005|SIU04005"	110	9	TRUE	"U04005|SIU04005"	1012	1365	354	"*"	354	10036
"17"	"U27200|HIV2U27200"	839	876	"+"	17	41.7507	27	5.54197e-05	755	790	839	1	1	34	34	2	38	10351	10036	"U04005|SIU04005"	27	7	TRUE	"U04005|SIU04005"	755	790	36	"*"	38	10036
"13"	"U27200|HIV2U27200"	529	639	"+"	13	51.7284	34	5.47771e-08	451	560	529	1	1	78	78	5	113	10351	10036	"U04005|SIU04005"	34	3	TRUE	"U04005|SIU04005"	451	560	110	"*"	113	10036
"8"	"U27200|HIV2U27200"	1	311	"+"	8	131.55	90	4.98868e-32	1	311	1	1	1	203	203	2	312	10351	10036	"U04005|SIU04005"	90	1	TRUE	"U04005|SIU04005"	1	311	311	"*"	312	10036
