"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"12"	"U27200|HIV2U27200"	10219	10269	"+"	12	46.0268	30	2.79278e-06	700	748	10219	1	1	42	42	2	51	10351	9815	"L40990|SIVREV"	30	25	TRUE	"L40990|SIVREV"	700	748	49	"*"	51	9815
"16"	"U27200|HIV2U27200"	10007	10030	"+"	16	28.9222	18	0.395915	524	547	10007	1	1	21	21	NA	24	10351	9815	"L40990|SIVREV"	18	23	TRUE	"L40990|SIVREV"	524	547	24	"*"	24	9815
"4"	"U27200|HIV2U27200"	9283	9666	"+"	4	158.632	109	3.39915e-40	8984	9373	9283	1	1	254	254	6	390	10351	9815	"L40990|SIVREV"	109	22	TRUE	"L40990|SIVREV"	8984	9373	390	"*"	390	9815
"20"	"U27200|HIV2U27200"	8861	8884	"+"	20	26.0715	16	2.85888	1094	1117	8861	1	1	20	20	NA	24	10351	9815	"L40990|SIVREV"	16	20	TRUE	"L40990|SIVREV"	1094	1117	24	"*"	24	9815
"3"	"U27200|HIV2U27200"	7902	8798	"+"	3	289.767	201	1.08487e-79	7615	8510	7902	1	1	565	565	13	903	10351	9815	"L40990|SIVREV"	201	19	TRUE	"L40990|SIVREV"	7615	8510	896	"*"	903	9815
"6"	"U27200|HIV2U27200"	7554	7872	"+"	6	108.744	74	3.60493e-25	7207	7526	7554	1	1	210	210	11	325	10351	9815	"L40990|SIVREV"	74	17	TRUE	"L40990|SIVREV"	7207	7526	320	"*"	325	9815
"8"	"U27200|HIV2U27200"	7261	7480	"+"	8	101.617	69	5.05121e-23	6905	7127	7261	1	1	153	153	7	225	10351	9815	"L40990|SIVREV"	69	16	TRUE	"L40990|SIVREV"	6905	7127	223	"*"	225	9815
"14"	"U27200|HIV2U27200"	5937	6018	"+"	14	34.6238	22	0.00759302	5823	5904	5937	1	1	57	57	4	84	10351	9815	"L40990|SIVREV"	22	15	TRUE	"L40990|SIVREV"	5823	5904	82	"*"	84	9815
"15"	"U27200|HIV2U27200"	5538	5779	"+"	15	33.1984	21	0.0204038	5409	5656	5538	1	1	139	139	6	248	10351	9815	"L40990|SIVREV"	21	14	TRUE	"L40990|SIVREV"	5409	5656	248	"*"	248	9815
"1"	"U27200|HIV2U27200"	2701	5414	"+"	1	1280.41	896	0	2569	5289	2701	1	1	1850	1850	37	2736	10351	9815	"L40990|SIVREV"	896	13	TRUE	"L40990|SIVREV"	2569	5289	2721	"*"	2736	9815
"2"	"U27200|HIV2U27200"	1506	2387	"+"	2	406.649	283	6.79224e-115	1401	2285	1506	1	1	605	605	19	893	10351	9815	"L40990|SIVREV"	283	8	TRUE	"L40990|SIVREV"	1401	2285	885	"*"	893	9815
"5"	"U27200|HIV2U27200"	1118	1378	"+"	5	121.572	83	4.93397e-29	980	1240	1118	1	1	172	172	NA	261	10351	9815	"L40990|SIVREV"	83	6	TRUE	"L40990|SIVREV"	980	1240	261	"*"	261	9815
"13"	"U27200|HIV2U27200"	828	878	"+"	13	46.0268	30	2.79278e-06	700	748	828	1	1	42	42	2	51	10351	9815	"L40990|SIVREV"	30	5	TRUE	"L40990|SIVREV"	700	748	49	"*"	51	9815
"18"	"U27200|HIV2U27200"	616	639	"+"	18	28.9222	18	0.395915	524	547	616	1	1	21	21	NA	24	10351	9815	"L40990|SIVREV"	18	3	TRUE	"L40990|SIVREV"	524	547	24	"*"	24	9815
"10"	"U27200|HIV2U27200"	1	275	"+"	10	74.5345	50	7.24564e-15	1	281	1	1	1	170	170	6	281	10351	9815	"L40990|SIVREV"	50	1	TRUE	"L40990|SIVREV"	1	281	281	"*"	281	9815
