"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"10"	"EU861977|EU861977"	9342	9654	"+"	10	134.401	92	6.44716e-33	198	515	9342	1	1	219	219	13	322	9781	9927	"JQ866001|JQ866001"	92	25	TRUE	"JQ866001|JQ866001"	198	515	318	"*"	92	9927
"7"	"EU861977|EU861977"	8923	9296	"+"	7	155.781	107	2.34301e-39	9071	9444	8923	1	1	243	243	2	375	9781	9927	"JQ866001|JQ866001"	107	24	TRUE	"JQ866001|JQ866001"	9071	9444	374	"*"	107	9927
"21"	"EU861977|EU861977"	8708	8846	"+"	21	57.4299	38	9.81295e-10	8876	9014	8708	1	1	97	97	8	143	9781	9927	"JQ866001|JQ866001"	38	22	TRUE	"JQ866001|JQ866001"	8876	9014	139	"*"	38	9927
"8"	"EU861977|EU861977"	8108	8528	"+"	8	142.953	98	1.71211e-35	8255	8674	8108	1	1	270	270	9	425	9781	9927	"JQ866001|JQ866001"	98	21	TRUE	"JQ866001|JQ866001"	8255	8674	420	"*"	98	9927
"5"	"EU861977|EU861977"	7772	8055	"+"	5	209.946	145	1.13784e-55	7883	8166	7772	1	1	214	214	NA	284	9781	9927	"JQ866001|JQ866001"	145	19	TRUE	"JQ866001|JQ866001"	7883	8166	284	"*"	145	9927
"24"	"EU861977|EU861977"	7490	7606	"+"	24	31.773	20	0.052389	7592	7708	7490	1	1	68	68	NA	117	9781	9927	"JQ866001|JQ866001"	20	18	TRUE	"JQ866001|JQ866001"	7592	7708	117	"*"	20	9927
"22"	"EU861977|EU861977"	7345	7407	"+"	22	51.7284	34	5.11694e-08	7474	7536	7345	1	1	48	48	NA	63	9781	9927	"JQ866001|JQ866001"	34	17	TRUE	"JQ866001|JQ866001"	7474	7536	63	"*"	34	9927
"4"	"EU861977|EU861977"	6337	7275	"+"	4	285.491	198	2.00736e-78	6427	7371	6337	1	1	602	602	30	957	9781	9927	"JQ866001|JQ866001"	198	16	TRUE	"JQ866001|JQ866001"	6427	7371	945	"*"	198	9927
"23"	"EU861977|EU861977"	5997	6056	"+"	23	44.6014	29	7.17005e-06	6091	6153	5997	1	1	49	49	3	63	9781	9927	"JQ866001|JQ866001"	29	14	TRUE	"JQ866001|JQ866001"	6091	6153	63	"*"	29	9927
"28"	"EU861977|EU861977"	5932	5973	"-"	28	26.0715	16	2.73179	5304	5348	5932	1	-1	33	33	3	45	9781	9927	"JQ866001|JQ866001"	16	12	TRUE	"JQ866001|JQ866001"	5304	5348	45	"*"	16	9927
"9"	"EU861977|EU861977"	5550	5844	"+"	9	134.401	92	6.44716e-33	5665	5959	5550	1	1	196	196	2	296	9781	9927	"JQ866001|JQ866001"	92	11	TRUE	"JQ866001|JQ866001"	5665	5959	295	"*"	92	9927
"1"	"EU861977|EU861977"	2254	5523	"+"	1	2023.03	1417	0	2357	5630	2254	1	1	2353	2353	18	3281	9781	9927	"JQ866001|JQ866001"	1417	10	TRUE	"JQ866001|JQ866001"	2357	5630	3274	"*"	1417	9927
"16"	"EU861977|EU861977"	1947	2145	"+"	16	103.042	70	1.79507e-23	2035	2239	1947	1	1	144	144	8	206	9781	9927	"JQ866001|JQ866001"	70	8	TRUE	"JQ866001|JQ866001"	2035	2239	205	"*"	70	9927
"3"	"EU861977|EU861977"	1567	1917	"+"	3	329.678	229	9.86104e-92	1643	1993	1567	1	1	290	290	NA	351	9781	9927	"JQ866001|JQ866001"	229	7	TRUE	"JQ866001|JQ866001"	1643	1993	351	"*"	229	9927
"6"	"EU861977|EU861977"	1230	1552	"+"	6	204.244	141	5.93355e-54	1297	1619	1230	1	1	232	232	NA	323	9781	9927	"JQ866001|JQ866001"	141	6	TRUE	"JQ866001|JQ866001"	1297	1619	323	"*"	141	9927
"2"	"EU861977|EU861977"	92	1152	"+"	2	331.103	230	3.66952e-92	96	1154	92	1	1	712	712	64	1092	9781	9927	"JQ866001|JQ866001"	230	5	TRUE	"JQ866001|JQ866001"	96	1154	1059	"*"	230	9927
