"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"12"	"DQ201174|DQ201174"	9925	10095	"+"	12	61.706	41	5.39515e-11	392	560	9925	1	1	117	117	10	175	10315	10036	"U04005|SIU04005"	41	27	TRUE	"U04005|SIU04005"	392	560	169	"*"	175	10036
"5"	"DQ201174|DQ201174"	9366	9749	"+"	5	199.968	138	1.2304e-52	9151	9535	9366	1	1	265	265	3	386	10315	10036	"U04005|SIU04005"	138	26	TRUE	"U04005|SIU04005"	9151	9535	385	"*"	386	10036
"26"	"DQ201174|DQ201174"	9096	9127	"+"	26	26.0715	16	2.9133	8918	8949	9096	1	1	24	24	NA	32	10315	10036	"U04005|SIU04005"	16	23	TRUE	"U04005|SIU04005"	8918	8949	32	"*"	32	10036
"2"	"DQ201174|DQ201174"	7502	8927	"+"	2	480.769	335	3.28567e-137	7360	8782	7502	1	1	937	937	53	1451	10315	10036	"U04005|SIU04005"	335	22	TRUE	"U04005|SIU04005"	7360	8782	1423	"*"	1451	10036
"22"	"DQ201174|DQ201174"	6973	7015	"+"	22	33.1984	21	0.0207927	6840	6882	6973	1	1	32	32	NA	43	10315	10036	"U04005|SIU04005"	21	17	TRUE	"U04005|SIU04005"	6840	6882	43	"*"	43	10036
"17"	"DQ201174|DQ201174"	6809	6935	"+"	17	38.8999	25	0.000398778	6691	6823	6809	1	1	88	88	10	135	10315	10036	"U04005|SIU04005"	25	16	TRUE	"U04005|SIU04005"	6691	6823	133	"*"	135	10036
"11"	"DQ201174|DQ201174"	6438	6604	"+"	11	65.9822	44	2.78045e-12	6314	6483	6438	1	1	110	110	3	170	10315	10036	"U04005|SIU04005"	44	15	TRUE	"U04005|SIU04005"	6314	6483	170	"*"	170	10036
"1"	"DQ201174|DQ201174"	2558	5807	"+"	1	1561.21	1093	0	2651	5903	2558	1	1	2234	2234	53	3278	10315	10036	"U04005|SIU04005"	1093	14	TRUE	"U04005|SIU04005"	2651	5903	3253	"*"	3278	10036
"27"	"DQ201174|DQ201174"	2438	2458	"+"	27	24.6461	15	7.82853	2450	2470	2438	1	1	18	18	NA	21	10315	10036	"U04005|SIU04005"	15	13	TRUE	"U04005|SIU04005"	2450	2470	21	"*"	21	10036
"10"	"DQ201174|DQ201174"	2238	2417	"+"	10	85.9375	58	2.71622e-18	2262	2441	2238	1	1	125	125	6	183	10315	10036	"U04005|SIU04005"	58	12	TRUE	"U04005|SIU04005"	2262	2441	180	"*"	183	10036
"3"	"DQ201174|DQ201174"	1332	2179	"+"	3	462.239	322	1.25222e-131	1314	2167	1332	1	1	613	613	24	863	10315	10036	"U04005|SIU04005"	322	11	TRUE	"U04005|SIU04005"	1314	2167	854	"*"	863	10036
"16"	"DQ201174|DQ201174"	820	857	"+"	16	44.6014	29	7.64805e-06	755	790	820	1	1	35	35	2	38	10315	10036	"U04005|SIU04005"	29	7	TRUE	"U04005|SIU04005"	755	790	36	"*"	38	10036
"14"	"DQ201174|DQ201174"	442	612	"+"	14	61.706	41	5.39515e-11	392	560	442	1	1	117	117	10	175	10315	10036	"U04005|SIU04005"	41	3	TRUE	"U04005|SIU04005"	392	560	169	"*"	175	10036
"8"	"DQ201174|DQ201174"	1	266	"+"	8	130.124	89	1.33579e-31	1	266	1	1	1	180	180	2	267	10315	10036	"U04005|SIU04005"	89	1	TRUE	"U04005|SIU04005"	1	266	266	"*"	267	10036
