"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"8"	"EU861977|EU861977"	9485	9649	"+"	8	91.6391	62	4.82516e-20	391	553	9485	1	1	129	129	14	171	9781	9815	"L40990|SIVREV"	62	24	TRUE	"L40990|SIVREV"	391	553	163	"*"	62	9815
"5"	"EU861977|EU861977"	9030	9314	"+"	5	110.169	75	1.2663e-25	8987	9271	9030	1	1	187	187	6	288	9781	9815	"L40990|SIVREV"	75	23	TRUE	"L40990|SIVREV"	8987	9271	285	"*"	75	9815
"12"	"EU861977|EU861977"	8240	8483	"+"	12	77.3852	52	9.47464e-16	8356	8600	8240	1	1	152	152	3	246	9781	9815	"L40990|SIVREV"	52	22	TRUE	"L40990|SIVREV"	8356	8600	245	"*"	52	9815
"4"	"EU861977|EU861977"	7700	8074	"+"	4	138.677	95	3.284e-34	7825	8202	7700	1	1	244	244	7	380	9781	9815	"L40990|SIVREV"	95	21	TRUE	"L40990|SIVREV"	7825	8202	378	"*"	95	9815
"14"	"EU861977|EU861977"	6911	7053	"+"	14	50.303	33	1.35939e-07	6985	7130	6911	1	1	92	92	3	146	9781	9815	"L40990|SIVREV"	33	19	TRUE	"L40990|SIVREV"	6985	7130	146	"*"	33	9815
"16"	"EU861977|EU861977"	6331	6365	"+"	16	38.8999	25	0.000369634	6348	6382	6331	1	1	30	30	NA	35	9781	9815	"L40990|SIVREV"	25	18	TRUE	"L40990|SIVREV"	6348	6382	35	"*"	25	9815
"19"	"EU861977|EU861977"	6106	6124	"+"	19	30.3476	19	0.139184	8422	8440	6106	1	1	19	19	NA	19	9781	9815	"L40990|SIVREV"	19	16	TRUE	"L40990|SIVREV"	8422	8440	19	"*"	19	9815
"13"	"EU861977|EU861977"	5887	5975	"+"	13	54.5791	36	7.00539e-09	6122	6211	5887	1	1	64	64	1	90	9781	9815	"L40990|SIVREV"	36	15	TRUE	"L40990|SIVREV"	6122	6211	90	"*"	36	9815
"17"	"EU861977|EU861977"	5597	5665	"+"	17	36.0491	23	0.00266918	5809	5877	5597	1	1	46	46	NA	69	9781	9815	"L40990|SIVREV"	23	14	TRUE	"L40990|SIVREV"	5809	5877	69	"*"	23	9815
"1"	"EU861977|EU861977"	2360	5048	"+"	1	1135.02	794	0	2579	5270	2360	1	1	1785	1785	47	2714	9781	9815	"L40990|SIVREV"	794	12	TRUE	"L40990|SIVREV"	2579	5270	2692	"*"	794	9815
"2"	"EU861977|EU861977"	1184	1939	"+"	2	383.843	267	4.7279e-108	1352	2104	1184	1	1	523	523	11	760	9781	9815	"L40990|SIVREV"	267	5	TRUE	"L40990|SIVREV"	1352	2104	753	"*"	267	9815
"7"	"EU861977|EU861977"	778	1104	"+"	7	94.4898	64	6.68191e-21	920	1245	778	1	1	205	205	9	331	9781	9815	"L40990|SIVREV"	64	4	TRUE	"L40990|SIVREV"	920	1245	326	"*"	64	9815
"15"	"EU861977|EU861977"	638	671	"+"	15	43.1761	28	1.90485e-05	713	746	638	1	1	31	31	NA	34	9781	9815	"L40990|SIVREV"	28	3	TRUE	"L40990|SIVREV"	713	746	34	"*"	28	9815
"10"	"EU861977|EU861977"	352	516	"+"	10	91.6391	62	4.82516e-20	391	553	352	1	1	129	129	14	171	9781	9815	"L40990|SIVREV"	62	1	TRUE	"L40990|SIVREV"	391	553	163	"*"	62	9815
