"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"19"	"AF082339|AF082339"	9944	9998	"+"	19	27.4968	17	1.0763	364	417	9944	1	1	37	37	1	55	10353	9927	"JQ866001|JQ866001"	17	27	TRUE	"JQ866001|JQ866001"	364	417	54	"*"	55	9927
"5"	"AF082339|AF082339"	9409	9681	"+"	5	121.572	83	4.99246e-29	9189	9458	9409	1	1	180	180	3	273	10353	9927	"JQ866001|JQ866001"	83	26	TRUE	"JQ866001|JQ866001"	9189	9458	270	"*"	273	9927
"15"	"AF082339|AF082339"	9241	9275	"+"	15	33.1984	21	0.0206419	8963	8997	9241	1	1	28	28	NA	35	10353	9927	"JQ866001|JQ866001"	21	23	TRUE	"JQ866001|JQ866001"	8963	8997	35	"*"	35	9927
"12"	"AF082339|AF082339"	8605	8829	"+"	12	58.8553	39	3.86739e-10	8327	8550	8605	1	1	138	138	5	227	10353	9927	"JQ866001|JQ866001"	39	22	TRUE	"JQ866001|JQ866001"	8327	8550	224	"*"	227	9927
"6"	"AF082339|AF082339"	8242	8477	"+"	6	75.9599	51	2.72807e-15	7916	8151	8242	1	1	146	146	2	237	10353	9927	"JQ866001|JQ866001"	51	21	TRUE	"JQ866001|JQ866001"	7916	8151	236	"*"	237	9927
"23"	"AF082339|AF082339"	7849	7874	"+"	23	26.0715	16	2.89219	7511	7536	7849	1	1	21	21	NA	26	10353	9927	"JQ866001|JQ866001"	16	20	TRUE	"JQ866001|JQ866001"	7511	7536	26	"*"	26	9927
"24"	"AF082339|AF082339"	6939	6955	"+"	24	24.6461	15	7.77182	5615	5631	6939	1	1	16	16	NA	17	10353	9927	"JQ866001|JQ866001"	15	19	TRUE	"JQ866001|JQ866001"	5615	5631	17	"*"	17	9927
"11"	"AF082339|AF082339"	6551	6650	"+"	11	60.2807	40	1.4392e-10	6013	6112	6551	1	1	70	70	NA	100	10353	9927	"JQ866001|JQ866001"	40	18	TRUE	"JQ866001|JQ866001"	6013	6112	100	"*"	100	9927
"26"	"AF082339|AF082339"	5874	5894	"+"	26	24.6461	15	7.77182	3764	3784	5874	1	1	18	18	NA	21	10353	9927	"JQ866001|JQ866001"	15	17	TRUE	"JQ866001|JQ866001"	3764	3784	21	"*"	21	9927
"13"	"AF082339|AF082339"	5647	5873	"+"	13	51.7284	34	5.41877e-08	5377	5600	5647	1	1	140	140	9	230	10353	9927	"JQ866001|JQ866001"	34	16	TRUE	"JQ866001|JQ866001"	5377	5600	224	"*"	230	9927
"1"	"AF082339|AF082339"	2631	5420	"+"	1	1199.16	839	0	2361	5153	2631	1	1	1860	1860	37	2810	10353	9927	"JQ866001|JQ866001"	839	15	TRUE	"JQ866001|JQ866001"	2361	5153	2793	"*"	2810	9927
"7"	"AF082339|AF082339"	2254	2373	"+"	7	73.1091	49	1.96992e-14	2043	2163	2254	1	1	86	86	1	121	10353	9927	"JQ866001|JQ866001"	49	11	TRUE	"JQ866001|JQ866001"	2043	2163	121	"*"	121	9927
"2"	"AF082339|AF082339"	1757	2199	"+"	2	251.282	174	4.28431e-68	1526	1974	1757	1	1	320	320	10	451	10353	9927	"JQ866001|JQ866001"	174	10	TRUE	"JQ866001|JQ866001"	1526	1974	449	"*"	451	9927
"27"	"AF082339|AF082339"	1697	1729	"+"	27	24.6461	15	7.77182	4216	4248	1697	1	1	24	24	NA	33	10353	9927	"JQ866001|JQ866001"	15	8	TRUE	"JQ866001|JQ866001"	4216	4248	33	"*"	33	9927
"4"	"AF082339|AF082339"	1091	1413	"+"	4	122.997	84	1.85787e-29	800	1123	1091	1	1	210	210	5	326	10353	9927	"JQ866001|JQ866001"	84	7	TRUE	"JQ866001|JQ866001"	800	1123	324	"*"	326	9927
"14"	"AF082339|AF082339"	838	880	"+"	14	43.1761	28	2.04023e-05	633	672	838	1	1	38	38	3	43	10353	9927	"JQ866001|JQ866001"	28	6	TRUE	"JQ866001|JQ866001"	633	672	40	"*"	43	9927
"21"	"AF082339|AF082339"	441	495	"+"	21	27.4968	17	1.0763	364	417	441	1	1	37	37	1	55	10353	9927	"JQ866001|JQ866001"	17	4	TRUE	"JQ866001|JQ866001"	364	417	54	"*"	55	9927
"9"	"AF082339|AF082339"	64	178	"+"	9	67.4076	45	1.02716e-12	70	181	64	1	1	82	82	3	115	10353	9927	"JQ866001|JQ866001"	45	2	TRUE	"JQ866001|JQ866001"	70	181	112	"*"	115	9927
"18"	"AF082339|AF082339"	28	48	"+"	18	27.4968	17	1.0763	4927	4947	28	1	1	19	19	NA	21	10353	9927	"JQ866001|JQ866001"	17	1	TRUE	"JQ866001|JQ866001"	4927	4947	21	"*"	21	9927
