"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"3"	"KX174311|KX174311"	9388	9593	"+"	3	111.594	76	5.06626e-26	9186	9391	9388	1	1	141	141	NA	206	10301	10006	"AF131870|AF131870"	76	19	TRUE	"AF131870|AF131870"	9186	9391	206	"*"	206	10006
"4"	"KX174311|KX174311"	8158	8597	"+"	4	98.766	67	3.70143e-22	8001	8434	8158	1	1	264	264	12	443	10301	10006	"AF131870|AF131870"	67	17	TRUE	"AF131870|AF131870"	8001	8434	434	"*"	443	10006
"17"	"KX174311|KX174311"	7804	7824	"+"	17	24.6461	15	7.79441	3909	3929	7804	1	1	18	18	NA	21	10301	10006	"AF131870|AF131870"	15	15	TRUE	"AF131870|AF131870"	3909	3929	21	"*"	21	10006
"10"	"KX174311|KX174311"	6264	6355	"+"	10	51.7284	34	5.4346e-08	5939	6030	6264	1	1	63	63	NA	92	10301	10006	"AF131870|AF131870"	34	14	TRUE	"AF131870|AF131870"	5939	6030	92	"*"	92	10006
"9"	"KX174311|KX174311"	5693	6051	"+"	9	63.1314	42	1.99893e-11	5709	6061	5693	1	1	211	211	10	361	10301	10006	"AF131870|AF131870"	42	13	TRUE	"AF131870|AF131870"	5709	6061	353	"*"	361	10006
"1"	"KX174311|KX174311"	2960	5430	"+"	1	894.13	625	1.02584e-261	2931	5407	2960	1	1	1637	1637	74	2511	10301	10006	"AF131870|AF131870"	625	12	TRUE	"AF131870|AF131870"	2931	5407	2477	"*"	2511	10006
"19"	"KX174311|KX174311"	2917	2937	"-"	19	24.6461	15	7.79441	2425	2445	2917	1	-1	18	18	NA	21	10301	10006	"AF131870|AF131870"	15	10	TRUE	"AF131870|AF131870"	2425	2445	21	"*"	21	10006
"16"	"KX174311|KX174311"	2855	2873	"+"	16	24.6461	15	7.79441	1540	1558	2855	1	1	17	17	NA	19	10301	10006	"AF131870|AF131870"	15	9	TRUE	"AF131870|AF131870"	1540	1558	19	"*"	19	10006
"13"	"KX174311|KX174311"	2548	2606	"+"	13	28.9222	18	0.401696	4232	4288	2548	1	1	40	40	2	59	10301	10006	"AF131870|AF131870"	18	8	TRUE	"AF131870|AF131870"	4232	4288	57	"*"	59	10006
"11"	"KX174311|KX174311"	2334	2414	"+"	11	46.0268	30	2.83368e-06	2326	2409	2334	1	1	59	59	3	84	10301	10006	"AF131870|AF131870"	30	7	TRUE	"AF131870|AF131870"	2326	2409	84	"*"	84	10006
"2"	"KX174311|KX174311"	1756	2191	"+"	2	144.378	99	6.7735e-36	1688	2129	1756	1	1	284	284	14	446	10301	10006	"AF131870|AF131870"	99	5	TRUE	"AF131870|AF131870"	1688	2129	442	"*"	446	10006
"6"	"KX174311|KX174311"	1104	1423	"+"	6	81.6614	55	5.24734e-17	1063	1386	1104	1	1	205	205	14	329	10301	10006	"AF131870|AF131870"	55	4	TRUE	"AF131870|AF131870"	1063	1386	324	"*"	329	10006
"12"	"KX174311|KX174311"	873	916	"+"	12	38.8999	25	0.000397036	764	804	873	1	1	37	37	3	44	10301	10006	"AF131870|AF131870"	25	3	TRUE	"AF131870|AF131870"	764	804	41	"*"	44	10006
"5"	"KX174311|KX174311"	1	332	"+"	5	90.2137	61	1.39366e-19	9222	9553	1	1	1	199	199	2	333	10301	10006	"AF131870|AF131870"	61	2	TRUE	"AF131870|AF131870"	9222	9553	332	"*"	333	10006
