"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"14"	"KY658697|KY658697"	9677	9823	"+"	14	36.0491	23	0.00282921	474	627	9677	1	1	99	99	11	156	9875	10301	"KX174311|KX174311"	23	19	TRUE	"KX174311|KX174311"	474	627	154	"*"	23	10301
"5"	"KY658697|KY658697"	9207	9483	"+"	5	110.169	75	1.34324e-25	9320	9596	9207	1	1	176	176	NA	277	9875	10301	"KX174311|KX174311"	75	18	TRUE	"KX174311|KX174311"	9320	9596	277	"*"	75	10301
"10"	"KY658697|KY658697"	8335	8553	"+"	10	51.7284	34	5.36285e-08	8568	8786	8335	1	1	134	134	6	222	9875	10301	"KX174311|KX174311"	34	16	TRUE	"KX174311|KX174311"	8568	8786	219	"*"	34	10301
"3"	"KY658697|KY658697"	7924	8295	"+"	3	120.147	82	1.32756e-28	8160	8537	7924	1	1	245	245	14	382	9875	10301	"KX174311|KX174311"	82	15	TRUE	"KX174311|KX174311"	8160	8537	378	"*"	82	10301
"12"	"KY658697|KY658697"	6721	6839	"+"	12	50.303	33	1.4411e-07	6906	7024	6721	1	1	76	76	NA	119	9875	10301	"KX174311|KX174311"	33	14	TRUE	"KX174311|KX174311"	6906	7024	119	"*"	33	10301
"18"	"KY658697|KY658697"	6223	6240	"+"	18	26.0715	16	2.86248	5932	5949	6223	1	1	17	17	NA	18	9875	10301	"KX174311|KX174311"	16	12	TRUE	"KX174311|KX174311"	5932	5949	18	"*"	16	10301
"11"	"KY658697|KY658697"	6138	6210	"+"	11	50.303	33	1.4411e-07	6559	6631	6138	1	1	53	53	NA	73	9875	10301	"KX174311|KX174311"	33	11	TRUE	"KX174311|KX174311"	6559	6631	73	"*"	33	10301
"9"	"KY658697|KY658697"	5810	6026	"+"	9	61.706	41	5.30044e-11	6267	6483	5810	1	1	129	129	NA	217	9875	10301	"KX174311|KX174311"	41	10	TRUE	"KX174311|KX174311"	6267	6483	217	"*"	41	10301
"1"	"KY658697|KY658697"	2453	5284	"+"	1	1169.23	818	0	2597	5428	2453	1	1	1886	1886	52	2858	9875	10301	"KX174311|KX174311"	818	9	TRUE	"KX174311|KX174311"	2597	5428	2832	"*"	818	10301
"2"	"KY658697|KY658697"	1421	2333	"+"	2	410.925	286	3.50486e-116	1487	2402	1421	1	1	630	630	27	928	9875	10301	"KX174311|KX174311"	286	7	TRUE	"KX174311|KX174311"	1487	2402	916	"*"	286	10301
"4"	"KY658697|KY658697"	1010	1330	"+"	4	117.296	80	9.58638e-28	1083	1402	1010	1	1	204	204	3	322	9875	10301	"KX174311|KX174311"	80	6	TRUE	"KX174311|KX174311"	1083	1402	320	"*"	80	10301
"13"	"KY658697|KY658697"	861	898	"+"	13	44.6014	29	7.51419e-06	864	903	861	1	1	36	36	2	40	9875	10301	"KX174311|KX174311"	29	5	TRUE	"KX174311|KX174311"	864	903	40	"*"	29	10301
"15"	"KY658697|KY658697"	590	736	"+"	15	36.0491	23	0.00282921	474	627	590	1	1	99	99	11	156	9875	10301	"KX174311|KX174311"	23	3	TRUE	"KX174311|KX174311"	474	627	154	"*"	23	10301
"6"	"KY658697|KY658697"	123	527	"+"	6	84.5122	57	7.17033e-18	9321	9723	123	1	1	240	240	8	408	9875	10301	"KX174311|KX174311"	57	2	TRUE	"KX174311|KX174311"	9321	9723	403	"*"	57	10301
