"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"11"	"AY271690|AY271690"	9500	9773	"+"	11	117.296	80	9.13517e-28	336	615	9500	1	1	197	197	16	285	9774	9927	"JQ866001|JQ866001"	80	39	TRUE	"JQ866001|JQ866001"	336	615	280	"*"	285	9927
"20"	"AY271690|AY271690"	9391	9491	"+"	20	67.4076	45	9.6909e-13	214	314	9391	1	1	73	73	NA	101	9774	9927	"JQ866001|JQ866001"	45	35	TRUE	"JQ866001|JQ866001"	214	314	101	"*"	101	9927
"7"	"AY271690|AY271690"	8956	9334	"+"	7	167.184	115	8.60992e-43	9071	9449	8956	1	1	252	252	4	381	9774	9927	"JQ866001|JQ866001"	115	34	TRUE	"JQ866001|JQ866001"	9071	9449	379	"*"	381	9927
"24"	"AY271690|AY271690"	8707	8845	"+"	24	57.4299	38	9.80586e-10	8871	9011	8707	1	1	100	100	10	145	9774	9927	"JQ866001|JQ866001"	38	32	TRUE	"JQ866001|JQ866001"	8871	9011	141	"*"	145	9927
"5"	"AY271690|AY271690"	8117	8574	"+"	5	172.886	119	1.65109e-44	8240	8697	8117	1	1	306	306	14	465	9774	9927	"JQ866001|JQ866001"	119	31	TRUE	"JQ866001|JQ866001"	8240	8697	458	"*"	465	9927
"3"	"AY271690|AY271690"	7796	8079	"+"	3	218.498	151	3.01927e-58	7883	8166	7796	1	1	220	220	2	285	9774	9927	"JQ866001|JQ866001"	151	29	TRUE	"JQ866001|JQ866001"	7883	8166	284	"*"	285	9927
"26"	"AY271690|AY271690"	7697	7785	"+"	26	43.1761	28	1.92536e-05	7766	7854	7697	1	1	61	61	2	90	9774	9927	"JQ866001|JQ866001"	28	26	TRUE	"JQ866001|JQ866001"	7766	7854	89	"*"	90	9927
"29"	"AY271690|AY271690"	7546	7612	"+"	29	36.0491	23	0.00269788	7642	7708	7546	1	1	45	45	NA	67	9774	9927	"JQ866001|JQ866001"	23	25	TRUE	"JQ866001|JQ866001"	7642	7708	67	"*"	67	9927
"25"	"AY271690|AY271690"	7324	7386	"+"	25	44.6014	29	7.16488e-06	7474	7536	7324	1	1	46	46	NA	63	9774	9927	"JQ866001|JQ866001"	29	24	TRUE	"JQ866001|JQ866001"	7474	7536	63	"*"	63	9927
"10"	"AY271690|AY271690"	6794	7258	"+"	10	124.423	85	6.51913e-30	6908	7375	6794	1	1	284	284	7	470	9774	9927	"JQ866001|JQ866001"	85	23	TRUE	"JQ866001|JQ866001"	6908	7375	468	"*"	470	9927
"14"	"AY271690|AY271690"	6347	6642	"+"	14	113.02	77	1.77269e-26	6428	6720	6347	1	1	191	191	5	297	9774	9927	"JQ866001|JQ866001"	77	22	TRUE	"JQ866001|JQ866001"	6428	6720	293	"*"	297	9927
"27"	"AY271690|AY271690"	6004	6067	"+"	27	40.3253	26	0.000139032	6095	6158	6004	1	1	45	45	NA	64	9774	9927	"JQ866001|JQ866001"	26	21	TRUE	"JQ866001|JQ866001"	6095	6158	64	"*"	64	9927
