"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"7"	"AF321523|AF321523"	9698	9737	"+"	7	50.303	33	1.4549e-07	840	881	9698	1	1	39	39	2	42	9913	10359	"NC_001722|NC_001722"	33	20	TRUE	"NC_001722|NC_001722"	840	881	42	"*"	42	10359
"11"	"AF321523|AF321523"	9404	9466	"+"	11	28.9222	18	0.400196	435	501	9404	1	1	46	46	4	67	9913	10359	"NC_001722|NC_001722"	18	18	TRUE	"NC_001722|NC_001722"	435	501	67	"*"	67	10359
"19"	"AF321523|AF321523"	9223	9253	"-"	19	27.4968	17	1.0754	7497	7527	9223	1	-1	24	24	NA	31	9913	10359	"NC_001722|NC_001722"	17	17	TRUE	"NC_001722|NC_001722"	7497	7527	31	"*"	31	10359
"6"	"AF321523|AF321523"	8061	8329	"+"	6	56.0045	37	2.79027e-09	8552	8820	8061	1	1	166	166	12	275	9913	10359	"NC_001722|NC_001722"	37	16	TRUE	"NC_001722|NC_001722"	8552	8820	269	"*"	275	10359
"3"	"AF321523|AF321523"	7714	8024	"+"	3	107.318	73	9.7934e-25	8218	8527	7714	1	1	202	202	9	315	9913	10359	"NC_001722|NC_001722"	73	15	TRUE	"NC_001722|NC_001722"	8218	8527	310	"*"	315	10359
"18"	"AF321523|AF321523"	7453	7493	"+"	18	24.6461	15	7.76533	2136	2176	7453	1	1	28	28	NA	41	9913	10359	"NC_001722|NC_001722"	15	14	TRUE	"NC_001722|NC_001722"	2136	2176	41	"*"	41	10359
"10"	"AF321523|AF321523"	6324	6383	"+"	10	34.6238	22	0.00767521	6779	6838	6324	1	1	41	41	NA	60	9913	10359	"NC_001722|NC_001722"	22	13	TRUE	"NC_001722|NC_001722"	6779	6838	60	"*"	60	10359
"13"	"AF321523|AF321523"	6059	6088	"+"	13	26.0715	16	2.88978	4030	4059	6059	1	1	23	23	NA	30	9913	10359	"NC_001722|NC_001722"	16	12	TRUE	"NC_001722|NC_001722"	4030	4059	30	"*"	30	10359
"9"	"AF321523|AF321523"	5877	5953	"+"	9	38.8999	25	0.000395551	6554	6630	5877	1	1	51	51	NA	77	9913	10359	"NC_001722|NC_001722"	25	11	TRUE	"NC_001722|NC_001722"	6554	6630	77	"*"	77	10359
"1"	"AF321523|AF321523"	2235	5027	"+"	1	1139.3	797	0	2638	5427	2235	1	1	1851	1851	49	2816	9913	10359	"NC_001722|NC_001722"	797	10	TRUE	"NC_001722|NC_001722"	2638	5427	2790	"*"	2816	10359
"2"	"AF321523|AF321523"	1232	2085	"+"	2	333.954	232	5.39225e-93	1557	2404	1232	1	1	565	565	22	862	9913	10359	"NC_001722|NC_001722"	232	8	TRUE	"NC_001722|NC_001722"	1557	2404	848	"*"	862	10359
"8"	"AF321523|AF321523"	620	659	"+"	8	50.303	33	1.4549e-07	840	881	620	1	1	39	39	2	42	9913	10359	"NC_001722|NC_001722"	33	6	TRUE	"NC_001722|NC_001722"	840	881	42	"*"	42	10359
"14"	"AF321523|AF321523"	326	388	"+"	14	26.0715	16	2.88978	435	501	326	1	1	45	45	4	67	9913	10359	"NC_001722|NC_001722"	16	4	TRUE	"NC_001722|NC_001722"	435	501	67	"*"	67	10359
"4"	"AF321523|AF321523"	1	269	"+"	4	64.5568	43	7.41081e-12	1	263	1	1	1	171	171	14	273	9913	10359	"NC_001722|NC_001722"	43	2	TRUE	"NC_001722|NC_001722"	1	263	263	"*"	273	10359
