"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"15"	"AF321523|AF321523"	9701	9736	"+"	15	48.8776	32	3.78673e-07	755	790	9701	1	1	34	34	NA	36	9913	10036	"U04005|SIU04005"	32	31	TRUE	"U04005|SIU04005"	755	790	36	"*"	36	10036
"9"	"AF321523|AF321523"	9459	9576	"+"	9	73.1091	49	1.90617e-14	405	525	9459	1	1	90	90	5	122	9913	10036	"U04005|SIU04005"	49	29	TRUE	"U04005|SIU04005"	405	525	121	"*"	122	10036
"4"	"AF321523|AF321523"	8971	9291	"+"	4	135.826	93	2.45968e-33	9161	9475	8971	1	1	214	214	8	322	9913	10036	"U04005|SIU04005"	93	28	TRUE	"U04005|SIU04005"	9161	9475	315	"*"	322	10036
"22"	"AF321523|AF321523"	8891	8910	"+"	22	26.0715	16	2.79933	3063	3082	8891	1	1	18	18	NA	20	9913	10036	"U04005|SIU04005"	16	26	TRUE	"U04005|SIU04005"	3063	3082	20	"*"	20	10036
"14"	"AF321523|AF321523"	8061	8274	"+"	14	53.1537	35	1.95148e-08	8377	8590	8061	1	1	127	127	2	215	9913	10036	"U04005|SIU04005"	35	25	TRUE	"U04005|SIU04005"	8377	8590	214	"*"	215	10036
"3"	"AF321523|AF321523"	7625	8026	"+"	3	152.931	105	1.73475e-38	7956	8357	7625	1	1	261	261	6	405	9913	10036	"U04005|SIU04005"	105	24	TRUE	"U04005|SIU04005"	7956	8357	402	"*"	405	10036
"18"	"AF321523|AF321523"	7344	7375	"+"	18	34.6238	22	0.00743463	7648	7679	7344	1	1	27	27	NA	32	9913	10036	"U04005|SIU04005"	22	22	TRUE	"U04005|SIU04005"	7648	7679	32	"*"	32	10036
"17"	"AF321523|AF321523"	6808	6908	"+"	17	40.3253	26	0.000142581	7094	7194	6808	1	1	66	66	2	102	9913	10036	"U04005|SIU04005"	26	20	TRUE	"U04005|SIU04005"	7094	7194	101	"*"	102	10036
"20"	"AF321523|AF321523"	6565	6610	"+"	20	28.9222	18	0.387664	6782	6827	6565	1	1	32	32	NA	46	9913	10036	"U04005|SIU04005"	18	19	TRUE	"U04005|SIU04005"	6782	6827	46	"*"	46	10036
"21"	"AF321523|AF321523"	5973	6034	"+"	21	28.9222	18	0.387664	6421	6482	5973	1	1	40	40	NA	62	9913	10036	"U04005|SIU04005"	18	18	TRUE	"U04005|SIU04005"	6421	6482	62	"*"	62	10036
"29"	"AF321523|AF321523"	5338	5362	"-"	29	26.0715	16	2.79933	5227	5252	5338	1	-1	22	22	1	26	9913	10036	"U04005|SIU04005"	16	17	TRUE	"U04005|SIU04005"	5227	5252	26	"*"	26	10036
"1"	"AF321523|AF321523"	2216	5120	"+"	1	1529.85	1071	0	2632	5536	2216	1	1	2015	2015	22	2916	9913	10036	"U04005|SIU04005"	1071	16	TRUE	"U04005|SIU04005"	2632	5536	2905	"*"	2916	10036
"6"	"AF321523|AF321523"	1944	2085	"+"	6	90.2137	61	1.34446e-19	2258	2396	1944	1	1	104	104	3	142	9913	10036	"U04005|SIU04005"	61	9	TRUE	"U04005|SIU04005"	2258	2396	139	"*"	142	10036
"2"	"AF321523|AF321523"	1173	1885	"+"	2	331.103	230	3.76544e-92	1448	2160	1173	1	1	481	481	8	717	9913	10036	"U04005|SIU04005"	230	8	TRUE	"U04005|SIU04005"	1448	2160	713	"*"	717	10036
"5"	"AF321523|AF321523"	793	1141	"+"	5	101.617	69	4.94466e-23	1017	1369	793	1	1	228	228	16	359	9913	10036	"U04005|SIU04005"	69	7	TRUE	"U04005|SIU04005"	1017	1369	353	"*"	359	10036
"16"	"AF321523|AF321523"	623	658	"+"	16	48.8776	32	3.78673e-07	755	790	623	1	1	34	34	NA	36	9913	10036	"U04005|SIU04005"	32	5	TRUE	"U04005|SIU04005"	755	790	36	"*"	36	10036
"7"	"AF321523|AF321523"	381	498	"+"	7	75.9599	51	2.63973e-15	405	525	381	1	1	91	91	5	122	9913	10036	"U04005|SIU04005"	51	3	TRUE	"U04005|SIU04005"	405	525	121	"*"	122	10036
"11"	"AF321523|AF321523"	81	212	"+"	11	64.5568	43	7.17735e-12	81	206	81	1	1	92	92	6	132	9913	10036	"U04005|SIU04005"	43	1	TRUE	"U04005|SIU04005"	81	206	126	"*"	132	10036
