"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"6"	"JQ866001|JQ866001"	9631	9785	"+"	6	73.1091	49	1.90889e-14	375	527	9631	1	1	120	120	16	162	9927	10036	"U04005|SIU04005"	49	29	TRUE	"U04005|SIU04005"	375	527	153	"*"	162	10036
"23"	"JQ866001|JQ866001"	9521	9548	"+"	23	26.0715	16	2.8033	247	274	9521	1	1	22	22	NA	28	9927	10036	"U04005|SIU04005"	16	27	TRUE	"U04005|SIU04005"	247	274	28	"*"	28	10036
"3"	"JQ866001|JQ866001"	9181	9454	"+"	3	125.848	86	2.49244e-30	9167	9440	9181	1	1	185	185	4	276	9927	10036	"U04005|SIU04005"	86	26	TRUE	"U04005|SIU04005"	9167	9440	274	"*"	276	10036
"18"	"JQ866001|JQ866001"	8396	8538	"+"	18	47.4522	31	1.01902e-06	8515	8657	8396	1	1	87	87	NA	143	9927	10036	"U04005|SIU04005"	31	24	TRUE	"U04005|SIU04005"	8515	8657	143	"*"	143	10036
"4"	"JQ866001|JQ866001"	7928	8169	"+"	4	104.468	71	6.85736e-24	8098	8339	7928	1	1	159	159	2	243	9927	10036	"U04005|SIU04005"	71	23	TRUE	"U04005|SIU04005"	8098	8339	242	"*"	243	10036
"29"	"JQ866001|JQ866001"	7604	7668	"+"	29	24.6461	15	7.533	7795	7859	7604	1	1	40	40	NA	65	9927	10036	"U04005|SIU04005"	15	22	TRUE	"U04005|SIU04005"	7795	7859	65	"*"	65	10036
"21"	"JQ866001|JQ866001"	7481	7537	"+"	21	37.4745	24	0.00103104	7621	7677	7481	1	1	43	43	2	58	9927	10036	"U04005|SIU04005"	24	21	TRUE	"U04005|SIU04005"	7621	7677	57	"*"	58	10036
"12"	"JQ866001|JQ866001"	6925	7062	"+"	12	61.706	41	5.1902e-11	7083	7222	6925	1	1	92	92	2	140	9927	10036	"U04005|SIU04005"	41	20	TRUE	"U04005|SIU04005"	7083	7222	140	"*"	140	10036
"27"	"JQ866001|JQ866001"	6750	6764	"+"	27	24.6461	15	7.533	7742	7756	6750	1	1	15	15	NA	15	9927	10036	"U04005|SIU04005"	15	19	TRUE	"U04005|SIU04005"	7742	7756	15	"*"	15	10036
"19"	"JQ866001|JQ866001"	6648	6709	"+"	19	43.1761	28	1.97734e-05	6767	6828	6648	1	1	45	45	NA	62	9927	10036	"U04005|SIU04005"	28	18	TRUE	"U04005|SIU04005"	6767	6828	62	"*"	62	10036
"22"	"JQ866001|JQ866001"	6428	6457	"+"	22	31.773	20	0.0537618	6550	6579	6428	1	1	25	25	NA	30	9927	10036	"U04005|SIU04005"	20	17	TRUE	"U04005|SIU04005"	6550	6579	30	"*"	30	10036
"13"	"JQ866001|JQ866001"	6007	6157	"+"	13	50.303	33	1.41118e-07	6335	6485	6007	1	1	92	92	NA	151	9927	10036	"U04005|SIU04005"	33	16	TRUE	"U04005|SIU04005"	6335	6485	151	"*"	151	10036
"10"	"JQ866001|JQ866001"	5405	5535	"+"	10	70.2583	47	1.37842e-13	5695	5825	5405	1	1	89	89	NA	131	9927	10036	"U04005|SIU04005"	47	15	TRUE	"U04005|SIU04005"	5695	5825	131	"*"	131	10036
"1"	"JQ866001|JQ866001"	2359	5286	"+"	1	1556.93	1090	0	2649	5576	2359	1	1	2046	2046	30	2943	9927	10036	"U04005|SIU04005"	1090	14	TRUE	"U04005|SIU04005"	2649	5576	2928	"*"	2943	10036
"11"	"JQ866001|JQ866001"	2046	2159	"+"	11	64.5568	43	7.18759e-12	2258	2371	2046	1	1	81	81	2	115	9927	10036	"U04005|SIU04005"	43	12	TRUE	"U04005|SIU04005"	2258	2371	114	"*"	115	10036
