"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"10"	"U04005|SIU04005"	9661	9829	"+"	10	56.0045	37	2.63398e-09	9366	9537	9661	1	1	117	117	11	176	10036	9664	"U79412|SIU79412"	37	33	TRUE	"U79412|SIU79412"	9366	9537	172	"*"	176	9664
"5"	"U04005|SIU04005"	9156	9543	"+"	5	207.095	143	8.20711e-55	8825	9212	9156	1	1	268	268	2	389	10036	9664	"U79412|SIU79412"	143	29	TRUE	"U79412|SIU79412"	8825	9212	388	"*"	389	9664
"25"	"U04005|SIU04005"	9038	9072	"+"	25	27.4968	17	1.01545	8671	8705	9038	1	1	26	26	NA	35	10036	9664	"U79412|SIU79412"	17	28	TRUE	"U79412|SIU79412"	8671	8705	35	"*"	35	9664
"3"	"U04005|SIU04005"	7777	8780	"+"	3	285.491	198	2.00498e-78	7365	8380	7777	1	1	633	633	26	1023	10036	9664	"U79412|SIU79412"	198	27	TRUE	"U79412|SIU79412"	7365	8380	1016	"*"	1023	9664
"4"	"U04005|SIU04005"	7079	7697	"+"	4	235.603	163	2.12814e-63	6688	7300	7079	1	1	412	412	20	626	10036	9664	"U79412|SIU79412"	163	25	TRUE	"U79412|SIU79412"	6688	7300	613	"*"	626	9664
"30"	"U04005|SIU04005"	6963	6986	"-"	30	26.0715	16	2.72873	6931	6954	6963	1	-1	20	20	NA	24	10036	9664	"U79412|SIU79412"	16	23	TRUE	"U79412|SIU79412"	6931	6954	24	"*"	24	9664
"12"	"U04005|SIU04005"	6690	6882	"+"	12	50.303	33	1.37348e-07	6278	6464	6690	1	1	120	120	8	194	10036	9664	"U79412|SIU79412"	33	22	TRUE	"U79412|SIU79412"	6278	6464	187	"*"	194	9664
"15"	"U04005|SIU04005"	6541	6656	"+"	15	48.8776	32	3.69085e-07	6141	6256	6541	1	1	74	74	NA	116	10036	9664	"U79412|SIU79412"	32	20	TRUE	"U79412|SIU79412"	6141	6256	116	"*"	116	9664
"9"	"U04005|SIU04005"	6314	6483	"+"	9	63.1314	42	1.87974e-11	5902	6074	6314	1	1	110	110	3	173	10036	9664	"U79412|SIU79412"	42	18	TRUE	"U79412|SIU79412"	5902	6074	173	"*"	173	9664
"17"	"U04005|SIU04005"	6033	6213	"+"	17	40.3253	26	0.000138976	5345	5525	6033	1	1	119	119	14	188	10036	9664	"U79412|SIU79412"	26	17	TRUE	"U79412|SIU79412"	5345	5525	181	"*"	188	9664
"1"	"U04005|SIU04005"	2651	5903	"+"	1	1584.01	1109	0	2023	5272	2651	1	1	2240	2240	53	3278	10036	9664	"U79412|SIU79412"	1109	15	TRUE	"U79412|SIU79412"	2023	5272	3250	"*"	3278	9664
"27"	"U04005|SIU04005"	2450	2470	"+"	27	24.6461	15	7.33267	1903	1923	2450	1	1	18	18	NA	21	10036	9664	"U79412|SIU79412"	15	12	TRUE	"U79412|SIU79412"	1903	1923	21	"*"	21	9664
"8"	"U04005|SIU04005"	2262	2441	"+"	8	77.3852	52	9.57334e-16	1703	1882	2262	1	1	122	122	6	183	10036	9664	"U79412|SIU79412"	52	11	TRUE	"U79412|SIU79412"	1703	1882	180	"*"	183	9664
"2"	"U04005|SIU04005"	1353	2171	"+"	2	433.731	302	4.50096e-123	835	1648	1353	1	1	579	579	19	826	10036	9664	"U79412|SIU79412"	302	10	TRUE	"U79412|SIU79412"	835	1648	814	"*"	826	9664
"6"	"U04005|SIU04005"	1012	1327	"+"	6	164.334	113	6.21487e-42	528	843	1012	1	1	217	217	2	317	10036	9664	"U79412|SIU79412"	113	9	TRUE	"U79412|SIU79412"	528	843	316	"*"	317	9664
"16"	"U04005|SIU04005"	755	790	"+"	16	44.6014	29	7.16199e-06	287	324	755	1	1	35	35	2	38	10036	9664	"U79412|SIU79412"	29	6	TRUE	"U79412|SIU79412"	287	324	38	"*"	38	9664
"11"	"U04005|SIU04005"	392	560	"+"	11	56.0045	37	2.63398e-09	9366	9537	392	1	1	117	117	11	176	10036	9664	"U79412|SIU79412"	37	5	TRUE	"U79412|SIU79412"	9366	9537	172	"*"	176	9664
"7"	"U04005|SIU04005"	1	274	"+"	7	134.401	92	6.43977e-33	8939	9212	1	1	1	183	183	NA	274	10036	9664	"U79412|SIU79412"	92	1	TRUE	"U79412|SIU79412"	8939	9212	274	"*"	274	9664
