"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"3"	"AB253712|AB253712"	9793	10340	"+"	3	490.746	342	3.34376e-140	9738	10286	9793	1	1	457	457	11	554	10340	10286	"MK458169|MK458169"	342	14	TRUE	"MK458169|MK458169"	9738	10286	549	"*"	342	10286
"8"	"AB253712|AB253712"	8866	8892	"+"	8	27.4968	17	1.11398	8474	8500	8866	1	1	22	22	NA	27	10340	10286	"MK458169|MK458169"	17	13	TRUE	"MK458169|MK458169"	8474	8500	27	"*"	17	10286
"7"	"AB253712|AB253712"	8079	8110	"+"	7	28.9222	18	0.414558	2673	2704	8079	1	1	25	25	NA	32	10340	10286	"MK458169|MK458169"	18	12	TRUE	"MK458169|MK458169"	2673	2704	32	"*"	18	10286
"12"	"AB253712|AB253712"	7672	7686	"-"	12	24.6461	15	8.04378	8202	8216	7672	1	-1	15	15	NA	15	10340	10286	"MK458169|MK458169"	15	11	TRUE	"MK458169|MK458169"	8202	8216	15	"*"	15	10286
"13"	"AB253712|AB253712"	7322	7338	"-"	13	24.6461	15	8.04378	3137	3153	7322	1	-1	16	16	NA	17	10340	10286	"MK458169|MK458169"	15	10	TRUE	"MK458169|MK458169"	3137	3153	17	"*"	15	10286
"10"	"AB253712|AB253712"	5964	6021	"-"	10	28.9222	18	0.414558	9228	9283	5964	1	-1	40	40	2	58	10340	10286	"MK458169|MK458169"	18	9	TRUE	"MK458169|MK458169"	9228	9283	56	"*"	18	10286
"2"	"AB253712|AB253712"	2263	3178	"+"	2	1018.14	712	4.73568e-299	1620	2535	2263	1	1	814	814	NA	916	10340	10286	"MK458169|MK458169"	712	8	TRUE	"MK458169|MK458169"	1620	2535	916	"*"	712	10286
"1"	"AB253712|AB253712"	668	2187	"+"	1	1538.4	1077	0	8	1532	668	1	1	1313	1313	13	1529	10340	10286	"MK458169|MK458169"	1077	4	TRUE	"MK458169|MK458169"	8	1532	1525	"*"	1077	10286
"6"	"AB253712|AB253712"	637	666	"+"	6	43.1761	28	2.11185e-05	1	30	637	1	1	29	29	NA	30	10340	10286	"MK458169|MK458169"	28	2	TRUE	"MK458169|MK458169"	1	30	30	"*"	28	10286
"4"	"AB253712|AB253712"	1	547	"+"	4	480.769	335	3.38377e-137	9739	10286	1	1	1	453	453	11	553	10340	10286	"MK458169|MK458169"	335	1	TRUE	"MK458169|MK458169"	9739	10286	548	"*"	335	10286
