"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"11"	"JX236671|JX236671"	9569	9723	"+"	11	40.3253	26	0.000148819	669	826	9569	1	1	108	108	15	164	9854	10535	"M33262|SIVMM239"	26	23	TRUE	"M33262|SIVMM239"	669	826	158	"*"	164	10535
"23"	"JX236671|JX236671"	9441	9459	"-"	23	24.6461	15	7.85055	7486	7504	9441	1	-1	17	17	NA	19	9854	10535	"M33262|SIVMM239"	15	22	TRUE	"M33262|SIVMM239"	7486	7504	19	"*"	19	10535
"3"	"JX236671|JX236671"	9085	9384	"+"	3	134.401	92	6.90363e-33	9603	9905	9085	1	1	202	202	5	304	9854	10535	"M33262|SIVMM239"	92	21	TRUE	"M33262|SIVMM239"	9603	9905	303	"*"	304	10535
"17"	"JX236671|JX236671"	8847	8893	"+"	17	27.4968	17	1.08721	9431	9477	8847	1	1	32	32	NA	47	9854	10535	"M33262|SIVMM239"	17	19	TRUE	"M33262|SIVMM239"	9431	9477	47	"*"	47	10535
"9"	"JX236671|JX236671"	8190	8458	"+"	9	53.1537	35	2.03705e-08	8753	9021	8190	1	1	164	164	10	274	9854	10535	"M33262|SIVMM239"	35	18	TRUE	"M33262|SIVMM239"	8753	9021	269	"*"	274	10535
"15"	"JX236671|JX236671"	7247	7277	"+"	15	27.4968	17	1.08721	5346	5375	7247	1	1	25	25	1	31	9854	10535	"M33262|SIVMM239"	17	17	TRUE	"M33262|SIVMM239"	5346	5375	30	"*"	31	10535
"8"	"JX236671|JX236671"	5931	6087	"+"	8	61.706	41	5.41039e-11	6710	6860	5931	1	1	106	106	8	158	9854	10535	"M33262|SIVMM239"	41	16	TRUE	"M33262|SIVMM239"	6710	6860	151	"*"	158	10535
"4"	"JX236671|JX236671"	5588	5840	"+"	4	88.7883	60	3.77225e-19	6400	6655	5588	1	1	161	161	3	256	9854	10535	"M33262|SIVMM239"	60	15	TRUE	"M33262|SIVMM239"	6400	6655	256	"*"	256	10535
"1"	"JX236671|JX236671"	2289	5081	"+"	1	1186.33	830	0	2811	5600	2289	1	1	1878	1878	59	2821	9854	10535	"M33262|SIVMM239"	830	14	TRUE	"M33262|SIVMM239"	2811	5600	2790	"*"	2821	10535
"2"	"JX236671|JX236671"	826	2126	"+"	2	410.925	286	3.58212e-116	1306	2615	826	1	1	848	848	47	1329	9854	10535	"M33262|SIVMM239"	286	7	TRUE	"M33262|SIVMM239"	1306	2615	1310	"*"	1329	10535
"10"	"JX236671|JX236671"	643	679	"+"	10	40.3253	26	0.000148819	1062	1100	643	1	1	34	34	2	39	9854	10535	"M33262|SIVMM239"	26	6	TRUE	"M33262|SIVMM239"	1062	1100	39	"*"	39	10535
"12"	"JX236671|JX236671"	370	524	"+"	12	40.3253	26	0.000148819	669	826	370	1	1	108	108	15	164	9854	10535	"M33262|SIVMM239"	26	4	TRUE	"M33262|SIVMM239"	669	826	158	"*"	164	10535
"24"	"JX236671|JX236671"	242	260	"-"	24	24.6461	15	7.85055	7486	7504	242	1	-1	17	17	NA	19	9854	10535	"M33262|SIVMM239"	15	3	TRUE	"M33262|SIVMM239"	7486	7504	19	"*"	19	10535
"6"	"JX236671|JX236671"	12	185	"+"	6	71.6837	48	5.34758e-14	265	444	12	1	1	119	119	6	180	9854	10535	"M33262|SIVMM239"	48	1	TRUE	"M33262|SIVMM239"	265	444	180	"*"	180	10535
