"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"13"	"AF082339|AF082339"	10112	10159	"+"	13	30.3476	19	0.147363	524	568	10112	1	1	36	36	3	48	10353	9815	"L40990|SIVREV"	19	22	TRUE	"L40990|SIVREV"	524	568	45	"*"	48	9815
"5"	"AF082339|AF082339"	9380	9777	"+"	5	157.207	108	9.13606e-40	8972	9372	9380	1	1	264	264	9	404	10353	9815	"L40990|SIVREV"	108	21	TRUE	"L40990|SIVREV"	8972	9372	401	"*"	404	9815
"12"	"AF082339|AF082339"	8832	8896	"+"	12	38.8999	25	0.000391388	8503	8569	8832	1	1	50	50	4	68	10353	9815	"L40990|SIVREV"	25	18	TRUE	"L40990|SIVREV"	8503	8569	67	"*"	68	9815
"3"	"AF082339|AF082339"	7984	8820	"+"	3	255.558	177	2.18179e-69	7672	8510	7984	1	1	522	522	12	844	10353	9815	"L40990|SIVREV"	177	17	TRUE	"L40990|SIVREV"	7672	8510	839	"*"	844	9815
"4"	"AF082339|AF082339"	7282	7932	"+"	4	192.841	133	1.69122e-50	6907	7563	7282	1	1	416	416	22	665	10353	9815	"L40990|SIVREV"	133	15	TRUE	"L40990|SIVREV"	6907	7563	657	"*"	665	9815
"19"	"AF082339|AF082339"	6925	6948	"+"	19	26.0715	16	2.85943	8010	8033	6925	1	1	20	20	NA	24	10353	9815	"L40990|SIVREV"	16	14	TRUE	"L40990|SIVREV"	8010	8033	24	"*"	24	9815
"22"	"AF082339|AF082339"	6095	6123	"+"	22	24.6461	15	7.6838	5959	5987	6095	1	1	22	22	NA	29	10353	9815	"L40990|SIVREV"	15	13	TRUE	"L40990|SIVREV"	5959	5987	29	"*"	29	9815
"1"	"AF082339|AF082339"	2979	5875	"+"	1	1239.07	867	0	2831	5727	2979	1	1	1934	1934	44	2919	10353	9815	"L40990|SIVREV"	867	12	TRUE	"L40990|SIVREV"	2831	5727	2897	"*"	2919	9815
"7"	"AF082339|AF082339"	2635	2893	"+"	7	103.042	70	1.8801e-23	2475	2739	2635	1	1	172	172	6	265	10353	9815	"L40990|SIVREV"	70	10	TRUE	"L40990|SIVREV"	2475	2739	265	"*"	265	9815
"20"	"AF082339|AF082339"	2505	2551	"+"	20	26.0715	16	2.85943	1431	1477	2505	1	1	34	34	2	48	10353	9815	"L40990|SIVREV"	16	9	TRUE	"L40990|SIVREV"	1431	1477	47	"*"	48	9815
"2"	"AF082339|AF082339"	1441	2196	"+"	2	467.94	326	2.35311e-133	1309	2063	1441	1	1	556	556	13	762	10353	9815	"L40990|SIVREV"	326	8	TRUE	"L40990|SIVREV"	1309	2063	755	"*"	762	9815
"6"	"AF082339|AF082339"	1096	1440	"+"	6	145.804	100	2.48411e-36	942	1292	1096	1	1	231	231	6	351	10353	9815	"L40990|SIVREV"	100	6	TRUE	"L40990|SIVREV"	942	1292	351	"*"	351	9815
"11"	"AF082339|AF082339"	831	875	"+"	11	43.1761	28	2.01705e-05	704	746	831	1	1	38	38	2	45	10353	9815	"L40990|SIVREV"	28	5	TRUE	"L40990|SIVREV"	704	746	43	"*"	45	9815
"15"	"AF082339|AF082339"	609	656	"+"	15	30.3476	19	0.147363	524	568	609	1	1	36	36	3	48	10353	9815	"L40990|SIVREV"	19	3	TRUE	"L40990|SIVREV"	524	568	45	"*"	48	9815
"9"	"AF082339|AF082339"	1	274	"+"	9	84.5122	57	7.16261e-18	1	280	1	1	1	174	174	6	280	10353	9815	"L40990|SIVREV"	57	1	TRUE	"L40990|SIVREV"	1	280	280	"*"	280	9815
