"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"10"	"KC503852|KC503852"	9326	9391	"+"	10	30.3476	19	0.147212	422	491	9326	1	1	48	48	4	70	9804	10354	"KY025538|KY025538"	19	20	TRUE	"KY025538|KY025538"	422	491	70	"*"	70	10354
"4"	"KC503852|KC503852"	8923	9181	"+"	4	103.042	70	1.87814e-23	9425	9683	8923	1	1	172	172	6	262	9804	10354	"KY025538|KY025538"	70	19	TRUE	"KY025538|KY025538"	9425	9683	259	"*"	262	10354
"8"	"KC503852|KC503852"	7988	8257	"+"	8	44.6014	29	7.49842e-06	8541	8810	7988	1	1	157	157	6	273	9804	10354	"KY025538|KY025538"	29	17	TRUE	"KY025538|KY025538"	8541	8810	270	"*"	273	10354
"3"	"KC503852|KC503852"	7371	7952	"+"	3	132.975	91	1.81311e-32	7942	8517	7371	1	1	357	357	20	589	9804	10354	"KY025538|KY025538"	91	16	TRUE	"KY025538|KY025538"	7942	8517	576	"*"	589	10354
"12"	"KC503852|KC503852"	7118	7148	"+"	12	27.4968	17	1.06301	5618	5648	7118	1	1	24	24	NA	31	9804	10354	"KY025538|KY025538"	17	13	TRUE	"KY025538|KY025538"	5618	5648	31	"*"	31	10354
"7"	"KC503852|KC503852"	5810	5908	"+"	7	51.7284	34	5.35158e-08	6547	6649	5810	1	1	72	72	4	103	9804	10354	"KY025538|KY025538"	34	12	TRUE	"KY025538|KY025538"	6547	6649	103	"*"	103	10354
"17"	"KC503852|KC503852"	5719	5737	"+"	17	24.6461	15	7.6759	8880	8898	5719	1	1	17	17	NA	19	9804	10354	"KY025538|KY025538"	15	11	TRUE	"KY025538|KY025538"	8880	8898	19	"*"	19	10354
"16"	"KC503852|KC503852"	5501	5515	"+"	16	24.6461	15	7.6759	6843	6857	5501	1	1	15	15	NA	15	9804	10354	"KY025538|KY025538"	15	10	TRUE	"KY025538|KY025538"	6843	6857	15	"*"	15	10354
"1"	"KC503852|KC503852"	2161	4953	"+"	1	1126.47	788	0	2627	5416	2161	1	1	1830	1830	33	2808	9804	10354	"KY025538|KY025538"	788	9	TRUE	"KY025538|KY025538"	2627	5416	2790	"*"	2808	10354
"2"	"KC503852|KC503852"	1133	2001	"+"	2	369.589	257	9.85624e-104	1518	2383	1133	1	1	577	577	13	874	9804	10354	"KY025538|KY025538"	257	7	TRUE	"KY025538|KY025538"	1518	2383	866	"*"	874	10354
"5"	"KC503852|KC503852"	701	1011	"+"	5	103.042	70	1.87814e-23	1071	1381	701	1	1	198	198	6	314	9804	10354	"KY025538|KY025538"	70	6	TRUE	"KY025538|KY025538"	1071	1381	311	"*"	314	10354
"9"	"KC503852|KC503852"	545	580	"+"	9	41.7507	27	5.41458e-05	833	870	545	1	1	34	34	2	38	9804	10354	"KY025538|KY025538"	27	5	TRUE	"KY025538|KY025538"	833	870	38	"*"	38	10354
"14"	"KC503852|KC503852"	245	310	"+"	14	27.4968	17	1.06301	422	491	245	1	1	47	47	4	70	9804	10354	"KY025538|KY025538"	17	3	TRUE	"KY025538|KY025538"	422	491	70	"*"	70	10354
"6"	"KC503852|KC503852"	1	100	"+"	6	57.4299	38	1.02634e-09	9584	9683	1	1	1	69	69	NA	100	9804	10354	"KY025538|KY025538"	38	2	TRUE	"KY025538|KY025538"	9584	9683	100	"*"	100	10354
