"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"24"	"AB253712|AB253712"	9955	9979	"+"	24	24.6461	15	8.23921	6146	6170	9955	1	1	20	20	NA	25	10340	10535	"M33262|SIVMM239"	15	27	TRUE	"M33262|SIVMM239"	6146	6170	25	"*"	15	10535
"11"	"AB253712|AB253712"	9679	9699	"+"	11	27.4968	17	1.14106	424	444	9679	1	1	19	19	NA	21	10340	10535	"M33262|SIVMM239"	17	25	TRUE	"M33262|SIVMM239"	424	444	21	"*"	17	10535
"6"	"AB253712|AB253712"	8781	9105	"+"	6	64.5568	43	7.86624e-12	8753	9082	8781	1	1	204	204	15	335	10340	10535	"M33262|SIVMM239"	43	24	TRUE	"M33262|SIVMM239"	8753	9082	330	"*"	43	10535
"16"	"AB253712|AB253712"	8441	8470	"+"	16	26.0715	16	3.06617	2942	2971	8441	1	1	23	23	NA	30	10340	10535	"M33262|SIVMM239"	16	22	TRUE	"M33262|SIVMM239"	2942	2971	30	"*"	16	10535
"15"	"AB253712|AB253712"	8196	8219	"+"	15	26.0715	16	3.06617	5226	5249	8196	1	1	20	20	NA	24	10340	10535	"M33262|SIVMM239"	16	21	TRUE	"M33262|SIVMM239"	5226	5249	24	"*"	16	10535
"10"	"AB253712|AB253712"	8027	8089	"+"	10	34.6238	22	0.00814441	8005	8067	8027	1	1	45	45	2	64	10340	10535	"M33262|SIVMM239"	22	20	TRUE	"M33262|SIVMM239"	8005	8067	63	"*"	22	10535
"14"	"AB253712|AB253712"	7937	7969	"+"	14	27.4968	17	1.14106	7897	7929	7937	1	1	25	25	NA	33	10340	10535	"M33262|SIVMM239"	17	19	TRUE	"M33262|SIVMM239"	7897	7929	33	"*"	17	10535
"8"	"AB253712|AB253712"	7164	7286	"+"	8	43.1761	28	2.16332e-05	7067	7189	7164	1	1	80	80	4	125	10340	10535	"M33262|SIVMM239"	28	18	TRUE	"M33262|SIVMM239"	7067	7189	123	"*"	28	10535
"19"	"AB253712|AB253712"	6858	6898	"+"	19	26.0715	16	3.06617	2201	2241	6858	1	1	31	31	2	42	10340	10535	"M33262|SIVMM239"	16	17	TRUE	"M33262|SIVMM239"	2201	2241	41	"*"	16	10535
"5"	"AB253712|AB253712"	6574	6731	"+"	5	68.8329	46	4.05411e-13	6710	6861	6574	1	1	107	107	6	158	10340	10535	"M33262|SIVMM239"	46	15	TRUE	"M33262|SIVMM239"	6710	6861	152	"*"	46	10535
"9"	"AB253712|AB253712"	6138	6179	"+"	9	37.4745	24	0.00112793	6023	6064	6138	1	1	33	33	NA	42	10340	10535	"M33262|SIVMM239"	24	14	TRUE	"M33262|SIVMM239"	6023	6064	42	"*"	24	10535
"3"	"AB253712|AB253712"	5323	5724	"+"	3	198.543	137	3.48519e-52	5199	5600	5323	1	1	285	285	14	409	10340	10535	"M33262|SIVMM239"	137	13	TRUE	"M33262|SIVMM239"	5199	5600	402	"*"	137	10535
"1"	"AB253712|AB253712"	2266	5058	"+"	1	1179.21	825	0	2811	5600	2266	1	1	1867	1867	53	2818	10340	10535	"M33262|SIVMM239"	825	10	TRUE	"M33262|SIVMM239"	2811	5600	2790	"*"	825	10535
"2"	"AB253712|AB253712"	1235	2106	"+"	2	348.208	242	2.92361e-97	1741	2615	1235	1	1	590	590	29	888	10340	10535	"M33262|SIVMM239"	242	6	TRUE	"M33262|SIVMM239"	1741	2615	875	"*"	242	10535
"4"	"AB253712|AB253712"	807	1107	"+"	4	115.871	79	2.76231e-27	1307	1607	807	1	1	200	200	8	305	10340	10535	"M33262|SIVMM239"	79	5	TRUE	"M33262|SIVMM239"	1307	1607	301	"*"	79	10535
"7"	"AB253712|AB253712"	621	662	"+"	7	44.6014	29	8.05066e-06	1062	1105	621	1	1	38	38	2	44	10340	10535	"M33262|SIVMM239"	29	4	TRUE	"M33262|SIVMM239"	1062	1105	44	"*"	29	10535
"20"	"AB253712|AB253712"	363	405	"+"	20	26.0715	16	3.06617	671	713	363	1	1	32	32	2	44	10340	10535	"M33262|SIVMM239"	16	2	TRUE	"M33262|SIVMM239"	671	713	43	"*"	16	10535
"25"	"AB253712|AB253712"	162	186	"+"	25	24.6461	15	8.23921	6146	6170	162	1	1	20	20	NA	25	10340	10535	"M33262|SIVMM239"	15	1	TRUE	"M33262|SIVMM239"	6146	6170	25	"*"	15	10535
