"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"17"	"DQ201174|DQ201174"	10072	10095	"+"	17	28.9222	18	0.394532	524	547	10072	1	1	21	21	NA	24	10315	9815	"L40990|SIVREV"	18	23	TRUE	"L40990|SIVREV"	524	547	24	"*"	18	9815
"7"	"DQ201174|DQ201174"	9375	9694	"+"	7	131.55	90	4.859e-32	8984	9303	9375	1	1	205	205	NA	320	10315	9815	"L40990|SIVREV"	90	22	TRUE	"L40990|SIVREV"	8984	9303	320	"*"	90	9815
"9"	"DQ201174|DQ201174"	8809	8927	"+"	9	64.5568	43	7.30527e-12	8497	8614	8809	1	1	82	82	1	119	10315	9815	"L40990|SIVREV"	43	20	TRUE	"L40990|SIVREV"	8497	8614	118	"*"	43	9815
"3"	"DQ201174|DQ201174"	7904	8788	"+"	3	296.894	206	7.71347e-82	7615	8496	7904	1	1	553	553	7	887	10315	9815	"L40990|SIVREV"	206	19	TRUE	"L40990|SIVREV"	7615	8496	882	"*"	206	9815
"4"	"DQ201174|DQ201174"	7224	7838	"+"	4	208.52	144	3.19308e-55	6905	7528	7224	1	1	403	403	21	630	10315	9815	"L40990|SIVREV"	144	18	TRUE	"L40990|SIVREV"	6905	7528	624	"*"	144	9815
"5"	"DQ201174|DQ201174"	6459	6940	"+"	5	135.826	93	2.50405e-33	6137	6621	6459	1	1	309	309	19	493	10315	9815	"L40990|SIVREV"	93	17	TRUE	"L40990|SIVREV"	6137	6621	485	"*"	93	9815
"16"	"DQ201174|DQ201174"	6350	6385	"+"	16	31.773	20	0.0546371	5980	6015	6350	1	1	28	28	NA	36	10315	9815	"L40990|SIVREV"	20	16	TRUE	"L40990|SIVREV"	5980	6015	36	"*"	20	9815
"14"	"DQ201174|DQ201174"	6191	6260	"+"	14	40.3253	26	0.000145112	5809	5878	6191	1	1	48	48	NA	70	10315	9815	"L40990|SIVREV"	26	15	TRUE	"L40990|SIVREV"	5809	5878	70	"*"	26	9815
"15"	"DQ201174|DQ201174"	6019	6061	"+"	15	36.0491	23	0.00281576	5959	6001	6019	1	1	33	33	NA	43	10315	9815	"L40990|SIVREV"	23	13	TRUE	"L40990|SIVREV"	5959	6001	43	"*"	23	9815
"1"	"DQ201174|DQ201174"	2687	5769	"+"	1	1314.62	920	0	2606	5694	2687	1	1	2079	2079	66	3119	10315	9815	"L40990|SIVREV"	920	12	TRUE	"L40990|SIVREV"	2606	5694	3089	"*"	920	9815
"21"	"DQ201174|DQ201174"	2625	2648	"+"	21	26.0715	16	2.8489	3102	3125	2625	1	1	20	20	NA	24	10315	9815	"L40990|SIVREV"	16	8	TRUE	"L40990|SIVREV"	3102	3125	24	"*"	16	9815
"2"	"DQ201174|DQ201174"	1410	2298	"+"	2	466.515	325	6.29833e-133	1309	2199	1410	1	1	631	631	20	900	10315	9815	"L40990|SIVREV"	325	7	TRUE	"L40990|SIVREV"	1309	2199	891	"*"	325	9815
"6"	"DQ201174|DQ201174"	1065	1363	"+"	6	134.401	92	6.72891e-33	942	1240	1065	1	1	198	198	2	300	10315	9815	"L40990|SIVREV"	92	6	TRUE	"L40990|SIVREV"	942	1240	299	"*"	92	9815
"13"	"DQ201174|DQ201174"	809	857	"+"	13	46.0268	30	2.783e-06	700	746	809	1	1	41	41	2	49	10315	9815	"L40990|SIVREV"	30	5	TRUE	"L40990|SIVREV"	700	746	47	"*"	30	9815
"19"	"DQ201174|DQ201174"	589	612	"+"	19	28.9222	18	0.394532	524	547	589	1	1	21	21	NA	24	10315	9815	"L40990|SIVREV"	18	3	TRUE	"L40990|SIVREV"	524	547	24	"*"	18	9815
"11"	"DQ201174|DQ201174"	1	211	"+"	11	64.5568	43	7.30527e-12	1	211	1	1	1	127	127	NA	211	10315	9815	"L40990|SIVREV"	43	1	TRUE	"L40990|SIVREV"	1	211	211	"*"	43	9815
