"genome"	"wis_file"	"cov_raw"	"cov_wis"	"cov_greedy"	"N_raw"	"N_wis"	"N_greedy"	"mean_pident"	"mean_pident_greedy"	"mean_len"	"mean_len_greedy"	"total_length"	"total_length_greedy"	"mean_e_value"	"mean_e_greedy"	"max_e_value"	"max_e_greedy"	"sum_score"	"sum_score_greedy"	"average_raw"	"average_raw_greedy"	"total_raw"	"total_raw_greedy"	"time_wis"	"time_greedy"	"memory_wis"	"memory_greedy"	"logr_expected"	"logr_calculated"	"logr_expected_alt"
"1"	"HIV1_AB253712_HIV1_AF321523_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_AF321523_ab_tblastx_max_len_wis.tab"	5.12408123791103	0.981237911025145	0.980657640232108	37	4	4	0.636564475204619	0.681898425492893	850.25	848.75	10146	10140	7.238925e-25	1.3237175e-39	2.89557e-24	5.29487e-39	2601.87789921738	2274.91789921738	2725.5	2390.5	10902	9562	1.17360901832581	0.521301031112671	136.4	135.1	1.78809662775988	1.38629436111989	2.66609223938422
"2"	"HIV1_AB253712_HIV1_AY271690_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_AY271690_ab_tblastx_max_len_wis.tab"	4.86905222437137	0.855029013539652	0.855029013539652	37	3	3	0.62810557196628	0.62810557196628	998	998	8841	8841	4.8871e-33	4.8871e-33	1.46613e-32	1.46613e-32	2012.92974188029	2012.92974188029	2810.66666666667	2810.66666666667	8432	8432	1.08543348312378	0.417146921157837	133.9	89.5	1.89961094025791	1.09861228866811	2.71942346081472
"3"	"HIV1_AB253712_HIV1_EU861977_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_EU861977_ab_tblastx_max_len_wis.tab"	3.81382978723404	0.993423597678917	0.993423597678917	34	4	4	0.64826410107646	0.64826410107646	861.25	861.25	10272	10272	4.42375e-48	4.42375e-48	1.7695e-47	1.7695e-47	2652.43952041235	2652.43952041235	2777.25	2777.25	11109	11109	1.01145172119141	0.476794958114624	133.7	118.3	2.03343206237525	1.38629436111989	2.87777425111627
"4"	"HIV1_AB253712_HIV1_JX236671_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_JX236671_ab_tblastx_max_len_wis.tab"	4.69642166344294	0.833268858800774	0.826015473887814	43	5	3	0.736808985402461	0.669588427312454	579.8	958.666666666667	8616	8541	1.06023e-17	1.7734e-47	5.30115e-17	5.3202e-47	2114.86693959294	1979.23328688447	1792.2	2764.66666666667	8961	8294	1.21718096733093	0.417898654937744	133.8	89.5	2.0501547421138	1.6094379124341	2.90405872599557
"5"	"HIV1_AB253712_HIV1_KC503852_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_KC503852_ab_tblastx_max_len_wis.tab"	4.75212765957447	0.978336557059961	0.556479690522244	31	4	2	0.619584897412068	0.533472773376502	846.5	965.5	10116	5754	2.4336e-33	4.8672e-33	9.7344e-33	9.7344e-33	2377.44212546292	1115.35476837034	2495.5	2348	9982	4696	0.913875341415405	0.357296705245972	133.8	60.8	1.77363853469477	1.38629436111989	2.56262504890752
"6"	"HIV1_AB253712_HIV1_KY658697_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_KY658697_ab_tblastx_max_len_wis.tab"	4.34738878143133	0.998646034816248	0.998646034816248	24	2	2	0.647794944633892	0.647794944633892	1733.5	1733.5	10326	10326	0	0	0	0	2488.8163366801	2488.8163366801	5162.5	5162.5	10325	10325	0.754360675811768	0.358074426651001	133.6	60.8	1.59852582792932	0.693147180559945	2.40162562617828
"7"	"HIV1_AB253712_HIV1_MH705134_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_MH705134_ab_tblastx_max_len_wis.tab"	4.30473887814313	0.984429400386847	0.869535783365571	25	4	4	0.640673184336086	0.609441184693724	853.5	755	10179	8991	4.434225e-68	1.68127	1.77369e-67	6.72508	2697.5750244225	2579.7230244225	2823.5	2702.75	11294	10811	0.822030067443848	0.477204561233521	133.7	118.4	1.75958916887496	1.38629436111989	2.45206471614119
"8"	"HIV1_AB253712_HIV1_MH705144_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_MH705144_ab_tblastx_max_len_wis.tab"	3.65628626692456	0.976595744680851	0.94816247582205	30	4	3	0.652164218221298	0.63422540591217	850.5	1101.66666666667	10098	9804	3.3977e-47	2.56903666666667e-108	1.35908e-46	7.70711e-108	2634.37494153963	2364.52515993737	2758.75	3291	11035	9873	0.905558824539185	0.416999578475952	133.7	89.5	1.90035752201582	1.38629436111989	2.79741293516786
"9"	"HIV1_AB253712_HIV1_MK458169_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV1_MK458169_ab_tblastx_max_len_wis.tab"	1.51682785299807	0.350193423597679	0.346711798839458	18	5	5	0.663887686763938	0.65386232500281	245	241.8	3621	3585	3.6512026e-08	1.878408e-07	1.75291e-07	7.63913e-07	939.060408176784	903.436408176784	828.6	799.4	4143	3997	0.678542613983154	0.536757707595825	133.7	133.7	1.69221148233943	1.6094379124341	2.12546802593557
"10"	"HIV1_AB253712_HIV2_AF082339_ab_tblastx"	"/data/meyer/rob/phages/robert_phage/genome_alignments/method_comparison/other_data/HIV//HIV1_AB253712_HIV2_AF082339_ab_tblastx_max_len_wis.tab"	2.12408123791102	0.857930367504836	0.857930367504836	24	7	7	0.38320086017425	0.38320086017425	433.142857142857	433.142857142857	8871	8871	7.04611671428572e-06	7.04611671428572e-06	4.53827e-05	4.53827e-05	1258.87362900583	1258.87362900583	794.571428571429	794.571428571429	5562	5562	0.807990312576294	0.645729303359985	133.7	133.6	2.33460947627509	1.94591014905531	2.95750219099565
