"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"13"	"EU861977|EU861977"	9602	9648	"+"	13	30.3476	19	0.146309	571	616	9602	1	1	34	34	1	47	9781	10315	"DQ201174|DQ201174"	19	24	TRUE	"DQ201174|DQ201174"	571	616	46	"*"	47	10315
"3"	"EU861977|EU861977"	9019	9292	"+"	3	118.721	81	3.53766e-28	9367	9640	9019	1	1	180	180	2	275	9781	10315	"DQ201174|DQ201174"	81	22	TRUE	"DQ201174|DQ201174"	9367	9640	274	"*"	275	10315
"9"	"EU861977|EU861977"	8178	8379	"+"	9	68.8329	46	3.75159e-13	8586	8787	8178	1	1	129	129	4	204	9781	10315	"DQ201174|DQ201174"	46	20	TRUE	"DQ201174|DQ201174"	8586	8787	202	"*"	204	10315
"4"	"EU861977|EU861977"	7768	8074	"+"	4	117.296	80	9.50642e-28	8189	8494	7768	1	1	204	204	11	312	9781	10315	"DQ201174|DQ201174"	80	19	TRUE	"DQ201174|DQ201174"	8189	8494	306	"*"	312	10315
"19"	"EU861977|EU861977"	7685	7723	"+"	19	27.4968	17	1.05649	4512	4552	7685	1	1	31	31	2	41	9781	10315	"DQ201174|DQ201174"	17	16	TRUE	"DQ201174|DQ201174"	4512	4552	41	"*"	41	10315
"21"	"EU861977|EU861977"	7471	7487	"+"	21	24.6461	15	7.62888	8566	8582	7471	1	1	16	16	NA	17	9781	10315	"DQ201174|DQ201174"	15	15	TRUE	"DQ201174|DQ201174"	8566	8582	17	"*"	17	10315
"11"	"EU861977|EU861977"	7324	7410	"+"	11	34.6238	22	0.00754011	7733	7818	7324	1	1	57	57	3	88	9781	10315	"DQ201174|DQ201174"	22	14	TRUE	"DQ201174|DQ201174"	7733	7818	86	"*"	88	10315
"5"	"EU861977|EU861977"	5567	5809	"+"	5	78.8106	53	3.70784e-16	6161	6403	5567	1	1	148	148	NA	243	9781	10315	"DQ201174|DQ201174"	53	13	TRUE	"DQ201174|DQ201174"	6161	6403	243	"*"	243	10315
"23"	"EU861977|EU861977"	5115	5139	"-"	23	24.6461	15	7.62888	8690	8714	5115	1	-1	20	20	NA	25	9781	10315	"DQ201174|DQ201174"	15	12	TRUE	"DQ201174|DQ201174"	8690	8714	25	"*"	25	10315
"1"	"EU861977|EU861977"	2258	5050	"+"	1	1157.83	810	0	2558	5347	2258	1	1	1845	1845	49	2816	9781	10315	"DQ201174|DQ201174"	810	11	TRUE	"DQ201174|DQ201174"	2558	5347	2790	"*"	2816	10315
"2"	"EU861977|EU861977"	788	2099	"+"	2	475.067	331	1.66606e-135	1051	2375	788	1	1	868	868	39	1338	9781	10315	"DQ201174|DQ201174"	331	7	TRUE	"DQ201174|DQ201174"	1051	2375	1325	"*"	1338	10315
"10"	"EU861977|EU861977"	636	672	"+"	10	43.1761	28	2.00258e-05	820	858	636	1	1	35	35	2	39	9781	10315	"DQ201174|DQ201174"	28	6	TRUE	"DQ201174|DQ201174"	820	858	39	"*"	39	10315
"14"	"EU861977|EU861977"	469	515	"+"	14	30.3476	19	0.146309	571	616	469	1	1	34	34	1	47	9781	10315	"DQ201174|DQ201174"	19	4	TRUE	"DQ201174|DQ201174"	571	616	46	"*"	47	10315
"6"	"EU861977|EU861977"	1	159	"+"	6	71.6837	48	5.19538e-14	1	157	1	1	1	108	108	4	160	9781	10315	"DQ201174|DQ201174"	48	1	TRUE	"DQ201174|DQ201174"	1	157	157	"*"	160	10315
