"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"16"	"EU861977|EU861977"	9667	9714	"+"	16	30.3476	19	0.141906	629	678	9667	1	1	39	39	4	51	9781	10006	"AF131870|AF131870"	19	22	TRUE	"AF131870|AF131870"	629	678	50	"*"	51	10006
"8"	"EU861977|EU861977"	9548	9618	"+"	8	54.5791	36	7.14296e-09	436	503	9548	1	1	56	56	3	71	9781	10006	"AF131870|AF131870"	36	20	TRUE	"AF131870|AF131870"	436	503	68	"*"	71	10006
"3"	"EU861977|EU861977"	9029	9289	"+"	3	108.744	74	3.47033e-25	9131	9391	9029	1	1	170	170	2	262	9781	10006	"AF131870|AF131870"	74	19	TRUE	"AF131870|AF131870"	9131	9391	261	"*"	262	10006
"20"	"EU861977|EU861977"	8111	8172	"+"	20	30.3476	19	0.141906	8399	8458	8111	1	1	42	42	2	62	9781	10006	"AF131870|AF131870"	19	18	TRUE	"AF131870|AF131870"	8399	8458	60	"*"	62	10006
"5"	"EU861977|EU861977"	7808	8081	"+"	5	81.6614	55	4.97891e-17	8112	8384	7808	1	1	170	170	5	276	9781	10006	"AF131870|AF131870"	55	17	TRUE	"AF131870|AF131870"	8112	8384	273	"*"	276	10006
"21"	"EU861977|EU861977"	7280	7299	"+"	21	26.0715	16	2.75361	2926	2945	7280	1	1	18	18	NA	20	9781	10006	"AF131870|AF131870"	16	16	TRUE	"AF131870|AF131870"	2926	2945	20	"*"	20	10006
"12"	"EU861977|EU861977"	5900	5975	"+"	12	54.5791	36	7.14296e-09	6275	6350	5900	1	1	56	56	NA	76	9781	10006	"AF131870|AF131870"	36	15	TRUE	"AF131870|AF131870"	6275	6350	76	"*"	76	10006
"7"	"EU861977|EU861977"	5567	5667	"+"	7	56.0045	37	2.65813e-09	5933	6033	5567	1	1	69	69	NA	101	9781	10006	"AF131870|AF131870"	37	14	TRUE	"AF131870|AF131870"	5933	6033	101	"*"	101	10006
"1"	"EU861977|EU861977"	2374	5050	"+"	1	959.697	671	1.71703e-281	2720	5405	2374	1	1	1731	1731	57	2710	9781	10006	"AF131870|AF131870"	671	13	TRUE	"AF131870|AF131870"	2720	5405	2686	"*"	2710	10006
"13"	"EU861977|EU861977"	2030	2140	"+"	13	47.4522	31	1.00089e-06	2325	2435	2030	1	1	79	79	8	115	9781	10006	"AF131870|AF131870"	31	10	TRUE	"AF131870|AF131870"	2325	2435	111	"*"	115	10006
"2"	"EU861977|EU861977"	1567	1901	"+"	2	170.035	117	1.20296e-43	1799	2133	1567	1	1	231	231	4	337	9781	10006	"AF131870|AF131870"	117	9	TRUE	"AF131870|AF131870"	1799	2133	335	"*"	337	10006
"4"	"EU861977|EU861977"	1230	1549	"+"	4	105.893	72	2.50598e-24	1453	1772	1230	1	1	205	205	8	324	9781	10006	"AF131870|AF131870"	72	8	TRUE	"AF131870|AF131870"	1453	1772	320	"*"	324	10006
"14"	"EU861977|EU861977"	867	1142	"+"	14	44.6014	29	7.22752e-06	1129	1408	867	1	1	170	170	14	285	9781	10006	"AF131870|AF131870"	29	6	TRUE	"AF131870|AF131870"	1129	1408	280	"*"	285	10006
"15"	"EU861977|EU861977"	643	680	"+"	15	40.3253	26	0.000140247	764	801	643	1	1	32	32	NA	38	9781	10006	"AF131870|AF131870"	26	5	TRUE	"AF131870|AF131870"	764	801	38	"*"	38	10006
"17"	"EU861977|EU861977"	534	581	"+"	17	30.3476	19	0.141906	629	678	534	1	1	39	39	4	51	9781	10006	"AF131870|AF131870"	19	3	TRUE	"AF131870|AF131870"	629	678	50	"*"	51	10006
"9"	"EU861977|EU861977"	415	485	"+"	9	54.5791	36	7.14296e-09	436	503	415	1	1	56	56	3	71	9781	10006	"AF131870|AF131870"	36	1	TRUE	"AF131870|AF131870"	436	503	68	"*"	71	10006
