"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"12"	"M33262|SIVMM239"	10147	10316	"+"	12	54.5791	36	7.72194e-09	393	560	10147	1	1	117	117	12	175	10535	10036	"U04005|SIU04005"	36	28	TRUE	"U04005|SIU04005"	393	560	168	"*"	36	10036
"5"	"M33262|SIVMM239"	9604	9983	"+"	5	188.565	130	3.4191e-49	9156	9535	9604	1	1	255	255	NA	380	10535	10036	"U04005|SIU04005"	130	27	TRUE	"U04005|SIU04005"	9156	9535	380	"*"	130	10036
"3"	"M33262|SIVMM239"	8144	9161	"+"	3	282.64	196	1.58526e-77	7777	8782	8144	1	1	629	629	22	1023	10535	10036	"U04005|SIU04005"	196	24	TRUE	"U04005|SIU04005"	7777	8782	1006	"*"	196	10036
"4"	"M33262|SIVMM239"	7473	8085	"+"	4	251.282	174	4.41297e-68	7079	7697	7473	1	1	417	417	20	626	10535	10036	"U04005|SIU04005"	174	23	TRUE	"U04005|SIU04005"	7079	7697	619	"*"	174	10036
"20"	"M33262|SIVMM239"	7240	7266	"+"	20	33.1984	21	0.0212385	6852	6878	7240	1	1	24	24	NA	27	10535	10036	"U04005|SIU04005"	21	21	TRUE	"U04005|SIU04005"	6852	6878	27	"*"	21	10036
"31"	"M33262|SIVMM239"	7150	7170	"-"	31	24.6461	15	7.9961	6186	6206	7150	1	-1	18	18	NA	21	10535	10036	"U04005|SIU04005"	15	20	TRUE	"U04005|SIU04005"	6186	6206	21	"*"	15	10036
"17"	"M33262|SIVMM239"	6932	7043	"+"	17	48.8776	32	4.02624e-07	6544	6655	6932	1	1	72	72	NA	112	10535	10036	"U04005|SIU04005"	32	19	TRUE	"U04005|SIU04005"	6544	6655	112	"*"	32	10036
"16"	"M33262|SIVMM239"	6682	6862	"+"	16	54.5791	36	7.72194e-09	6306	6483	6682	1	1	111	111	3	181	10535	10036	"U04005|SIU04005"	36	18	TRUE	"U04005|SIU04005"	6306	6483	178	"*"	36	10036
"19"	"M33262|SIVMM239"	6133	6319	"+"	19	38.8999	25	0.000407335	6033	6220	6133	1	1	123	123	15	195	10535	10036	"U04005|SIU04005"	25	16	TRUE	"U04005|SIU04005"	6033	6220	188	"*"	25	10036
"1"	"M33262|SIVMM239"	2811	5982	"+"	1	1535.55	1075	0	2651	5822	2811	1	1	2170	2170	40	3192	10535	10036	"U04005|SIU04005"	1075	15	TRUE	"U04005|SIU04005"	2651	5822	3172	"*"	1075	10036
"11"	"M33262|SIVMM239"	2479	2651	"+"	11	73.1091	49	2.02725e-14	2262	2434	2479	1	1	117	117	6	176	10535	10036	"U04005|SIU04005"	49	11	TRUE	"U04005|SIU04005"	2262	2434	173	"*"	49	10036
"2"	"M33262|SIVMM239"	1611	2421	"+"	2	412.35	287	1.35953e-116	1353	2168	1611	1	1	568	568	17	822	10535	10036	"U04005|SIU04005"	287	10	TRUE	"U04005|SIU04005"	1353	2168	816	"*"	287	10036
"18"	"M33262|SIVMM239"	1062	1099	"+"	18	41.7507	27	5.64112e-05	755	790	1062	1	1	34	34	2	38	10535	10036	"U04005|SIU04005"	27	8	TRUE	"U04005|SIU04005"	755	790	36	"*"	27	10036
"14"	"M33262|SIVMM239"	686	855	"+"	14	54.5791	36	7.72194e-09	393	560	686	1	1	117	117	12	175	10535	10036	"U04005|SIU04005"	36	4	TRUE	"U04005|SIU04005"	393	560	168	"*"	36	10036
"8"	"M33262|SIVMM239"	256	522	"+"	8	121.572	83	5.13898e-29	9269	9535	256	1	1	175	175	NA	267	10535	10036	"U04005|SIU04005"	83	3	TRUE	"U04005|SIU04005"	9269	9535	267	"*"	83	10036
