"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"24"	"AF321523|AF321523"	9822	9896	"+"	24	26.0715	16	2.87354	1045	1122	9822	1	1	50	50	3	78	9913	10301	"KX174311|KX174311"	16	28	TRUE	"KX174311|KX174311"	1045	1122	78	"*"	16	10301
"10"	"AF321523|AF321523"	9698	9732	"+"	10	43.1761	28	2.02703e-05	863	899	9698	1	1	34	34	2	37	9913	10301	"KX174311|KX174311"	28	27	TRUE	"KX174311|KX174311"	863	899	37	"*"	28	10301
"14"	"AF321523|AF321523"	9407	9463	"+"	14	31.773	20	0.0551102	463	522	9407	1	1	45	45	5	61	9913	10301	"KX174311|KX174311"	20	25	TRUE	"KX174311|KX174311"	463	522	60	"*"	20	10301
"4"	"AF321523|AF321523"	8971	9236	"+"	4	105.893	72	2.61668e-24	9331	9596	8971	1	1	174	174	4	268	9913	10301	"KX174311|KX174311"	72	24	TRUE	"KX174311|KX174311"	9331	9596	266	"*"	72	10301
"27"	"AF321523|AF321523"	8415	8435	"+"	27	24.6461	15	7.7217	1133	1153	8415	1	1	18	18	NA	21	9913	10301	"KX174311|KX174311"	15	22	TRUE	"KX174311|KX174311"	1133	1153	21	"*"	15	10301
"13"	"AF321523|AF321523"	8060	8320	"+"	13	40.3253	26	0.00014637	8561	8821	8060	1	1	151	151	6	264	9913	10301	"KX174311|KX174311"	26	21	TRUE	"KX174311|KX174311"	8561	8821	261	"*"	26	10301
"3"	"AF321523|AF321523"	7431	8024	"+"	3	127.274	87	9.51171e-31	7948	8537	7431	1	1	367	367	26	605	9913	10301	"KX174311|KX174311"	87	20	TRUE	"KX174311|KX174311"	7948	8537	590	"*"	87	10301
"16"	"AF321523|AF321523"	6665	6911	"+"	16	31.773	20	0.0551102	7175	7418	6665	1	1	141	141	7	249	9913	10301	"KX174311|KX174311"	20	18	TRUE	"KX174311|KX174311"	7175	7418	244	"*"	20	10301
"12"	"AF321523|AF321523"	6324	6383	"+"	12	40.3253	26	0.00014637	6774	6833	6324	1	1	43	43	NA	60	9913	10301	"KX174311|KX174311"	26	17	TRUE	"KX174311|KX174311"	6774	6833	60	"*"	26	10301
"8"	"AF321523|AF321523"	5877	5953	"+"	8	56.0045	37	2.77451e-09	6555	6631	5877	1	1	57	57	NA	77	9913	10301	"KX174311|KX174311"	37	16	TRUE	"KX174311|KX174311"	6555	6631	77	"*"	37	10301
"23"	"AF321523|AF321523"	5433	5458	"+"	23	26.0715	16	2.87354	3523	3548	5433	1	1	21	21	NA	26	9913	10301	"KX174311|KX174311"	16	15	TRUE	"KX174311|KX174311"	3523	3548	26	"*"	16	10301
"9"	"AF321523|AF321523"	5307	5393	"+"	9	47.4522	31	1.04465e-06	5714	5800	5307	1	1	59	59	NA	87	9913	10301	"KX174311|KX174311"	31	14	TRUE	"KX174311|KX174311"	5714	5800	87	"*"	31	10301
"1"	"AF321523|AF321523"	2235	5113	"+"	1	1102.24	771	0	2639	5517	2235	1	1	1872	1872	40	2899	9913	10301	"KX174311|KX174311"	771	13	TRUE	"KX174311|KX174311"	2639	5517	2879	"*"	771	10301
"2"	"AF321523|AF321523"	771	2085	"+"	2	422.328	294	1.29412e-119	1083	2402	771	1	1	852	852	41	1338	9913	10301	"KX174311|KX174311"	294	9	TRUE	"KX174311|KX174311"	1083	2402	1320	"*"	294	10301
"26"	"AF321523|AF321523"	744	762	"+"	26	24.6461	15	7.7217	1045	1063	744	1	1	17	17	NA	19	9913	10301	"KX174311|KX174311"	15	7	TRUE	"KX174311|KX174311"	1045	1063	19	"*"	15	10301
"11"	"AF321523|AF321523"	620	654	"+"	11	43.1761	28	2.02703e-05	863	899	620	1	1	34	34	2	37	9913	10301	"KX174311|KX174311"	28	6	TRUE	"KX174311|KX174311"	863	899	37	"*"	28	10301
"18"	"AF321523|AF321523"	329	369	"+"	18	30.3476	19	0.148091	463	505	329	1	1	33	33	2	43	9913	10301	"KX174311|KX174311"	19	4	TRUE	"KX174311|KX174311"	463	505	43	"*"	19	10301
"28"	"AF321523|AF321523"	231	251	"+"	28	24.6461	15	7.7217	9328	9348	231	1	1	18	18	NA	21	9913	10301	"KX174311|KX174311"	15	3	TRUE	"KX174311|KX174311"	9328	9348	21	"*"	15	10301
"6"	"AF321523|AF321523"	1	157	"+"	6	63.1314	42	1.98016e-11	17	173	1	1	1	102	102	2	158	9913	10301	"KX174311|KX174311"	42	1	TRUE	"KX174311|KX174311"	17	173	157	"*"	42	10301
