"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"11"	"KC503852|KC503852"	9332	9395	"+"	11	34.6238	22	0.00707842	9341	9406	9332	1	1	46	46	2	66	9804	9664	"U79412|SIU79412"	22	19	TRUE	"U79412|SIU79412"	9341	9406	66	"*"	66	9664
"4"	"KC503852|KC503852"	8897	9158	"+"	4	115.871	79	2.39597e-27	8831	9092	8897	1	1	173	173	2	263	9804	9664	"U79412|SIU79412"	79	18	TRUE	"U79412|SIU79412"	8831	9092	262	"*"	263	9664
"9"	"KC503852|KC503852"	8058	8213	"+"	9	46.0268	30	2.60314e-06	8043	8198	8058	1	1	98	98	4	158	9804	9664	"U79412|SIU79412"	30	17	TRUE	"U79412|SIU79412"	8043	8198	156	"*"	158	9664
"3"	"KC503852|KC503852"	7578	7952	"+"	3	128.699	88	3.27875e-31	7569	7949	7578	1	1	247	247	14	385	9804	9664	"U79412|SIU79412"	88	16	TRUE	"U79412|SIU79412"	7569	7949	381	"*"	385	9664
"19"	"KC503852|KC503852"	6747	6784	"-"	19	26.0715	16	2.6654	6517	6554	6747	1	-1	27	27	NA	38	9804	9664	"U79412|SIU79412"	16	14	TRUE	"U79412|SIU79412"	6517	6554	38	"*"	38	9664
"10"	"KC503852|KC503852"	6234	6291	"+"	10	34.6238	22	0.00707842	6147	6204	6234	1	1	40	40	NA	58	9804	9664	"U79412|SIU79412"	22	13	TRUE	"U79412|SIU79412"	6147	6204	58	"*"	58	9664
"7"	"KC503852|KC503852"	5792	5967	"+"	7	70.2583	47	1.3101e-13	5912	6080	5792	1	1	117	117	7	176	9804	9664	"U79412|SIU79412"	47	12	TRUE	"U79412|SIU79412"	5912	6080	169	"*"	176	9664
"5"	"KC503852|KC503852"	5460	5712	"+"	5	100.191	68	1.26434e-22	5612	5867	5460	1	1	167	167	5	257	9804	9664	"U79412|SIU79412"	68	11	TRUE	"U79412|SIU79412"	5612	5867	256	"*"	257	9664
"17"	"KC503852|KC503852"	5122	5144	"+"	17	24.6461	15	7.16254	7559	7581	5122	1	1	19	19	NA	23	9804	9664	"U79412|SIU79412"	15	10	TRUE	"U79412|SIU79412"	7559	7581	23	"*"	23	9664
"1"	"KC503852|KC503852"	2153	4953	"+"	1	1180.63	826	0	2014	4812	2153	1	1	1868	1868	48	2824	9804	9664	"U79412|SIU79412"	826	9	TRUE	"U79412|SIU79412"	2014	4812	2799	"*"	2824	9664
"2"	"KC503852|KC503852"	1148	2001	"+"	2	361.036	251	3.44859e-101	983	1839	1148	1	1	576	576	21	866	9804	9664	"U79412|SIU79412"	251	6	TRUE	"U79412|SIU79412"	983	1839	857	"*"	866	9664
"13"	"KC503852|KC503852"	1012	1044	"+"	13	26.0715	16	2.6654	3999	4032	1012	1	1	26	26	1	34	9804	9664	"U79412|SIU79412"	16	4	TRUE	"U79412|SIU79412"	3999	4032	34	"*"	34	9664
"6"	"KC503852|KC503852"	710	892	"+"	6	91.6391	62	4.7611e-20	530	712	710	1	1	125	125	2	184	9804	9664	"U79412|SIU79412"	62	3	TRUE	"U79412|SIU79412"	530	712	183	"*"	184	9664
"8"	"KC503852|KC503852"	538	595	"+"	8	47.4522	31	9.68707e-07	281	339	538	1	1	48	48	3	60	9804	9664	"U79412|SIU79412"	31	2	TRUE	"U79412|SIU79412"	281	339	59	"*"	60	9664
"12"	"KC503852|KC503852"	248	314	"+"	12	34.6238	22	0.00707842	9337	9406	248	1	1	49	49	3	70	9804	9664	"U79412|SIU79412"	22	1	TRUE	"U79412|SIU79412"	9337	9406	70	"*"	70	9664
