"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"14"	"KC503852|KC503852"	9332	9395	"+"	14	31.773	20	0.0557452	659	724	9332	1	1	45	45	2	66	9804	10535	"M33262|SIVMM239"	20	24	TRUE	"M33262|SIVMM239"	659	724	66	"*"	66	10535
"4"	"KC503852|KC503852"	8897	9158	"+"	4	105.893	72	2.64719e-24	9610	9871	8897	1	1	172	172	4	264	9804	10535	"M33262|SIVMM239"	72	23	TRUE	"M33262|SIVMM239"	9610	9871	262	"*"	264	10535
"25"	"KC503852|KC503852"	8629	8652	"-"	25	26.0715	16	2.90662	38	61	8629	1	-1	20	20	NA	24	9804	10535	"M33262|SIVMM239"	16	21	TRUE	"M33262|SIVMM239"	38	61	24	"*"	24	10535
"12"	"KC503852|KC503852"	8045	8213	"+"	12	41.7507	27	5.50985e-05	8807	8977	8045	1	1	106	106	6	173	9804	10535	"M33262|SIVMM239"	27	20	TRUE	"M33262|SIVMM239"	8807	8977	171	"*"	173	10535
"3"	"KC503852|KC503852"	7578	7952	"+"	3	122.997	84	1.86727e-29	8348	8728	7578	1	1	245	245	14	385	9804	10535	"M33262|SIVMM239"	84	19	TRUE	"M33262|SIVMM239"	8348	8728	381	"*"	385	10535
"13"	"KC503852|KC503852"	6234	6293	"+"	13	40.3253	26	0.000148059	6935	6994	6234	1	1	43	43	NA	60	9804	10535	"M33262|SIVMM239"	26	17	TRUE	"M33262|SIVMM239"	6935	6994	60	"*"	60	10535
"7"	"KC503852|KC503852"	5792	5967	"+"	7	68.8329	46	3.84162e-13	6700	6868	5792	1	1	117	117	7	176	9804	10535	"M33262|SIVMM239"	46	16	TRUE	"M33262|SIVMM239"	6700	6868	169	"*"	176	10535
"5"	"KC503852|KC503852"	5460	5712	"+"	5	101.617	69	5.13664e-23	6400	6655	5460	1	1	165	165	3	256	9804	10535	"M33262|SIVMM239"	69	15	TRUE	"M33262|SIVMM239"	6400	6655	256	"*"	256	10535
"23"	"KC503852|KC503852"	5122	5144	"+"	23	24.6461	15	7.81057	8338	8360	5122	1	1	19	19	NA	23	9804	10535	"M33262|SIVMM239"	15	14	TRUE	"M33262|SIVMM239"	8338	8360	23	"*"	23	10535
"1"	"KC503852|KC503852"	2153	4953	"+"	1	1167.8	817	0	2802	5600	2153	1	1	1862	1862	46	2823	9804	10535	"M33262|SIVMM239"	817	13	TRUE	"M33262|SIVMM239"	2802	5600	2799	"*"	2823	10535
"2"	"KC503852|KC503852"	1130	2001	"+"	2	352.484	245	1.4237e-98	1741	2615	1130	1	1	582	582	21	884	9804	10535	"M33262|SIVMM239"	245	10	TRUE	"M33262|SIVMM239"	1741	2615	875	"*"	884	10535
"18"	"KC503852|KC503852"	1012	1044	"+"	18	26.0715	16	2.90662	4787	4820	1012	1	1	26	26	1	34	9804	10535	"M33262|SIVMM239"	16	7	TRUE	"M33262|SIVMM239"	4787	4820	34	"*"	34	10535
"6"	"KC503852|KC503852"	710	892	"+"	6	85.9375	58	2.70989e-18	1306	1488	710	1	1	123	123	2	184	9804	10535	"M33262|SIVMM239"	58	6	TRUE	"M33262|SIVMM239"	1306	1488	183	"*"	184	10535
"11"	"KC503852|KC503852"	538	595	"+"	11	44.6014	29	7.63042e-06	1056	1114	538	1	1	47	47	3	60	9804	10535	"M33262|SIVMM239"	29	5	TRUE	"M33262|SIVMM239"	1056	1114	59	"*"	60	10535
"16"	"KC503852|KC503852"	252	314	"+"	16	30.3476	19	0.149797	660	724	252	1	1	44	44	2	65	9804	10535	"M33262|SIVMM239"	19	3	TRUE	"M33262|SIVMM239"	660	724	65	"*"	65	10535
"9"	"KC503852|KC503852"	1	77	"+"	9	47.4522	31	1.05671e-06	334	410	1	1	1	54	54	NA	77	9804	10535	"M33262|SIVMM239"	31	1	TRUE	"M33262|SIVMM239"	334	410	77	"*"	77	10535
