"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"13"	"EU861977|EU861977"	9602	9643	"+"	13	28.9222	18	0.394843	595	636	9602	1	1	30	30	NA	42	9781	10359	"NC_001722|NC_001722"	18	22	TRUE	"NC_001722|NC_001722"	595	636	42	"*"	42	10359
"3"	"EU861977|EU861977"	9030	9404	"+"	3	115.871	79	2.56568e-27	9399	9767	9030	1	1	240	240	14	379	9781	10359	"NC_001722|NC_001722"	79	21	TRUE	"NC_001722|NC_001722"	9399	9767	369	"*"	379	10359
"19"	"EU861977|EU861977"	8795	8814	"+"	19	26.0715	16	2.85114	9245	9264	8795	1	1	18	18	NA	20	9781	10359	"NC_001722|NC_001722"	16	18	TRUE	"NC_001722|NC_001722"	9245	9264	20	"*"	20	10359
"8"	"EU861977|EU861977"	8111	8379	"+"	8	63.1314	42	1.96462e-11	8552	8820	8111	1	1	160	160	4	271	9781	10359	"NC_001722|NC_001722"	42	17	TRUE	"NC_001722|NC_001722"	8552	8820	269	"*"	271	10359
"4"	"EU861977|EU861977"	7499	8074	"+"	4	115.871	79	2.56568e-27	7958	8527	7499	1	1	345	345	18	582	9781	10359	"NC_001722|NC_001722"	79	16	TRUE	"NC_001722|NC_001722"	7958	8527	570	"*"	582	10359
"17"	"EU861977|EU861977"	7382	7410	"+"	17	27.4968	17	1.06102	7868	7896	7382	1	1	23	23	NA	29	9781	10359	"NC_001722|NC_001722"	17	15	TRUE	"NC_001722|NC_001722"	7868	7896	29	"*"	29	10359
"12"	"EU861977|EU861977"	6777	6834	"+"	12	31.773	20	0.0546803	2794	2850	6777	1	1	40	40	1	58	9781	10359	"NC_001722|NC_001722"	20	14	TRUE	"NC_001722|NC_001722"	2794	2850	57	"*"	58	10359
"20"	"EU861977|EU861977"	6557	6577	"+"	20	24.6461	15	7.66154	2214	2234	6557	1	1	18	18	NA	21	9781	10359	"NC_001722|NC_001722"	15	13	TRUE	"NC_001722|NC_001722"	2214	2234	21	"*"	21	10359
"11"	"EU861977|EU861977"	6335	6394	"+"	11	40.3253	26	0.000145227	6779	6838	6335	1	1	43	43	NA	60	9781	10359	"NC_001722|NC_001722"	26	12	TRUE	"NC_001722|NC_001722"	6779	6838	60	"*"	60	10359
"9"	"EU861977|EU861977"	5574	5827	"+"	9	60.2807	40	1.41865e-10	6264	6514	5574	1	1	152	152	5	255	9781	10359	"NC_001722|NC_001722"	40	11	TRUE	"NC_001722|NC_001722"	6264	6514	251	"*"	255	10359
"1"	"EU861977|EU861977"	2258	5050	"+"	1	1152.12	806	0	2638	5427	2258	1	1	1850	1850	55	2819	9781	10359	"NC_001722|NC_001722"	806	9	TRUE	"NC_001722|NC_001722"	2638	5427	2790	"*"	2819	10359
"2"	"EU861977|EU861977"	1251	2099	"+"	2	375.29	261	1.88626e-105	1559	2404	1251	1	1	574	574	17	856	9781	10359	"NC_001722|NC_001722"	261	8	TRUE	"NC_001722|NC_001722"	1559	2404	846	"*"	856	10359
"10"	"EU861977|EU861977"	636	672	"+"	10	43.1761	28	2.01118e-05	843	881	636	1	1	35	35	2	39	9781	10359	"NC_001722|NC_001722"	28	6	TRUE	"NC_001722|NC_001722"	843	881	39	"*"	39	10359
"14"	"EU861977|EU861977"	469	510	"+"	14	28.9222	18	0.394843	595	636	469	1	1	30	30	NA	42	9781	10359	"NC_001722|NC_001722"	18	4	TRUE	"NC_001722|NC_001722"	595	636	42	"*"	42	10359
"6"	"EU861977|EU861977"	1	271	"+"	6	68.8329	46	3.76778e-13	1	263	1	1	1	173	173	16	275	9781	10359	"NC_001722|NC_001722"	46	2	TRUE	"NC_001722|NC_001722"	1	263	263	"*"	275	10359
