"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"17"	"JQ866001|JQ866001"	9646	9694	"+"	17	27.4968	17	1.00438	9352	9399	9646	1	1	34	34	1	49	9927	9664	"U79412|SIU79412"	17	24	TRUE	"U79412|SIU79412"	9352	9399	48	"*"	17	9664
"5"	"JQ866001|JQ866001"	9190	9454	"+"	5	118.721	81	3.36041e-28	8845	9109	9190	1	1	173	173	NA	265	9927	9664	"U79412|SIU79412"	81	22	TRUE	"U79412|SIU79412"	8845	9109	265	"*"	81	9664
"16"	"JQ866001|JQ866001"	8534	8607	"+"	16	31.773	20	0.0517592	8270	8344	8534	1	1	53	53	5	77	9927	9664	"U79412|SIU79412"	20	21	TRUE	"U79412|SIU79412"	8270	8344	75	"*"	20	9664
"10"	"JQ866001|JQ866001"	8328	8527	"+"	10	54.5791	36	7.00052e-09	8044	8243	8328	1	1	123	123	4	202	9927	9664	"U79412|SIU79412"	36	20	TRUE	"U79412|SIU79412"	8044	8243	200	"*"	36	9664
"7"	"JQ866001|JQ866001"	7916	8185	"+"	7	87.3629	59	9.35671e-19	7680	7949	7916	1	1	167	167	2	271	9927	9664	"U79412|SIU79412"	59	19	TRUE	"U79412|SIU79412"	7680	7949	270	"*"	59	9664
"14"	"JQ866001|JQ866001"	6665	6710	"+"	14	34.6238	22	0.00716772	6366	6411	6665	1	1	34	34	NA	46	9927	9664	"U79412|SIU79412"	22	18	TRUE	"U79412|SIU79412"	6366	6411	46	"*"	22	9664
"8"	"JQ866001|JQ866001"	5663	5780	"+"	8	64.5568	43	6.91832e-12	5603	5723	5663	1	1	85	85	3	121	9927	9664	"U79412|SIU79412"	43	16	TRUE	"U79412|SIU79412"	5603	5723	121	"*"	43	9664
"1"	"JQ866001|JQ866001"	2361	5153	"+"	1	1270.43	889	0	2023	4812	2361	1	1	1890	1890	41	2812	9927	9664	"U79412|SIU79412"	889	15	TRUE	"U79412|SIU79412"	2023	4812	2790	"*"	889	9664
"2"	"JQ866001|JQ866001"	1645	2135	"+"	2	266.961	185	7.55427e-73	1304	1788	1645	1	1	359	359	20	498	9927	9664	"U79412|SIU79412"	185	9	TRUE	"U79412|SIU79412"	1304	1788	485	"*"	185	9664
"4"	"JQ866001|JQ866001"	1312	1614	"+"	4	127.274	87	8.92385e-31	983	1279	1312	1	1	206	206	12	306	9927	9664	"U79412|SIU79412"	87	7	TRUE	"U79412|SIU79412"	983	1279	297	"*"	87	9664
"6"	"JQ866001|JQ866001"	800	1126	"+"	6	110.169	75	1.26541e-25	528	853	800	1	1	207	207	5	329	9927	9664	"U79412|SIU79412"	75	5	TRUE	"U79412|SIU79412"	528	853	326	"*"	75	9664
"11"	"JQ866001|JQ866001"	621	668	"+"	11	43.1761	28	1.90353e-05	273	324	621	1	1	43	43	4	52	9927	9664	"U79412|SIU79412"	28	4	TRUE	"U79412|SIU79412"	273	324	52	"*"	28	9664
"18"	"JQ866001|JQ866001"	369	417	"+"	18	27.4968	17	1.00438	9352	9399	369	1	1	34	34	1	49	9927	9664	"U79412|SIU79412"	17	3	TRUE	"U79412|SIU79412"	9352	9399	48	"*"	17	9664
"9"	"JQ866001|JQ866001"	70	177	"+"	9	54.5791	36	7.00052e-09	9002	9109	70	1	1	72	72	NA	108	9927	9664	"U79412|SIU79412"	36	1	TRUE	"U79412|SIU79412"	9002	9109	108	"*"	36	9664
