"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"12"	"MH705134|MH705134"	9508	9621	"+"	12	37.4745	24	0.00104925	447	560	9508	1	1	74	74	4	116	9792	10353	"AF082339|AF082339"	24	20	TRUE	"AF082339|AF082339"	447	560	114	"*"	116	10353
"3"	"MH705134|MH705134"	9054	9327	"+"	3	125.848	86	2.53711e-30	9410	9683	9054	1	1	180	180	NA	274	9792	10353	"AF082339|AF082339"	86	19	TRUE	"AF082339|AF082339"	9410	9683	274	"*"	274	10353
"20"	"MH705134|MH705134"	8745	8817	"+"	20	26.0715	16	2.8527	1900	1964	8745	1	1	51	51	8	73	9792	10353	"AF082339|AF082339"	16	17	TRUE	"AF082339|AF082339"	1900	1964	65	"*"	73	10353
"17"	"MH705134|MH705134"	8443	8480	"+"	17	28.9222	18	0.39506	8886	8923	8443	1	1	28	28	NA	38	9792	10353	"AF082339|AF082339"	18	16	TRUE	"AF082339|AF082339"	8886	8923	38	"*"	38	10353
"9"	"MH705134|MH705134"	8093	8382	"+"	9	65.9822	44	2.72221e-12	8515	8804	8093	1	1	177	177	8	294	9792	10353	"AF082339|AF082339"	44	15	TRUE	"AF082339|AF082339"	8515	8804	290	"*"	294	10353
"4"	"MH705134|MH705134"	7700	8077	"+"	4	111.594	76	4.98132e-26	8134	8511	7700	1	1	242	242	14	385	9792	10353	"AF082339|AF082339"	76	14	TRUE	"AF082339|AF082339"	8134	8511	378	"*"	385	10353
"16"	"MH705134|MH705134"	7402	7650	"+"	16	37.4745	24	0.00104925	7848	8093	7402	1	1	146	146	9	252	9792	10353	"AF082339|AF082339"	24	13	TRUE	"AF082339|AF082339"	7848	8093	246	"*"	252	10353
"19"	"MH705134|MH705134"	6126	6153	"+"	19	26.0715	16	2.8527	2765	2792	6126	1	1	22	22	NA	28	9792	10353	"AF082339|AF082339"	16	12	TRUE	"AF082339|AF082339"	2765	2792	28	"*"	28	10353
"21"	"MH705134|MH705134"	6092	6108	"+"	21	24.6461	15	7.66573	8762	8778	6092	1	1	16	16	NA	17	9792	10353	"AF082339|AF082339"	15	11	TRUE	"AF082339|AF082339"	8762	8778	17	"*"	17	10353
"10"	"MH705134|MH705134"	5927	6083	"+"	10	50.303	33	1.43615e-07	6544	6694	5927	1	1	99	99	6	157	9792	10353	"AF082339|AF082339"	33	10	TRUE	"AF082339|AF082339"	6544	6694	151	"*"	157	10353
"1"	"MH705134|MH705134"	2285	5077	"+"	1	1203.44	842	0	2631	5420	2285	1	1	1872	1872	45	2814	9792	10353	"AF082339|AF082339"	842	9	TRUE	"AF082339|AF082339"	2631	5420	2790	"*"	2814	10353
"5"	"MH705134|MH705134"	1985	2129	"+"	5	104.468	71	6.97982e-24	2253	2397	1985	1	1	108	108	NA	145	9792	10353	"AF082339|AF082339"	71	8	TRUE	"AF082339|AF082339"	2253	2397	145	"*"	145	10353
"2"	"MH705134|MH705134"	1273	1921	"+"	2	328.253	228	2.77381e-91	1550	2198	1273	1	1	450	450	10	654	9792	10353	"AF082339|AF082339"	228	7	TRUE	"AF082339|AF082339"	1550	2198	649	"*"	654	10353
"18"	"MH705134|MH705134"	992	1013	"+"	18	26.0715	16	2.8527	3404	3425	992	1	1	19	19	NA	22	9792	10353	"AF082339|AF082339"	16	6	TRUE	"AF082339|AF082339"	3404	3425	22	"*"	22	10353
"11"	"MH705134|MH705134"	633	674	"+"	11	47.4522	31	1.03704e-06	838	881	633	1	1	39	39	2	44	9792	10353	"AF082339|AF082339"	31	5	TRUE	"AF082339|AF082339"	838	881	44	"*"	44	10353
"13"	"MH705134|MH705134"	361	474	"+"	13	37.4745	24	0.00104925	447	560	361	1	1	74	74	4	116	9792	10353	"AF082339|AF082339"	24	3	TRUE	"AF082339|AF082339"	447	560	114	"*"	116	10353
"7"	"MH705134|MH705134"	1	180	"+"	7	83.0868	56	1.92016e-17	1	180	1	1	1	118	118	NA	180	9792	10353	"AF082339|AF082339"	56	1	TRUE	"AF082339|AF082339"	1	180	180	"*"	180	10353
