"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"10"	"AY271690|AY271690"	9518	9633	"+"	10	43.1761	28	2.00876e-05	439	555	9518	1	1	84	84	11	122	9774	10354	"KY025538|KY025538"	28	22	TRUE	"KY025538|KY025538"	439	555	117	"*"	122	10354
"14"	"AY271690|AY271690"	9353	9448	"+"	14	33.1984	21	0.020324	9679	9774	9353	1	1	61	61	2	97	9774	10354	"KY025538|KY025538"	21	21	TRUE	"KY025538|KY025538"	9679	9774	96	"*"	97	10354
"4"	"AY271690|AY271690"	9076	9342	"+"	4	113.02	77	1.85043e-26	9414	9681	9076	1	1	176	176	3	269	9774	10354	"KY025538|KY025538"	77	19	TRUE	"KY025538|KY025538"	9414	9681	268	"*"	269	10354
"17"	"AY271690|AY271690"	8773	8818	"+"	17	31.773	20	0.0546144	9222	9267	8773	1	1	33	33	NA	46	9774	10354	"KY025538|KY025538"	20	18	TRUE	"KY025538|KY025538"	9222	9267	46	"*"	46	10354
"12"	"AY271690|AY271690"	8135	8403	"+"	12	41.7507	27	5.3979e-05	8542	8810	8135	1	1	162	162	12	275	9774	10354	"KY025538|KY025538"	27	17	TRUE	"KY025538|KY025538"	8542	8810	269	"*"	275	10354
"3"	"AY271690|AY271690"	7724	8098	"+"	3	117.296	80	9.53609e-28	8140	8517	7724	1	1	237	237	7	380	9774	10354	"KY025538|KY025538"	80	16	TRUE	"KY025538|KY025538"	8140	8517	378	"*"	380	10354
"22"	"AY271690|AY271690"	7622	7644	"+"	22	24.6461	15	7.65233	8401	8423	7622	1	1	19	19	NA	23	9774	10354	"KY025538|KY025538"	15	15	TRUE	"KY025538|KY025538"	8401	8423	23	"*"	23	10354
"13"	"AY271690|AY271690"	7498	7589	"+"	13	37.4745	24	0.00104741	7944	8035	7498	1	1	58	58	NA	92	9774	10354	"KY025538|KY025538"	24	14	TRUE	"KY025538|KY025538"	7944	8035	92	"*"	92	10354
"16"	"AY271690|AY271690"	7360	7389	"+"	16	31.773	20	0.0546144	7839	7868	7360	1	1	25	25	NA	30	9774	10354	"KY025538|KY025538"	20	13	TRUE	"KY025538|KY025538"	7839	7868	30	"*"	30	10354
"19"	"AY271690|AY271690"	6786	6831	"+"	19	27.4968	17	1.05974	8737	8782	6786	1	1	34	34	2	47	9774	10354	"KY025538|KY025538"	17	12	TRUE	"KY025538|KY025538"	8737	8782	46	"*"	47	10354
"23"	"AY271690|AY271690"	6106	6128	"+"	23	24.6461	15	7.65233	8737	8759	6106	1	1	19	19	NA	23	9774	10354	"KY025538|KY025538"	15	11	TRUE	"KY025538|KY025538"	8737	8759	23	"*"	23	10354
"8"	"AY271690|AY271690"	5913	6011	"+"	8	54.5791	36	7.38828e-09	6547	6649	5913	1	1	73	73	4	103	9774	10354	"KY025538|KY025538"	36	10	TRUE	"KY025538|KY025538"	6547	6649	103	"*"	103	10354
"1"	"AY271690|AY271690"	2264	5161	"+"	1	1160.68	812	0	2627	5523	2264	1	1	1911	1911	47	2921	9774	10354	"KY025538|KY025538"	812	9	TRUE	"KY025538|KY025538"	2627	5523	2897	"*"	2921	10354
"2"	"AY271690|AY271690"	1261	2104	"+"	2	369.589	257	9.82399e-104	1543	2383	1261	1	1	569	569	17	851	9774	10354	"KY025538|KY025538"	257	7	TRUE	"KY025538|KY025538"	1543	2383	841	"*"	851	10354
"20"	"AY271690|AY271690"	834	850	"+"	20	24.6461	15	7.65233	6910	6926	834	1	1	16	16	NA	17	9774	10354	"KY025538|KY025538"	15	5	TRUE	"KY025538|KY025538"	6910	6926	17	"*"	17	10354
"9"	"AY271690|AY271690"	618	653	"+"	9	44.6014	29	7.47531e-06	833	870	618	1	1	35	35	2	38	9774	10354	"KY025538|KY025538"	29	4	TRUE	"KY025538|KY025538"	833	870	38	"*"	38	10354
"15"	"AY271690|AY271690"	181	276	"+"	15	33.1984	21	0.020324	9679	9774	181	1	1	61	61	2	97	9774	10354	"KY025538|KY025538"	21	3	TRUE	"KY025538|KY025538"	9679	9774	96	"*"	97	10354
"7"	"AY271690|AY271690"	2	179	"+"	7	65.9822	44	2.71741e-12	6	184	2	1	1	115	115	3	180	9774	10354	"KY025538|KY025538"	44	2	TRUE	"KY025538|KY025538"	6	184	179	"*"	180	10354
