"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"7"	"KY658697|KY658697"	9674	9828	"+"	7	77.3852	52	9.56691e-16	401	551	9674	1	1	119	119	14	160	9875	9815	"L40990|SIVREV"	52	26	TRUE	"L40990|SIVREV"	401	551	151	"*"	52	9815
"3"	"KY658697|KY658697"	9221	9484	"+"	3	122.997	84	1.74994e-29	8987	9250	9221	1	1	179	179	4	266	9875	9815	"L40990|SIVREV"	84	25	TRUE	"L40990|SIVREV"	8987	9250	264	"*"	84	9815
"4"	"KY658697|KY658697"	8335	8696	"+"	4	101.617	69	4.81504e-23	8233	8594	8335	1	1	223	223	6	365	9875	9815	"L40990|SIVREV"	69	22	TRUE	"L40990|SIVREV"	8233	8594	362	"*"	69	9815
"22"	"KY658697|KY658697"	8031	8047	"+"	22	24.6461	15	7.32777	5537	5553	8031	1	1	16	16	NA	17	9875	9815	"L40990|SIVREV"	15	21	TRUE	"L40990|SIVREV"	5537	5553	17	"*"	15	9815
"16"	"KY658697|KY658697"	6796	6863	"+"	16	37.4745	24	0.00100289	6565	6632	6796	1	1	46	46	NA	68	9875	9815	"L40990|SIVREV"	24	20	TRUE	"L40990|SIVREV"	6565	6632	68	"*"	24	9815
"15"	"KY658697|KY658697"	6562	6596	"+"	15	38.8999	25	0.000373209	6349	6383	6562	1	1	30	30	NA	35	9875	9815	"L40990|SIVREV"	25	19	TRUE	"L40990|SIVREV"	6349	6383	35	"*"	25	9815
"19"	"KY658697|KY658697"	6399	6477	"+"	19	27.4968	17	1.01477	3599	3674	6399	1	1	51	51	3	79	9875	9815	"L40990|SIVREV"	17	18	TRUE	"L40990|SIVREV"	3599	3674	76	"*"	17	9815
"21"	"KY658697|KY658697"	6311	6354	"+"	21	26.0715	16	2.7269	5430	5472	6311	1	1	31	31	1	44	9875	9815	"L40990|SIVREV"	16	17	TRUE	"L40990|SIVREV"	5430	5472	43	"*"	16	9815
"1"	"KY658697|KY658697"	2593	5282	"+"	1	1154.97	808	0	2578	5270	2593	1	1	1808	1808	49	2716	9875	9815	"L40990|SIVREV"	808	15	TRUE	"L40990|SIVREV"	2578	5270	2693	"*"	808	9815
"2"	"KY658697|KY658697"	1415	2333	"+"	2	378.141	263	2.49107e-106	1352	2273	1415	1	1	620	620	27	934	9875	9815	"L40990|SIVREV"	263	9	TRUE	"L40990|SIVREV"	1352	2273	922	"*"	263	9815
"6"	"KY658697|KY658697"	1009	1210	"+"	6	87.3629	59	9.45462e-19	920	1120	1009	1	1	134	134	3	203	9875	9815	"L40990|SIVREV"	59	7	TRUE	"L40990|SIVREV"	920	1120	201	"*"	59	9815
"14"	"KY658697|KY658697"	861	898	"+"	14	46.0268	30	2.66342e-06	709	746	861	1	1	34	34	NA	38	9875	9815	"L40990|SIVREV"	30	6	TRUE	"L40990|SIVREV"	709	746	38	"*"	30	9815
"8"	"KY658697|KY658697"	587	741	"+"	8	77.3852	52	9.56691e-16	401	551	587	1	1	119	119	14	160	9875	9815	"L40990|SIVREV"	52	4	TRUE	"L40990|SIVREV"	401	551	151	"*"	52	9815
"11"	"KY658697|KY658697"	225	399	"+"	11	73.1091	49	1.85645e-14	9076	9250	225	1	1	117	117	4	177	9875	9815	"L40990|SIVREV"	49	3	TRUE	"L40990|SIVREV"	9076	9250	175	"*"	49	9815
"23"	"KY658697|KY658697"	3	19	"+"	23	24.6461	15	7.32777	8955	8971	3	1	1	16	16	NA	17	9875	9815	"L40990|SIVREV"	15	1	TRUE	"L40990|SIVREV"	8955	8971	17	"*"	15	9815
