"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"12"	"EU861977|EU861977"	9602	9648	"+"	12	30.3476	19	0.136221	9548	9593	9602	1	1	34	34	1	47	9781	9607	"AY530889|AY530889"	19	24	TRUE	"AY530889|AY530889"	9548	9593	46	"*"	19	9607
"18"	"EU861977|EU861977"	9347	9384	"+"	18	26.0715	16	2.64338	8844	8880	9347	1	1	28	28	1	38	9781	9607	"AY530889|AY530889"	16	22	TRUE	"AY530889|AY530889"	8844	8880	37	"*"	16	9607
"3"	"EU861977|EU861977"	9028	9312	"+"	3	124.423	85	6.30906e-30	8878	9165	9028	1	1	191	191	5	289	9781	9607	"AY530889|AY530889"	85	21	TRUE	"AY530889|AY530889"	8878	9165	288	"*"	85	9607
"21"	"EU861977|EU861977"	8706	8724	"+"	21	24.6461	15	7.10336	4126	4144	8706	1	1	17	17	NA	19	9781	9607	"AY530889|AY530889"	15	20	TRUE	"AY530889|AY530889"	4126	4144	19	"*"	15	9607
"4"	"EU861977|EU861977"	7700	8074	"+"	4	110.169	75	1.23895e-25	7634	8011	7700	1	1	243	243	17	385	9781	9607	"AY530889|AY530889"	75	19	TRUE	"AY530889|AY530889"	7634	8011	378	"*"	75	9607
"23"	"EU861977|EU861977"	7423	7455	"+"	23	24.6461	15	7.10336	2208	2240	7423	1	1	24	24	NA	33	9781	9607	"AY530889|AY530889"	15	17	TRUE	"AY530889|AY530889"	2208	2240	33	"*"	15	9607
"15"	"EU861977|EU861977"	7330	7417	"+"	15	28.9222	18	0.366057	7274	7360	7330	1	1	56	56	3	89	9781	9607	"AY530889|AY530889"	18	16	TRUE	"AY530889|AY530889"	7274	7360	87	"*"	18	9607
"22"	"EU861977|EU861977"	7053	7071	"+"	22	24.6461	15	7.10336	9313	9331	7053	1	1	17	17	NA	19	9781	9607	"AY530889|AY530889"	15	15	TRUE	"AY530889|AY530889"	9313	9331	19	"*"	15	9607
"11"	"EU861977|EU861977"	6491	6606	"+"	11	37.4745	24	0.00097211	6365	6480	6491	1	1	70	70	NA	116	9781	9607	"AY530889|AY530889"	24	14	TRUE	"AY530889|AY530889"	6365	6480	116	"*"	24	9607
"8"	"EU861977|EU861977"	5567	5810	"+"	8	68.8329	46	3.49123e-13	5717	5960	5567	1	1	145	145	NA	244	9781	9607	"AY530889|AY530889"	46	13	TRUE	"AY530889|AY530889"	5717	5960	244	"*"	46	9607
"9"	"EU861977|EU861977"	5315	5503	"+"	9	56.0045	37	2.55116e-09	5175	5367	5315	1	1	123	123	8	195	9781	9607	"AY530889|AY530889"	37	12	TRUE	"AY530889|AY530889"	5175	5367	193	"*"	37	9607
"1"	"EU861977|EU861977"	2258	5050	"+"	1	1160.68	812	0	2120	4906	2258	1	1	1834	1834	38	2809	9781	9607	"AY530889|AY530889"	812	11	TRUE	"AY530889|AY530889"	2120	4906	2787	"*"	812	9607
"14"	"EU861977|EU861977"	2157	2176	"+"	14	28.9222	18	0.366057	1959	1978	2157	1	1	19	19	NA	20	9781	9607	"AY530889|AY530889"	18	9	TRUE	"AY530889|AY530889"	1959	1978	20	"*"	18	9607
"6"	"EU861977|EU861977"	1968	2099	"+"	6	74.5345	50	6.69499e-15	1764	1895	1968	1	1	91	91	NA	132	9781	9607	"AY530889|AY530889"	50	8	TRUE	"AY530889|AY530889"	1764	1895	132	"*"	50	9607
"2"	"EU861977|EU861977"	1245	1897	"+"	2	301.17	209	3.67422e-83	1032	1684	1245	1	1	447	447	14	660	9781	9607	"AY530889|AY530889"	209	7	TRUE	"AY530889|AY530889"	1032	1684	653	"*"	209	9607
"5"	"EU861977|EU861977"	798	1099	"+"	5	85.9375	58	2.46202e-18	580	880	798	1	1	188	188	7	305	9781	9607	"AY530889|AY530889"	58	6	TRUE	"AY530889|AY530889"	580	880	301	"*"	58	9607
"10"	"EU861977|EU861977"	636	681	"+"	10	46.0268	30	2.58155e-06	336	384	636	1	1	42	42	3	49	9781	9607	"AY530889|AY530889"	30	5	TRUE	"AY530889|AY530889"	336	384	49	"*"	30	9607
"13"	"EU861977|EU861977"	469	515	"+"	13	30.3476	19	0.136221	9548	9593	469	1	1	34	34	1	47	9781	9607	"AY530889|AY530889"	19	4	TRUE	"AY530889|AY530889"	9548	9593	46	"*"	19	9607
"19"	"EU861977|EU861977"	214	251	"+"	19	26.0715	16	2.64338	8844	8880	214	1	1	28	28	1	38	9781	9607	"AY530889|AY530889"	16	2	TRUE	"AY530889|AY530889"	8844	8880	37	"*"	16	9607
"7"	"EU861977|EU861977"	1	179	"+"	7	70.2583	47	1.29918e-13	8986	9165	1	1	1	121	121	7	183	9781	9607	"AY530889|AY530889"	47	1	TRUE	"AY530889|AY530889"	8986	9165	180	"*"	47	9607
