"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"21"	"U27200|HIV2U27200"	10230	10268	"+"	21	40.3253	26	0.000147294	633	669	10230	1	1	34	34	2	39	10351	9927	"JQ866001|JQ866001"	26	30	TRUE	"JQ866001|JQ866001"	633	669	37	"*"	39	9927
"17"	"U27200|HIV2U27200"	9561	9656	"+"	17	41.7507	27	5.48138e-05	167	262	9561	1	1	64	64	2	97	10351	9927	"JQ866001|JQ866001"	27	28	TRUE	"JQ866001|JQ866001"	167	262	96	"*"	97	9927
"5"	"U27200|HIV2U27200"	9234	9543	"+"	5	135.826	93	2.54236e-33	9129	9435	9234	1	1	207	207	5	311	10351	9927	"JQ866001|JQ866001"	93	27	TRUE	"JQ866001|JQ866001"	9129	9435	307	"*"	311	9927
"15"	"U27200|HIV2U27200"	8804	8881	"+"	15	53.1537	35	2.01614e-08	8528	8604	8804	1	1	62	62	5	80	10351	9927	"JQ866001|JQ866001"	35	25	TRUE	"JQ866001|JQ866001"	8528	8604	77	"*"	80	9927
"8"	"U27200|HIV2U27200"	8526	8783	"+"	8	74.5345	50	7.32938e-15	8270	8527	8526	1	1	163	163	8	262	10351	9927	"JQ866001|JQ866001"	50	24	TRUE	"JQ866001|JQ866001"	8270	8527	258	"*"	262	9927
"7"	"U27200|HIV2U27200"	8214	8473	"+"	7	98.766	67	3.68983e-22	7910	8169	8214	1	1	166	166	2	261	10351	9927	"JQ866001|JQ866001"	67	23	TRUE	"JQ866001|JQ866001"	7910	8169	260	"*"	261	9927
"16"	"U27200|HIV2U27200"	7915	8201	"+"	16	43.1761	28	2.03983e-05	7593	7883	7915	1	1	168	168	8	293	10351	9927	"JQ866001|JQ866001"	28	22	TRUE	"JQ866001|JQ866001"	7593	7883	291	"*"	293	9927
"27"	"U27200|HIV2U27200"	7104	7120	"+"	27	24.6461	15	7.77031	7696	7712	7104	1	1	16	16	NA	17	10351	9927	"JQ866001|JQ866001"	15	21	TRUE	"JQ866001|JQ866001"	7696	7712	17	"*"	17	9927
"14"	"U27200|HIV2U27200"	6526	6670	"+"	14	56.0045	37	2.79207e-09	6007	6154	6526	1	1	95	95	3	148	10351	9927	"JQ866001|JQ866001"	37	20	TRUE	"JQ866001|JQ866001"	6007	6154	148	"*"	148	9927
"10"	"U27200|HIV2U27200"	6237	6326	"+"	10	60.2807	40	1.43892e-10	5691	5780	6237	1	1	65	65	NA	90	10351	9927	"JQ866001|JQ866001"	40	19	TRUE	"JQ866001|JQ866001"	5691	5780	90	"*"	90	9927
"9"	"U27200|HIV2U27200"	5647	5867	"+"	9	61.706	41	5.35476e-11	5399	5616	5647	1	1	133	133	3	221	10351	9927	"JQ866001|JQ866001"	41	17	TRUE	"JQ866001|JQ866001"	5399	5616	218	"*"	221	9927
"1"	"U27200|HIV2U27200"	2609	5398	"+"	1	1264.73	885	0	2361	5153	2609	1	1	1877	1877	31	2807	10351	9927	"JQ866001|JQ866001"	885	16	TRUE	"JQ866001|JQ866001"	2361	5153	2793	"*"	2807	9927
"2"	"U27200|HIV2U27200"	1836	2332	"+"	2	224.2	155	6.14554e-60	1642	2144	1836	1	1	341	341	12	506	10351	9927	"JQ866001|JQ866001"	155	10	TRUE	"JQ866001|JQ866001"	1642	2144	503	"*"	506	9927
"4"	"U27200|HIV2U27200"	1515	1833	"+"	4	138.677	95	3.52077e-34	1312	1633	1515	1	1	213	213	5	323	10351	9927	"JQ866001|JQ866001"	95	8	TRUE	"JQ866001|JQ866001"	1312	1633	322	"*"	323	9927
"6"	"U27200|HIV2U27200"	1070	1387	"+"	6	118.721	81	3.60435e-28	796	1112	1070	1	1	203	203	3	319	10351	9927	"JQ866001|JQ866001"	81	6	TRUE	"JQ866001|JQ866001"	796	1112	317	"*"	319	9927
"22"	"U27200|HIV2U27200"	839	877	"+"	22	40.3253	26	0.000147294	633	669	839	1	1	34	34	2	39	10351	9927	"JQ866001|JQ866001"	26	5	TRUE	"JQ866001|JQ866001"	633	669	37	"*"	39	9927
"19"	"U27200|HIV2U27200"	170	265	"+"	19	41.7507	27	5.48138e-05	167	262	170	1	1	64	64	2	97	10351	9927	"JQ866001|JQ866001"	27	3	TRUE	"JQ866001|JQ866001"	167	262	96	"*"	97	9927
"12"	"U27200|HIV2U27200"	35	152	"+"	12	60.2807	40	1.43892e-10	41	158	35	1	1	79	79	NA	118	10351	9927	"JQ866001|JQ866001"	40	1	TRUE	"JQ866001|JQ866001"	41	158	118	"*"	118	9927
