"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"17"	"MH705134|MH705134"	9679	9724	"+"	17	30.3476	19	0.142066	629	676	9679	1	1	38	38	4	49	9792	10006	"AF131870|AF131870"	19	23	TRUE	"AF131870|AF131870"	629	676	48	"*"	49	10006
"10"	"MH705134|MH705134"	9558	9652	"+"	10	48.8776	32	3.72887e-07	9673	9767	9558	1	1	68	68	4	97	9792	10006	"AF131870|AF131870"	32	22	TRUE	"AF131870|AF131870"	9673	9767	95	"*"	97	10006
"4"	"MH705134|MH705134"	9051	9299	"+"	4	103.042	70	1.81168e-23	9141	9389	9051	1	1	166	166	6	252	9792	10006	"AF131870|AF131870"	70	20	TRUE	"AF131870|AF131870"	9141	9389	249	"*"	252	10006
"22"	"MH705134|MH705134"	8927	8944	"+"	22	26.0715	16	2.75672	8193	8210	8927	1	1	17	17	NA	18	9792	10006	"AF131870|AF131870"	16	19	TRUE	"AF131870|AF131870"	8193	8210	18	"*"	18	10006
"23"	"MH705134|MH705134"	8194	8213	"+"	23	26.0715	16	2.75672	9042	9061	8194	1	1	18	18	NA	20	9792	10006	"AF131870|AF131870"	16	18	TRUE	"AF131870|AF131870"	9042	9061	20	"*"	20	10006
"6"	"MH705134|MH705134"	7764	8079	"+"	6	75.9599	51	2.5992e-15	8067	8379	7764	1	1	196	196	13	321	9792	10006	"AF131870|AF131870"	51	17	TRUE	"AF131870|AF131870"	8067	8379	313	"*"	321	10006
"19"	"MH705134|MH705134"	6611	6655	"+"	19	28.9222	18	0.381761	6713	6757	6611	1	1	34	34	2	46	9792	10006	"AF131870|AF131870"	18	15	TRUE	"AF131870|AF131870"	6713	6757	45	"*"	46	10006
"16"	"MH705134|MH705134"	5594	5694	"+"	16	40.3253	26	0.000140406	5933	6033	5594	1	1	66	66	2	102	9792	10006	"AF131870|AF131870"	26	14	TRUE	"AF131870|AF131870"	5933	6033	101	"*"	102	10006
"9"	"MH705134|MH705134"	5331	5506	"+"	9	53.1537	35	1.92164e-08	5704	5878	5331	1	1	109	109	3	177	9792	10006	"AF131870|AF131870"	35	13	TRUE	"AF131870|AF131870"	5704	5878	175	"*"	177	10006
"1"	"MH705134|MH705134"	2401	5077	"+"	1	1046.65	732	1.10975e-307	2720	5405	2401	1	1	1771	1771	55	2709	9792	10006	"AF131870|AF131870"	732	12	TRUE	"AF131870|AF131870"	2720	5405	2686	"*"	2709	10006
"8"	"MH705134|MH705134"	2060	2169	"+"	8	60.2807	40	1.3714e-10	2325	2434	2060	1	1	83	83	8	114	9792	10006	"AF131870|AF131870"	40	10	TRUE	"AF131870|AF131870"	2325	2434	110	"*"	114	10006
"15"	"MH705134|MH705134"	1991	2054	"+"	15	40.3253	26	0.000140406	2247	2310	1991	1	1	45	45	NA	64	9792	10006	"AF131870|AF131870"	26	9	TRUE	"AF131870|AF131870"	2247	2310	64	"*"	64	10006
"2"	"MH705134|MH705134"	1594	1925	"+"	2	164.334	113	6.28026e-42	1802	2133	1594	1	1	225	225	2	333	9792	10006	"AF131870|AF131870"	113	8	TRUE	"AF131870|AF131870"	1802	2133	332	"*"	333	10006
"3"	"MH705134|MH705134"	1254	1481	"+"	3	134.401	92	6.50715e-33	1453	1680	1254	1	1	160	160	NA	228	9792	10006	"AF131870|AF131870"	92	7	TRUE	"AF131870|AF131870"	1453	1680	228	"*"	228	10006
"7"	"MH705134|MH705134"	920	1127	"+"	7	67.4076	45	9.7871e-13	1158	1365	920	1	1	131	131	4	210	9792	10006	"AF131870|AF131870"	45	6	TRUE	"AF131870|AF131870"	1158	1365	208	"*"	210	10006
"14"	"MH705134|MH705134"	640	713	"+"	14	44.6014	29	7.23571e-06	764	840	640	1	1	58	58	5	78	9792	10006	"AF131870|AF131870"	29	5	TRUE	"AF131870|AF131870"	764	840	77	"*"	78	10006
"20"	"MH705134|MH705134"	532	553	"+"	20	27.4968	17	1.02587	629	651	532	1	1	21	21	1	23	9792	10006	"AF131870|AF131870"	17	3	TRUE	"AF131870|AF131870"	629	651	23	"*"	23	10006
"11"	"MH705134|MH705134"	411	505	"+"	11	48.8776	32	3.72887e-07	9673	9767	411	1	1	68	68	4	97	9792	10006	"AF131870|AF131870"	32	2	TRUE	"AF131870|AF131870"	9673	9767	95	"*"	97	10006
