"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"16"	"AF321523|AF321523"	9698	9737	"+"	16	50.303	33	1.44867e-07	817	858	9698	1	1	39	39	2	42	9913	10315	"DQ201174|DQ201174"	33	29	TRUE	"DQ201174|DQ201174"	817	858	42	"*"	42	10315
"7"	"AF321523|AF321523"	9407	9571	"+"	7	67.4076	45	1.02189e-12	403	574	9407	1	1	121	121	13	175	9913	10315	"DQ201174|DQ201174"	45	27	TRUE	"DQ201174|DQ201174"	403	574	172	"*"	175	10315
"14"	"AF321523|AF321523"	9080	9347	"+"	14	61.706	41	5.32835e-11	1	262	9080	1	1	163	163	10	270	9913	10315	"DQ201174|DQ201174"	41	26	TRUE	"DQ201174|DQ201174"	1	262	262	"*"	270	10315
"21"	"AF321523|AF321523"	8782	8811	"+"	21	26.0715	16	2.87746	375	404	8782	1	1	23	23	NA	30	9913	10315	"DQ201174|DQ201174"	16	23	TRUE	"DQ201174|DQ201174"	375	404	30	"*"	30	10315
"9"	"AF321523|AF321523"	8057	8329	"+"	9	67.4076	45	1.02189e-12	8515	8787	8057	1	1	169	169	8	277	9913	10315	"DQ201174|DQ201174"	45	22	TRUE	"DQ201174|DQ201174"	8515	8787	273	"*"	277	10315
"3"	"AF321523|AF321523"	7452	8024	"+"	3	144.378	99	6.71831e-36	7925	8494	7452	1	1	371	371	35	589	9913	10315	"DQ201174|DQ201174"	99	21	TRUE	"DQ201174|DQ201174"	7925	8494	570	"*"	589	10315
"20"	"AF321523|AF321523"	6248	6270	"+"	20	26.0715	16	2.87746	4035	4058	6248	1	1	21	21	1	24	9913	10315	"DQ201174|DQ201174"	16	18	TRUE	"DQ201174|DQ201174"	4035	4058	24	"*"	24	10315
"15"	"AF321523|AF321523"	5877	5981	"+"	15	53.1537	35	2.00621e-08	6458	6563	5877	1	1	74	74	3	107	9913	10315	"DQ201174|DQ201174"	35	16	TRUE	"DQ201174|DQ201174"	6458	6563	106	"*"	107	10315
"6"	"AF321523|AF321523"	5544	5786	"+"	6	90.2137	61	1.38241e-19	6161	6403	5544	1	1	157	157	4	245	9913	10315	"DQ201174|DQ201174"	61	15	TRUE	"DQ201174|DQ201174"	6161	6403	243	"*"	245	10315
"1"	"AF321523|AF321523"	2304	5372	"+"	1	1187.76	831	0	2627	5698	2304	1	1	2020	2020	61	3101	9913	10315	"DQ201174|DQ201174"	831	14	TRUE	"DQ201174|DQ201174"	2627	5698	3072	"*"	3101	10315
"2"	"AF321523|AF321523"	1101	2085	"+"	2	420.902	293	3.48274e-119	1395	2375	1101	1	1	660	660	20	993	9913	10315	"DQ201174|DQ201174"	293	8	TRUE	"DQ201174|DQ201174"	1395	2375	981	"*"	993	10315
"5"	"AF321523|AF321523"	780	971	"+"	5	94.4898	64	7.12428e-21	1051	1243	780	1	1	132	132	3	194	9913	10315	"DQ201174|DQ201174"	64	7	TRUE	"DQ201174|DQ201174"	1051	1243	193	"*"	194	10315
"17"	"AF321523|AF321523"	620	659	"+"	17	50.303	33	1.44867e-07	817	858	620	1	1	39	39	2	42	9913	10315	"DQ201174|DQ201174"	33	5	TRUE	"DQ201174|DQ201174"	817	858	42	"*"	42	10315
"12"	"AF321523|AF321523"	329	496	"+"	12	64.5568	43	7.37901e-12	403	578	329	1	1	124	124	14	179	9913	10315	"DQ201174|DQ201174"	43	3	TRUE	"DQ201174|DQ201174"	403	578	176	"*"	179	10315
"10"	"AF321523|AF321523"	1	268	"+"	10	65.9822	44	2.746e-12	1	262	1	1	1	168	168	12	271	9913	10315	"DQ201174|DQ201174"	44	1	TRUE	"DQ201174|DQ201174"	1	262	262	"*"	271	10315
