"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"16"	"JX236671|JX236671"	9741	9788	"+"	16	30.3476	19	0.14297	629	678	9741	1	1	39	39	4	51	9854	10006	"AF131870|AF131870"	19	25	TRUE	"AF131870|AF131870"	629	678	50	"*"	19	10006
"10"	"JX236671|JX236671"	9622	9715	"+"	10	50.303	33	1.3965e-07	436	530	9622	1	1	69	69	5	97	9854	10006	"AF131870|AF131870"	33	24	TRUE	"AF131870|AF131870"	436	530	95	"*"	33	10006
"3"	"JX236671|JX236671"	9093	9353	"+"	3	118.721	81	3.45572e-28	9131	9391	9093	1	1	178	178	6	264	9854	10006	"AF131870|AF131870"	81	22	TRUE	"AF131870|AF131870"	9131	9391	261	"*"	81	10006
"25"	"JX236671|JX236671"	8202	8251	"+"	25	26.0715	16	2.77425	8411	8458	8202	1	1	35	35	2	50	9854	10006	"AF131870|AF131870"	16	21	TRUE	"AF131870|AF131870"	8411	8458	48	"*"	16	10006
"5"	"JX236671|JX236671"	7773	8160	"+"	5	87.3629	59	9.62057e-19	8003	8384	7773	1	1	240	240	16	393	9854	10006	"AF131870|AF131870"	59	20	TRUE	"AF131870|AF131870"	8003	8384	382	"*"	59	10006
"23"	"JX236671|JX236671"	6570	6591	"+"	23	26.0715	16	2.77425	4917	4938	6570	1	1	19	19	NA	22	9854	10006	"AF131870|AF131870"	16	18	TRUE	"AF131870|AF131870"	4917	4938	22	"*"	16	10006
"8"	"JX236671|JX236671"	5598	5698	"+"	8	58.8553	39	3.70881e-10	5933	6033	5598	1	1	70	70	NA	101	9854	10006	"AF131870|AF131870"	39	17	TRUE	"AF131870|AF131870"	5933	6033	101	"*"	39	10006
"20"	"JX236671|JX236671"	5438	5461	"+"	20	28.9222	18	0.38419	4729	4752	5438	1	1	21	21	NA	24	9854	10006	"AF131870|AF131870"	18	16	TRUE	"AF131870|AF131870"	4729	4752	24	"*"	18	10006
"14"	"JX236671|JX236671"	5335	5419	"+"	14	44.6014	29	7.28186e-06	5704	5788	5335	1	1	57	57	NA	85	9854	10006	"AF131870|AF131870"	29	15	TRUE	"AF131870|AF131870"	5704	5788	85	"*"	29	10006
"1"	"JX236671|JX236671"	2612	5081	"+"	1	995.332	696	3.19949e-292	2933	5405	2612	1	1	1646	1646	53	2498	9854	10006	"AF131870|AF131870"	696	13	TRUE	"AF131870|AF131870"	2933	5405	2473	"*"	696	10006
"6"	"JX236671|JX236671"	2352	2554	"+"	6	75.9599	51	2.61587e-15	2661	2869	2352	1	1	135	135	6	209	9854	10006	"AF131870|AF131870"	51	11	TRUE	"AF131870|AF131870"	2661	2869	209	"*"	51	10006
"9"	"JX236671|JX236671"	2058	2168	"+"	9	57.4299	38	9.96633e-10	2325	2435	2058	1	1	83	83	8	115	9854	10006	"AF131870|AF131870"	38	9	TRUE	"AF131870|AF131870"	2325	2435	111	"*"	38	10006
"2"	"JX236671|JX236671"	1598	1929	"+"	2	167.184	115	8.75364e-43	1802	2133	1598	1	1	226	226	2	333	9854	10006	"AF131870|AF131870"	115	8	TRUE	"AF131870|AF131870"	1802	2133	332	"*"	115	10006
"4"	"JX236671|JX236671"	1255	1478	"+"	4	117.296	80	9.28628e-28	1450	1673	1255	1	1	152	152	NA	224	9854	10006	"AF131870|AF131870"	80	7	TRUE	"AF131870|AF131870"	1450	1673	224	"*"	80	10006
"7"	"JX236671|JX236671"	900	1170	"+"	7	60.2807	40	1.38017e-10	1135	1408	900	1	1	167	167	9	277	9854	10006	"AF131870|AF131870"	40	6	TRUE	"AF131870|AF131870"	1135	1408	274	"*"	40	10006
"15"	"JX236671|JX236671"	650	692	"+"	15	40.3253	26	0.000141301	764	807	650	1	1	36	36	1	44	9854	10006	"AF131870|AF131870"	26	5	TRUE	"AF131870|AF131870"	764	807	44	"*"	26	10006
"17"	"JX236671|JX236671"	542	589	"+"	17	30.3476	19	0.14297	629	678	542	1	1	39	39	4	51	9854	10006	"AF131870|AF131870"	19	3	TRUE	"AF131870|AF131870"	629	678	50	"*"	19	10006
"11"	"JX236671|JX236671"	423	516	"+"	11	50.303	33	1.3965e-07	436	530	423	1	1	69	69	5	97	9854	10006	"AF131870|AF131870"	33	2	TRUE	"AF131870|AF131870"	436	530	95	"*"	33	10006
