"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"13"	"KY658697|KY658697"	9677	9792	"+"	13	36.0491	23	0.00284523	449	565	9677	1	1	78	78	7	120	9875	10359	"M30502|HIV2BEN"	23	23	TRUE	"M30502|HIV2BEN"	449	565	117	"*"	120	10359
"3"	"KY658697|KY658697"	9221	9595	"+"	3	114.445	78	6.96208e-27	9399	9767	9221	1	1	241	241	16	380	9875	10359	"M30502|HIV2BEN"	78	22	TRUE	"M30502|HIV2BEN"	9399	9767	369	"*"	380	10359
"20"	"KY658697|KY658697"	8636	8788	"+"	20	26.0715	16	2.87866	8880	9032	8636	1	1	96	96	10	158	9875	10359	"M30502|HIV2BEN"	16	20	TRUE	"M30502|HIV2BEN"	8880	9032	153	"*"	158	10359
"6"	"KY658697|KY658697"	8335	8597	"+"	6	83.0868	56	1.9378e-17	8558	8820	8335	1	1	167	167	6	266	9875	10359	"M30502|HIV2BEN"	56	19	TRUE	"M30502|HIV2BEN"	8558	8820	263	"*"	266	10359
"4"	"KY658697|KY658697"	7987	8295	"+"	4	108.744	74	3.63024e-25	8217	8527	7987	1	1	197	197	4	312	9875	10359	"M30502|HIV2BEN"	74	18	TRUE	"M30502|HIV2BEN"	8217	8527	311	"*"	312	10359
"19"	"KY658697|KY658697"	7708	7761	"+"	19	28.9222	18	0.398655	7952	8003	7708	1	1	40	40	4	55	9875	10359	"M30502|HIV2BEN"	18	17	TRUE	"M30502|HIV2BEN"	7952	8003	52	"*"	55	10359
"17"	"KY658697|KY658697"	7581	7610	"+"	17	31.773	20	0.0552084	7867	7896	7581	1	1	25	25	NA	30	9875	10359	"M30502|HIV2BEN"	20	16	TRUE	"M30502|HIV2BEN"	7867	7896	30	"*"	30	10359
"21"	"KY658697|KY658697"	7249	7267	"+"	21	24.6461	15	7.73545	3826	3844	7249	1	1	17	17	NA	19	9875	10359	"M30502|HIV2BEN"	15	15	TRUE	"M30502|HIV2BEN"	3826	3844	19	"*"	19	10359
"23"	"KY658697|KY658697"	6805	6825	"+"	23	24.6461	15	7.73545	1562	1582	6805	1	1	18	18	NA	21	9875	10359	"M30502|HIV2BEN"	15	14	TRUE	"M30502|HIV2BEN"	1562	1582	21	"*"	21	10359
"12"	"KY658697|KY658697"	6565	6624	"+"	12	40.3253	26	0.000146632	6779	6838	6565	1	1	43	43	NA	60	9875	10359	"M30502|HIV2BEN"	26	13	TRUE	"M30502|HIV2BEN"	6779	6838	60	"*"	60	10359
"18"	"KY658697|KY658697"	6324	6394	"+"	18	30.3476	19	0.148355	8747	8814	6324	1	1	48	48	3	71	9875	10359	"M30502|HIV2BEN"	19	12	TRUE	"M30502|HIV2BEN"	8747	8814	68	"*"	71	10359
"11"	"KY658697|KY658697"	6134	6210	"+"	11	41.7507	27	5.45671e-05	6554	6630	6134	1	1	52	52	NA	77	9875	10359	"M30502|HIV2BEN"	27	11	TRUE	"M30502|HIV2BEN"	6554	6630	77	"*"	77	10359
"9"	"KY658697|KY658697"	5808	6043	"+"	9	56.0045	37	2.77948e-09	6264	6499	5808	1	1	139	139	2	237	9875	10359	"M30502|HIV2BEN"	37	10	TRUE	"M30502|HIV2BEN"	6264	6499	236	"*"	237	10359
"1"	"KY658697|KY658697"	2463	5284	"+"	1	1187.76	831	0	2610	5427	2463	1	1	1866	1866	34	2837	9875	10359	"M30502|HIV2BEN"	831	9	TRUE	"M30502|HIV2BEN"	2610	5427	2818	"*"	2837	10359
"2"	"KY658697|KY658697"	1020	2333	"+"	2	445.134	310	1.7531e-126	1091	2404	1020	1	1	863	863	46	1337	9875	10359	"M30502|HIV2BEN"	310	6	TRUE	"M30502|HIV2BEN"	1091	2404	1314	"*"	1337	10359
"10"	"KY658697|KY658697"	861	924	"+"	10	47.4522	31	1.04651e-06	841	905	861	1	1	51	51	3	66	9875	10359	"M30502|HIV2BEN"	31	5	TRUE	"M30502|HIV2BEN"	841	905	65	"*"	66	10359
"14"	"KY658697|KY658697"	590	705	"+"	14	36.0491	23	0.00284523	449	565	590	1	1	78	78	7	120	9875	10359	"M30502|HIV2BEN"	23	3	TRUE	"M30502|HIV2BEN"	449	565	117	"*"	120	10359
"5"	"KY658697|KY658697"	225	537	"+"	5	85.9375	58	2.68357e-18	9488	9794	225	1	1	200	200	16	318	9875	10359	"M30502|HIV2BEN"	58	2	TRUE	"M30502|HIV2BEN"	9488	9794	307	"*"	318	10359
