"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"13"	"AY271690|AY271690"	9518	9633	"+"	13	47.4522	31	1.02988e-06	474	589	9518	1	1	76	76	2	117	9774	10301	"KX174311|KX174311"	31	25	TRUE	"KX174311|KX174311"	474	589	116	"*"	31	10301
"3"	"AY271690|AY271690"	9054	9449	"+"	3	124.423	85	6.77005e-30	9325	9717	9054	1	1	248	248	7	398	9774	10301	"KX174311|KX174311"	85	24	TRUE	"KX174311|KX174311"	9325	9717	393	"*"	85	10301
"20"	"AY271690|AY271690"	8798	8824	"+"	20	30.3476	19	0.146004	9234	9260	8798	1	1	23	23	NA	27	9774	10301	"KX174311|KX174311"	19	22	TRUE	"KX174311|KX174311"	9234	9260	27	"*"	19	10301
"12"	"AY271690|AY271690"	8135	8394	"+"	12	50.303	33	1.42623e-07	8562	8821	8135	1	1	154	154	6	263	9774	10301	"KX174311|KX174311"	33	21	TRUE	"KX174311|KX174311"	8562	8821	260	"*"	33	10301
"4"	"AY271690|AY271690"	7724	8098	"+"	4	121.572	83	4.88871e-29	8160	8537	7724	1	1	242	242	11	382	9774	10301	"KX174311|KX174311"	83	19	TRUE	"KX174311|KX174311"	8160	8537	378	"*"	83	10301
"23"	"AY271690|AY271690"	7619	7637	"+"	23	24.6461	15	7.61302	2983	3001	7619	1	1	17	17	NA	19	9774	10301	"KX174311|KX174311"	15	17	TRUE	"KX174311|KX174311"	2983	3001	19	"*"	15	10301
"21"	"AY271690|AY271690"	6786	6831	"+"	21	27.4968	17	1.05429	8757	8802	6786	1	1	34	34	2	47	9774	10301	"KX174311|KX174311"	17	16	TRUE	"KX174311|KX174311"	8757	8802	46	"*"	17	10301
"18"	"AY271690|AY271690"	6344	6403	"+"	18	40.3253	26	0.000144304	6774	6833	6344	1	1	43	43	NA	60	9774	10301	"KX174311|KX174311"	26	14	TRUE	"KX174311|KX174311"	6774	6833	60	"*"	26	10301
"10"	"AY271690|AY271690"	5913	5982	"+"	10	54.5791	36	7.35013e-09	6562	6631	5913	1	1	53	53	NA	70	9774	10301	"KX174311|KX174311"	36	13	TRUE	"KX174311|KX174311"	6562	6631	70	"*"	36	10301
"11"	"AY271690|AY271690"	5582	5802	"+"	11	50.303	33	1.42623e-07	6267	6487	5582	1	1	127	127	NA	221	9774	10301	"KX174311|KX174311"	33	12	TRUE	"KX174311|KX174311"	6267	6487	221	"*"	33	10301
"15"	"AY271690|AY271690"	5336	5505	"+"	15	43.1761	28	1.9984e-05	5714	5886	5336	1	1	105	105	5	174	9774	10301	"KX174311|KX174311"	28	11	TRUE	"KX174311|KX174311"	5714	5886	173	"*"	28	10301
"1"	"AY271690|AY271690"	2264	5133	"+"	1	1184.91	829	0	2639	5508	2264	1	1	1900	1900	44	2892	9774	10301	"KX174311|KX174311"	829	10	TRUE	"KX174311|KX174311"	2639	5508	2870	"*"	829	10301
"7"	"AY271690|AY271690"	1965	2105	"+"	7	75.9599	51	2.67182e-15	2262	2402	1965	1	1	96	96	NA	141	9774	10301	"KX174311|KX174311"	51	8	TRUE	"KX174311|KX174311"	2262	2402	141	"*"	51	10301
"2"	"AY271690|AY271690"	1261	1903	"+"	2	299.745	208	1.06193e-82	1549	2191	1261	1	1	436	436	10	648	9774	10301	"KX174311|KX174311"	208	7	TRUE	"KX174311|KX174311"	1549	2191	643	"*"	208	10301
"5"	"AY271690|AY271690"	776	1096	"+"	5	117.296	80	9.48633e-28	1083	1402	776	1	1	204	204	3	322	9774	10301	"KX174311|KX174311"	80	6	TRUE	"KX174311|KX174311"	1083	1402	320	"*"	80	10301
"19"	"AY271690|AY271690"	618	649	"+"	19	38.8999	25	0.000387773	866	899	618	1	1	31	31	2	34	9774	10301	"KX174311|KX174311"	25	5	TRUE	"KX174311|KX174311"	866	899	34	"*"	25	10301
"16"	"AY271690|AY271690"	346	461	"+"	16	41.7507	27	5.37009e-05	474	589	346	1	1	74	74	2	117	9774	10301	"KX174311|KX174311"	27	3	TRUE	"KX174311|KX174311"	474	589	116	"*"	27	10301
"8"	"AY271690|AY271690"	77	277	"+"	8	67.4076	45	1.00601e-12	9520	9717	77	1	1	128	128	5	202	9774	10301	"KX174311|KX174311"	45	2	TRUE	"KX174311|KX174311"	9520	9717	198	"*"	45	10301
