"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"17"	"KC503852|KC503852"	9329	9391	"+"	17	26.0715	16	2.85788	435	501	9329	1	1	45	45	4	67	9804	10359	"NC_001722|NC_001722"	16	20	TRUE	"NC_001722|NC_001722"	435	501	67	"*"	16	10359
"4"	"KC503852|KC503852"	8918	9284	"+"	4	101.617	69	5.04942e-23	9418	9778	8918	1	1	231	231	14	371	9804	10359	"NC_001722|NC_001722"	69	19	TRUE	"NC_001722|NC_001722"	9418	9778	361	"*"	69	10359
"6"	"KC503852|KC503852"	7989	8257	"+"	6	67.4076	45	1.01488e-12	8552	8820	7989	1	1	168	168	10	274	9804	10359	"NC_001722|NC_001722"	45	17	TRUE	"NC_001722|NC_001722"	8552	8820	269	"*"	45	10359
"3"	"KC503852|KC503852"	7380	7952	"+"	3	107.318	73	9.68372e-25	7958	8527	7380	1	1	352	352	27	585	9804	10359	"NC_001722|NC_001722"	73	16	TRUE	"NC_001722|NC_001722"	7958	8527	570	"*"	73	10359
"13"	"KC503852|KC503852"	7262	7291	"+"	13	34.6238	22	0.00759035	7867	7896	7262	1	1	26	26	NA	30	9804	10359	"NC_001722|NC_001722"	22	14	TRUE	"NC_001722|NC_001722"	7867	7896	30	"*"	22	10359
"14"	"KC503852|KC503852"	6724	6831	"+"	14	33.1984	21	0.0203967	7314	7421	6724	1	1	67	67	2	109	9804	10359	"NC_001722|NC_001722"	21	13	TRUE	"NC_001722|NC_001722"	7314	7421	108	"*"	21	10359
"12"	"KC503852|KC503852"	6234	6293	"+"	12	37.4745	24	0.00105116	6779	6838	6234	1	1	42	42	NA	60	9804	10359	"NC_001722|NC_001722"	24	12	TRUE	"NC_001722|NC_001722"	6779	6838	60	"*"	24	10359
"20"	"KC503852|KC503852"	5993	6027	"+"	20	24.6461	15	7.67962	8747	8781	5993	1	1	25	25	NA	35	9804	10359	"NC_001722|NC_001722"	15	11	TRUE	"NC_001722|NC_001722"	8747	8781	35	"*"	15	10359
"10"	"KC503852|KC503852"	5803	5896	"+"	10	57.4299	38	1.02684e-09	6554	6650	5803	1	1	70	70	3	97	9804	10359	"NC_001722|NC_001722"	38	10	TRUE	"NC_001722|NC_001722"	6554	6650	97	"*"	38	10359
"9"	"KC503852|KC503852"	5477	5712	"+"	9	58.8553	39	3.82124e-10	6264	6499	5477	1	1	140	140	2	237	9804	10359	"NC_001722|NC_001722"	39	9	TRUE	"NC_001722|NC_001722"	6264	6499	236	"*"	39	10359
"1"	"KC503852|KC503852"	2161	4953	"+"	1	1197.74	838	0	2638	5427	2161	1	1	1866	1866	43	2813	9804	10359	"NC_001722|NC_001722"	838	8	TRUE	"NC_001722|NC_001722"	2638	5427	2790	"*"	838	10359
"2"	"KC503852|KC503852"	1122	2002	"+"	2	355.335	247	1.93657e-99	1526	2404	1122	1	1	583	583	20	890	9804	10359	"NC_001722|NC_001722"	247	6	TRUE	"NC_001722|NC_001722"	1526	2404	879	"*"	247	10359
"21"	"KC503852|KC503852"	1053	1076	"-"	21	26.0715	16	2.85788	6578	6601	1053	1	-1	20	20	NA	24	9804	10359	"NC_001722|NC_001722"	16	4	TRUE	"NC_001722|NC_001722"	6578	6601	24	"*"	16	10359
"11"	"KC503852|KC503852"	545	581	"+"	11	43.1761	28	2.01594e-05	843	881	545	1	1	35	35	2	39	9804	10359	"NC_001722|NC_001722"	28	3	TRUE	"NC_001722|NC_001722"	843	881	39	"*"	28	10359
"7"	"KC503852|KC503852"	1	203	"+"	7	61.706	41	5.29186e-11	78	274	1	1	1	130	130	10	205	9804	10359	"NC_001722|NC_001722"	41	1	TRUE	"NC_001722|NC_001722"	78	274	197	"*"	41	10359
