"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"15"	"KY658697|KY658697"	9494	9595	"+"	15	44.6014	29	7.55313e-06	153	254	9494	1	1	70	70	4	104	9875	10354	"KY025538|KY025538"	29	20	TRUE	"KY025538|KY025538"	153	254	102	"*"	104	10354
"4"	"KY658697|KY658697"	9245	9493	"+"	4	115.871	79	2.58956e-27	9425	9674	9245	1	1	168	168	3	251	9875	10354	"KY025538|KY025538"	79	19	TRUE	"KY025538|KY025538"	9425	9674	250	"*"	251	10354
"8"	"KY658697|KY658697"	8335	8597	"+"	8	63.1314	42	1.98274e-11	8548	8810	8335	1	1	160	160	6	266	9875	10354	"KY025538|KY025538"	42	17	TRUE	"KY025538|KY025538"	8548	8810	263	"*"	266	10354
"3"	"KY658697|KY658697"	7924	8295	"+"	3	118.721	81	3.58614e-28	8140	8517	7924	1	1	242	242	12	381	9875	10354	"KY025538|KY025538"	81	14	TRUE	"KY025538|KY025538"	8140	8517	378	"*"	381	10354
"16"	"KY658697|KY658697"	7707	7779	"+"	16	31.773	20	0.0551817	7944	8016	7707	1	1	49	49	2	74	9875	10354	"KY025538|KY025538"	20	12	TRUE	"KY025538|KY025538"	7944	8016	73	"*"	74	10354
"12"	"KY658697|KY658697"	6721	6839	"+"	12	48.8776	32	3.89257e-07	6895	7013	6721	1	1	78	78	2	120	9875	10354	"KY025538|KY025538"	32	11	TRUE	"KY025538|KY025538"	6895	7013	119	"*"	120	10354
"11"	"KY658697|KY658697"	6134	6239	"+"	11	53.1537	35	2.00607e-08	6540	6649	6134	1	1	76	76	4	110	9875	10354	"KY025538|KY025538"	35	9	TRUE	"KY025538|KY025538"	6540	6649	110	"*"	110	10354
"7"	"KY658697|KY658697"	5825	6043	"+"	7	71.6837	48	5.26599e-14	6267	6485	5825	1	1	136	136	2	220	9875	10354	"KY025538|KY025538"	48	8	TRUE	"KY025538|KY025538"	6267	6485	219	"*"	220	10354
"1"	"KY658697|KY658697"	2492	5284	"+"	1	1180.63	826	0	2627	5416	2492	1	1	1842	1842	27	2805	9875	10354	"KY025538|KY025538"	826	7	TRUE	"KY025538|KY025538"	2627	5416	2790	"*"	2805	10354
"2"	"KY658697|KY658697"	1461	2332	"+"	2	372.439	259	1.37544e-104	1518	2383	1461	1	1	595	595	28	883	9875	10354	"KY025538|KY025538"	259	6	TRUE	"KY025538|KY025538"	1518	2383	866	"*"	883	10354
"5"	"KY658697|KY658697"	1020	1273	"+"	5	114.445	78	6.95866e-27	1071	1324	1020	1	1	171	171	4	256	9875	10354	"KY025538|KY025538"	78	5	TRUE	"KY025538|KY025538"	1071	1324	254	"*"	256	10354
"14"	"KY658697|KY658697"	861	898	"+"	14	44.6014	29	7.55313e-06	831	870	861	1	1	36	36	2	40	9875	10354	"KY025538|KY025538"	29	4	TRUE	"KY025538|KY025538"	831	870	40	"*"	40	10354
"13"	"KY658697|KY658697"	409	537	"+"	13	48.8776	32	3.89257e-07	153	281	409	1	1	85	85	4	131	9875	10354	"KY025538|KY025538"	32	3	TRUE	"KY025538|KY025538"	153	281	129	"*"	131	10354
"6"	"KY658697|KY658697"	225	408	"+"	6	91.6391	62	5.14408e-20	9490	9674	225	1	1	127	127	3	186	9875	10354	"KY025538|KY025538"	62	2	TRUE	"KY025538|KY025538"	9490	9674	185	"*"	186	10354
