"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"6"	"JX236671|JX236671"	9585	9715	"+"	6	75.9599	51	2.62382e-15	393	522	9585	1	1	100	100	9	135	9854	10036	"U04005|SIU04005"	51	26	TRUE	"U04005|SIU04005"	393	522	130	"*"	51	10036
"3"	"JX236671|JX236671"	9050	9410	"+"	3	134.401	92	6.56942e-33	9119	9474	9050	1	1	235	235	9	363	9854	10036	"U04005|SIU04005"	92	23	TRUE	"U04005|SIU04005"	9119	9474	356	"*"	92	10036
"10"	"JX236671|JX236671"	8190	8403	"+"	10	56.0045	37	2.68626e-09	8377	8590	8190	1	1	128	128	2	215	9854	10036	"U04005|SIU04005"	37	22	TRUE	"U04005|SIU04005"	8377	8590	214	"*"	37	10036
"13"	"JX236671|JX236671"	7357	7444	"+"	13	44.6014	29	7.30385e-06	7593	7679	7357	1	1	62	62	3	89	9854	10036	"U04005|SIU04005"	29	21	TRUE	"U04005|SIU04005"	7593	7679	87	"*"	29	10036
"11"	"JX236671|JX236671"	6877	7018	"+"	11	51.7284	34	5.21255e-08	7094	7235	6877	1	1	93	93	4	144	9854	10036	"U04005|SIU04005"	34	20	TRUE	"U04005|SIU04005"	7094	7235	142	"*"	34	10036
"14"	"JX236671|JX236671"	6531	6715	"+"	14	36.0491	23	0.00275013	6691	6883	6531	1	1	117	117	10	194	9854	10036	"U04005|SIU04005"	23	18	TRUE	"U04005|SIU04005"	6691	6883	193	"*"	23	10036
"27"	"JX236671|JX236671"	5993	6007	"-"	27	24.6461	15	7.47739	3277	3291	5993	1	-1	15	15	NA	15	9854	10036	"U04005|SIU04005"	15	17	TRUE	"U04005|SIU04005"	3277	3291	15	"*"	15	10036
"1"	"JX236671|JX236671"	2286	5204	"+"	1	1524.15	1067	0	2648	5566	2286	1	1	2018	2018	20	2929	9854	10036	"U04005|SIU04005"	1067	15	TRUE	"U04005|SIU04005"	2648	5566	2919	"*"	1067	10036
"5"	"JX236671|JX236671"	1990	2199	"+"	5	101.617	69	4.91471e-23	2262	2465	1990	1	1	146	146	8	211	9854	10036	"U04005|SIU04005"	69	10	TRUE	"U04005|SIU04005"	2262	2465	204	"*"	69	10036
"2"	"JX236671|JX236671"	1218	1930	"+"	2	332.529	231	1.39237e-92	1448	2160	1218	1	1	479	479	6	716	9854	10036	"U04005|SIU04005"	231	9	TRUE	"U04005|SIU04005"	1448	2160	713	"*"	231	10036
"22"	"JX236671|JX236671"	1036	1063	"+"	22	26.0715	16	2.7826	8463	8490	1036	1	1	22	22	NA	28	9854	10036	"U04005|SIU04005"	16	8	TRUE	"U04005|SIU04005"	8463	8490	28	"*"	16	10036
"4"	"JX236671|JX236671"	829	1006	"+"	4	103.042	70	1.82892e-23	1017	1193	829	1	1	125	125	1	178	9854	10036	"U04005|SIU04005"	70	7	TRUE	"U04005|SIU04005"	1017	1193	177	"*"	70	10036
"15"	"JX236671|JX236671"	678	718	"+"	15	28.9222	18	0.385347	1316	1357	678	1	1	31	31	1	42	9854	10036	"U04005|SIU04005"	18	6	TRUE	"U04005|SIU04005"	1316	1357	42	"*"	18	10036
"12"	"JX236671|JX236671"	642	676	"+"	12	47.4522	31	1.01147e-06	754	788	642	1	1	33	33	NA	35	9854	10036	"U04005|SIU04005"	31	5	TRUE	"U04005|SIU04005"	754	788	35	"*"	31	10036
"7"	"JX236671|JX236671"	386	516	"+"	7	75.9599	51	2.62382e-15	393	522	386	1	1	100	100	9	135	9854	10036	"U04005|SIU04005"	51	3	TRUE	"U04005|SIU04005"	393	522	130	"*"	51	10036
