"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"8"	"JX236671|JX236671"	9558	9723	"+"	8	88.7883	60	3.51076e-19	391	553	9558	1	1	127	127	13	171	9854	9815	"L40990|SIVREV"	60	26	TRUE	"L40990|SIVREV"	391	553	163	"*"	171	9815
"4"	"JX236671|JX236671"	9094	9387	"+"	4	132.975	91	1.72559e-32	8987	9280	9094	1	1	195	195	2	295	9854	9815	"L40990|SIVREV"	91	25	TRUE	"L40990|SIVREV"	8987	9280	294	"*"	295	9815
"7"	"JX236671|JX236671"	8172	8562	"+"	7	93.0645	63	1.8092e-20	8210	8600	8172	1	1	244	244	14	398	9854	9815	"L40990|SIVREV"	63	23	TRUE	"L40990|SIVREV"	8210	8600	391	"*"	398	9815
"3"	"JX236671|JX236671"	7773	8153	"+"	3	151.505	104	4.52847e-38	7825	8202	7773	1	1	248	248	5	382	9854	9815	"L40990|SIVREV"	104	22	TRUE	"L40990|SIVREV"	7825	8202	378	"*"	382	9815
"25"	"JX236671|JX236671"	7637	7651	"+"	25	24.6461	15	7.31213	7107	7121	7637	1	1	15	15	NA	15	9854	9815	"L40990|SIVREV"	15	21	TRUE	"L40990|SIVREV"	7107	7121	15	"*"	15	9815
"20"	"JX236671|JX236671"	6942	7084	"+"	20	38.8999	25	0.00037241	6985	7130	6942	1	1	88	88	3	146	9854	9815	"L40990|SIVREV"	25	20	TRUE	"L40990|SIVREV"	6985	7130	146	"*"	146	9815
"23"	"JX236671|JX236671"	6078	6099	"+"	23	26.0715	16	2.72108	6538	6559	6078	1	1	19	19	NA	22	9854	9815	"L40990|SIVREV"	16	19	TRUE	"L40990|SIVREV"	6538	6559	22	"*"	22	9815
"15"	"JX236671|JX236671"	5909	6006	"+"	15	63.1314	42	1.87444e-11	6115	6211	5909	1	1	71	71	1	98	9854	9815	"L40990|SIVREV"	42	18	TRUE	"L40990|SIVREV"	6115	6211	97	"*"	98	9815
"26"	"JX236671|JX236671"	5795	5821	"+"	26	24.6461	15	7.31213	5988	6014	5795	1	1	21	21	NA	27	9854	9815	"L40990|SIVREV"	15	17	TRUE	"L40990|SIVREV"	5988	6014	27	"*"	27	9815
"18"	"JX236671|JX236671"	5628	5696	"+"	18	41.7507	27	5.15723e-05	5809	5877	5628	1	1	48	48	NA	69	9854	9815	"L40990|SIVREV"	27	16	TRUE	"L40990|SIVREV"	5809	5877	69	"*"	69	9815
"1"	"JX236671|JX236671"	2390	5255	"+"	1	1196.31	837	0	2578	5449	2390	1	1	1937	1937	74	2906	9854	9815	"L40990|SIVREV"	837	15	TRUE	"L40990|SIVREV"	2578	5449	2872	"*"	2906	9815
"16"	"JX236671|JX236671"	1993	2127	"+"	16	50.303	33	1.36962e-07	2142	2273	1993	1	1	86	86	3	135	9854	9815	"L40990|SIVREV"	33	11	TRUE	"L40990|SIVREV"	2142	2273	132	"*"	135	9815
"2"	"JX236671|JX236671"	1264	1922	"+"	2	369.589	257	9.36041e-104	1400	2062	1264	1	1	464	464	4	663	9854	9815	"L40990|SIVREV"	257	9	TRUE	"L40990|SIVREV"	1400	2062	663	"*"	663	9815
"27"	"JX236671|JX236671"	1120	1152	"+"	27	24.6461	15	7.31213	859	891	1120	1	1	24	24	NA	33	9854	9815	"L40990|SIVREV"	15	8	TRUE	"L40990|SIVREV"	859	891	33	"*"	33	9815
"6"	"JX236671|JX236671"	803	1013	"+"	6	104.468	71	6.65348e-24	917	1126	803	1	1	142	142	1	211	9854	9815	"L40990|SIVREV"	71	7	TRUE	"L40990|SIVREV"	917	1126	210	"*"	211	9815
"24"	"JX236671|JX236671"	678	707	"+"	24	26.0715	16	2.72108	1312	1340	678	1	1	24	24	1	30	9854	9815	"L40990|SIVREV"	16	6	TRUE	"L40990|SIVREV"	1312	1340	29	"*"	30	9815
"17"	"JX236671|JX236671"	645	676	"+"	17	43.1761	28	1.91917e-05	713	744	645	1	1	30	30	NA	32	9854	9815	"L40990|SIVREV"	28	5	TRUE	"L40990|SIVREV"	713	744	32	"*"	32	9815
"10"	"JX236671|JX236671"	359	524	"+"	10	88.7883	60	3.51076e-19	391	553	359	1	1	127	127	13	171	9854	9815	"L40990|SIVREV"	60	3	TRUE	"L40990|SIVREV"	391	553	163	"*"	171	9815
"13"	"JX236671|JX236671"	1	188	"+"	13	64.5568	43	6.97539e-12	1	188	1	1	1	118	118	2	189	9854	9815	"L40990|SIVREV"	43	1	TRUE	"L40990|SIVREV"	1	188	188	"*"	189	9815
