"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"26"	"AB253712|AB253712"	10037	10061	"+"	26	24.6461	15	7.55561	9176	9200	10037	1	1	20	20	NA	25	10340	9664	"U79412|SIU79412"	15	29	TRUE	"U79412|SIU79412"	9176	9200	25	"*"	25	9664
"25"	"AB253712|AB253712"	9955	9979	"+"	25	24.6461	15	7.55561	5358	5382	9955	1	1	20	20	NA	25	10340	9664	"U79412|SIU79412"	15	28	TRUE	"U79412|SIU79412"	5358	5382	25	"*"	25	9664
"5"	"AB253712|AB253712"	9686	9947	"+"	5	115.871	79	2.52962e-27	8831	9092	9686	1	1	173	173	2	263	10340	9664	"U79412|SIU79412"	79	27	TRUE	"U79412|SIU79412"	8831	9092	262	"*"	263	9664
"8"	"AB253712|AB253712"	8780	9007	"+"	8	58.8553	39	3.75916e-10	7973	8200	8780	1	1	141	141	6	231	10340	9664	"U79412|SIU79412"	39	26	TRUE	"U79412|SIU79412"	7973	8200	228	"*"	231	9664
"16"	"AB253712|AB253712"	8441	8470	"+"	16	26.0715	16	2.81171	2154	2183	8441	1	1	23	23	NA	30	10340	9664	"U79412|SIU79412"	16	24	TRUE	"U79412|SIU79412"	2154	2183	30	"*"	30	9664
"15"	"AB253712|AB253712"	8196	8219	"+"	15	26.0715	16	2.81171	4438	4461	8196	1	1	20	20	NA	24	10340	9664	"U79412|SIU79412"	16	23	TRUE	"U79412|SIU79412"	4438	4461	24	"*"	24	9664
"11"	"AB253712|AB253712"	8023	8089	"+"	11	38.8999	25	0.000384842	7215	7282	8023	1	1	50	50	3	69	10340	9664	"U79412|SIU79412"	25	22	TRUE	"U79412|SIU79412"	7215	7282	68	"*"	69	9664
"10"	"AB253712|AB253712"	7164	7300	"+"	10	46.0268	30	2.74654e-06	6279	6415	7164	1	1	88	88	4	139	10340	9664	"U79412|SIU79412"	30	21	TRUE	"U79412|SIU79412"	6279	6415	137	"*"	139	9664
"19"	"AB253712|AB253712"	6909	6927	"+"	19	24.6461	15	7.55561	6867	6885	6909	1	1	17	17	NA	19	10340	9664	"U79412|SIU79412"	15	20	TRUE	"U79412|SIU79412"	6867	6885	19	"*"	19	9664
"14"	"AB253712|AB253712"	6858	6898	"+"	14	27.4968	17	1.04634	1425	1465	6858	1	1	29	29	NA	41	10340	9664	"U79412|SIU79412"	17	19	TRUE	"U79412|SIU79412"	1425	1465	41	"*"	41	9664
"29"	"AB253712|AB253712"	6779	6809	"-"	29	26.0715	16	2.81171	5924	5955	6779	1	-1	25	25	1	32	10340	9664	"U79412|SIU79412"	16	17	TRUE	"U79412|SIU79412"	5924	5955	32	"*"	32	9664
"7"	"AB253712|AB253712"	6574	6731	"+"	7	65.9822	44	2.68282e-12	5922	6073	6574	1	1	107	107	8	159	10340	9664	"U79412|SIU79412"	44	16	TRUE	"U79412|SIU79412"	5922	6073	152	"*"	159	9664
"6"	"AB253712|AB253712"	6234	6483	"+"	6	84.5122	57	7.04183e-18	5615	5867	6234	1	1	158	158	3	253	10340	9664	"U79412|SIU79412"	57	15	TRUE	"U79412|SIU79412"	5615	5867	253	"*"	253	9664
"12"	"AB253712|AB253712"	6137	6179	"+"	12	33.1984	21	0.0200668	5234	5276	6137	1	1	32	32	NA	43	10340	9664	"U79412|SIU79412"	21	13	TRUE	"U79412|SIU79412"	5234	5276	43	"*"	43	9664
"3"	"AB253712|AB253712"	5323	5724	"+"	3	197.117	136	8.56551e-52	4411	4812	5323	1	1	276	276	6	405	10340	9664	"U79412|SIU79412"	136	12	TRUE	"U79412|SIU79412"	4411	4812	402	"*"	405	9664
"1"	"AB253712|AB253712"	2266	5058	"+"	1	1194.89	836	0	2023	4812	2266	1	1	1858	1858	39	2811	10340	9664	"U79412|SIU79412"	836	9	TRUE	"U79412|SIU79412"	2023	4812	2790	"*"	2811	9664
"2"	"AB253712|AB253712"	1244	2106	"+"	2	375.29	261	1.85846e-105	974	1839	1244	1	1	590	590	25	877	10340	9664	"U79412|SIU79412"	261	5	TRUE	"U79412|SIU79412"	974	1839	866	"*"	877	9664
"4"	"AB253712|AB253712"	807	1107	"+"	4	125.848	86	2.5e-30	531	831	807	1	1	206	206	10	306	10340	9664	"U79412|SIU79412"	86	4	TRUE	"U79412|SIU79412"	531	831	301	"*"	306	9664
"9"	"AB253712|AB253712"	621	662	"+"	9	47.4522	31	1.02208e-06	287	330	621	1	1	39	39	2	44	10340	9664	"U79412|SIU79412"	31	3	TRUE	"U79412|SIU79412"	287	330	44	"*"	44	9664
"28"	"AB253712|AB253712"	244	268	"+"	28	24.6461	15	7.55561	9176	9200	244	1	1	20	20	NA	25	10340	9664	"U79412|SIU79412"	15	2	TRUE	"U79412|SIU79412"	9176	9200	25	"*"	25	9664
"27"	"AB253712|AB253712"	162	186	"+"	27	24.6461	15	7.55561	5358	5382	162	1	1	20	20	NA	25	10340	9664	"U79412|SIU79412"	15	1	TRUE	"U79412|SIU79412"	5358	5382	25	"*"	25	9664
