"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"21"	"KY658697|KY658697"	9848	9869	"+"	21	27.4968	17	1.0346	629	651	9848	1	1	21	21	1	23	9875	10006	"AF131870|AF131870"	17	26	TRUE	"AF131870|AF131870"	629	651	23	"*"	23	10006
"11"	"KY658697|KY658697"	9750	9798	"+"	11	47.4522	31	1.01059e-06	456	503	9750	1	1	41	41	1	49	9875	10006	"AF131870|AF131870"	31	24	TRUE	"AF131870|AF131870"	456	503	48	"*"	49	10006
"4"	"KY658697|KY658697"	9227	9480	"+"	4	108.744	74	3.50431e-25	9138	9391	9227	1	1	169	169	4	256	9875	10006	"AF131870|AF131870"	74	23	TRUE	"AF131870|AF131870"	9138	9391	254	"*"	256	10006
"26"	"KY658697|KY658697"	8341	8357	"+"	26	24.6461	15	7.47091	8411	8427	8341	1	1	16	16	NA	17	9875	10006	"AF131870|AF131870"	15	21	TRUE	"AF131870|AF131870"	8411	8427	17	"*"	17	10006
"20"	"KY658697|KY658697"	7453	7506	"+"	20	31.773	20	0.0533181	5036	5090	7453	1	1	41	41	3	56	9875	10006	"AF131870|AF131870"	20	20	TRUE	"AF131870|AF131870"	5036	5090	55	"*"	56	10006
"27"	"KY658697|KY658697"	7300	7324	"+"	27	24.6461	15	7.47091	4800	4824	7300	1	1	20	20	NA	25	9875	10006	"AF131870|AF131870"	15	19	TRUE	"AF131870|AF131870"	4800	4824	25	"*"	25	10006
"25"	"KY658697|KY658697"	6875	6899	"+"	25	27.4968	17	1.0346	4671	4695	6875	1	1	21	21	NA	25	9875	10006	"AF131870|AF131870"	17	18	TRUE	"AF131870|AF131870"	4671	4695	25	"*"	25	10006
"10"	"KY658697|KY658697"	6121	6209	"+"	10	50.303	33	1.3995e-07	6260	6350	6121	1	1	64	64	2	91	9875	10006	"AF131870|AF131870"	33	17	TRUE	"AF131870|AF131870"	6260	6350	91	"*"	91	10006
"17"	"KY658697|KY658697"	5801	5840	"+"	17	40.3253	26	0.000141604	5933	5972	5801	1	1	33	33	NA	40	9875	10006	"AF131870|AF131870"	26	16	TRUE	"AF131870|AF131870"	5933	5972	40	"*"	40	10006
"16"	"KY658697|KY658697"	5538	5622	"+"	16	41.7507	27	5.26956e-05	5704	5788	5538	1	1	56	56	NA	85	9875	10006	"AF131870|AF131870"	27	15	TRUE	"AF131870|AF131870"	5704	5788	85	"*"	85	10006
"1"	"KY658697|KY658697"	2815	5284	"+"	1	1005.31	703	3.16805e-295	2933	5405	2815	1	1	1641	1641	47	2495	9875	10006	"AF131870|AF131870"	703	14	TRUE	"AF131870|AF131870"	2933	5405	2473	"*"	2495	10006
"6"	"KY658697|KY658697"	2555	2755	"+"	6	67.4076	45	9.87101e-13	2661	2867	2555	1	1	131	131	6	207	9875	10006	"AF131870|AF131870"	45	13	TRUE	"AF131870|AF131870"	2661	2867	207	"*"	207	10006
"19"	"KY658697|KY658697"	2264	2373	"+"	19	37.4745	24	0.00102253	2325	2434	2264	1	1	74	74	6	113	9875	10006	"AF131870|AF131870"	24	12	TRUE	"AF131870|AF131870"	2325	2434	110	"*"	113	10006
"18"	"KY658697|KY658697"	2202	2261	"+"	18	37.4745	24	0.00102253	2254	2312	2202	1	1	43	43	1	60	9875	10006	"AF131870|AF131870"	24	11	TRUE	"AF131870|AF131870"	2254	2312	59	"*"	60	10006
"2"	"KY658697|KY658697"	1801	2132	"+"	2	165.759	114	2.35747e-42	1802	2133	1801	1	1	223	223	NA	332	9875	10006	"AF131870|AF131870"	114	10	TRUE	"AF131870|AF131870"	1802	2133	332	"*"	332	10006
"3"	"KY658697|KY658697"	1461	1688	"+"	3	114.445	78	6.72034e-27	1453	1680	1461	1	1	153	153	NA	228	9875	10006	"AF131870|AF131870"	78	9	TRUE	"AF131870|AF131870"	1453	1680	228	"*"	228	10006
"9"	"KY658697|KY658697"	1103	1369	"+"	9	57.4299	38	9.98777e-10	1135	1401	1103	1	1	162	162	8	271	9875	10006	"AF131870|AF131870"	38	8	TRUE	"AF131870|AF131870"	1135	1401	267	"*"	271	10006
"15"	"KY658697|KY658697"	870	907	"+"	15	43.1761	28	1.96098e-05	764	801	870	1	1	33	33	NA	38	9875	10006	"AF131870|AF131870"	28	7	TRUE	"AF131870|AF131870"	764	801	38	"*"	38	10006
"22"	"KY658697|KY658697"	761	782	"+"	22	27.4968	17	1.0346	629	651	761	1	1	21	21	1	23	9875	10006	"AF131870|AF131870"	17	5	TRUE	"AF131870|AF131870"	629	651	23	"*"	23	10006
"12"	"KY658697|KY658697"	663	711	"+"	12	47.4522	31	1.01059e-06	456	503	663	1	1	41	41	1	49	9875	10006	"AF131870|AF131870"	31	3	TRUE	"AF131870|AF131870"	456	503	48	"*"	49	10006
"5"	"KY658697|KY658697"	225	395	"+"	5	87.3629	59	9.64138e-19	9221	9391	225	1	1	115	115	NA	171	9875	10006	"AF131870|AF131870"	59	2	TRUE	"AF131870|AF131870"	9221	9391	171	"*"	171	10006
