"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"13"	"MH705134|MH705134"	9509	9621	"+"	13	33.1984	21	0.0203557	455	567	9509	1	1	72	72	4	115	9792	10351	"U27200|HIV2U27200"	21	22	TRUE	"U27200|HIV2U27200"	455	567	113	"*"	21	10351
"3"	"MH705134|MH705134"	9039	9301	"+"	3	103.042	70	1.87525e-23	9283	9545	9039	1	1	174	174	6	266	9792	10351	"U27200|HIV2U27200"	70	21	TRUE	"U27200|HIV2U27200"	9283	9545	263	"*"	70	10351
"6"	"MH705134|MH705134"	8114	8339	"+"	6	81.6614	55	5.15882e-17	8514	8739	8114	1	1	143	143	2	227	9792	10351	"U27200|HIV2U27200"	55	19	TRUE	"U27200|HIV2U27200"	8514	8739	226	"*"	55	10351
"4"	"MH705134|MH705134"	7700	8077	"+"	4	101.617	69	5.03917e-23	8112	8489	7700	1	1	237	237	14	385	9792	10351	"U27200|HIV2U27200"	69	18	TRUE	"U27200|HIV2U27200"	8112	8489	378	"*"	69	10351
"17"	"MH705134|MH705134"	6715	6965	"+"	17	33.1984	21	0.0203557	7136	7383	6715	1	1	148	148	11	255	9792	10351	"U27200|HIV2U27200"	21	17	TRUE	"U27200|HIV2U27200"	7136	7383	248	"*"	21	10351
"18"	"MH705134|MH705134"	6432	6449	"+"	18	26.0715	16	2.85215	1167	1184	6432	1	1	17	17	NA	18	9792	10351	"U27200|HIV2U27200"	16	16	TRUE	"U27200|HIV2U27200"	1167	1184	18	"*"	16	10351
"10"	"MH705134|MH705134"	5344	5443	"+"	10	43.1761	28	2.01189e-05	5671	5770	5344	1	1	64	64	NA	100	9792	10351	"U27200|HIV2U27200"	28	15	TRUE	"U27200|HIV2U27200"	5671	5770	100	"*"	28	10351
"1"	"MH705134|MH705134"	2277	5077	"+"	1	1220.54	854	0	2600	5398	2277	1	1	1871	1871	36	2818	9792	10351	"U27200|HIV2U27200"	854	14	TRUE	"U27200|HIV2U27200"	2600	5398	2799	"*"	854	10351
"2"	"MH705134|MH705134"	1254	2129	"+"	2	403.798	281	4.8926e-114	1500	2375	1254	1	1	600	600	20	886	9792	10351	"U27200|HIV2U27200"	281	12	TRUE	"U27200|HIV2U27200"	1500	2375	876	"*"	281	10351
"19"	"MH705134|MH705134"	1155	1182	"+"	19	26.0715	16	2.85215	3623	3650	1155	1	1	22	22	NA	28	9792	10351	"U27200|HIV2U27200"	16	10	TRUE	"U27200|HIV2U27200"	3623	3650	28	"*"	16	10351
"5"	"MH705134|MH705134"	822	1123	"+"	5	100.191	68	1.35412e-22	1077	1378	822	1	1	190	190	4	304	9792	10351	"U27200|HIV2U27200"	68	9	TRUE	"U27200|HIV2U27200"	1077	1378	302	"*"	68	10351
"11"	"MH705134|MH705134"	633	668	"+"	11	41.7507	27	5.40633e-05	839	876	633	1	1	34	34	2	38	9792	10351	"U27200|HIV2U27200"	27	6	TRUE	"U27200|HIV2U27200"	839	876	38	"*"	27	10351
"23"	"MH705134|MH705134"	557	589	"-"	23	24.6461	15	7.66424	4313	4345	557	1	-1	24	24	NA	33	9792	10351	"U27200|HIV2U27200"	15	5	TRUE	"U27200|HIV2U27200"	4313	4345	33	"*"	15	10351
"14"	"MH705134|MH705134"	362	474	"+"	14	33.1984	21	0.0203557	455	567	362	1	1	72	72	4	115	9792	10351	"U27200|HIV2U27200"	21	3	TRUE	"U27200|HIV2U27200"	455	567	113	"*"	21	10351
"8"	"MH705134|MH705134"	1	154	"+"	8	57.4299	38	1.02477e-09	1	154	1	1	1	101	101	4	156	9792	10351	"U27200|HIV2U27200"	38	1	TRUE	"U27200|HIV2U27200"	1	154	154	"*"	38	10351
