"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"18"	"AB253712|AB253712"	10156	10339	"+"	18	87.3629	59	1.00212e-18	370	559	10156	1	1	137	137	12	193	10340	9927	"JQ866001|JQ866001"	59	38	TRUE	"JQ866001|JQ866001"	370	559	190	"*"	193	9927
"24"	"AB253712|AB253712"	10016	10116	"+"	24	64.5568	43	7.40764e-12	214	314	10016	1	1	72	72	NA	101	10340	9927	"JQ866001|JQ866001"	43	36	TRUE	"JQ866001|JQ866001"	214	314	101	"*"	101	9927
"9"	"AB253712|AB253712"	9691	9968	"+"	9	145.804	100	2.50995e-36	9181	9458	9691	1	1	189	189	NA	278	10340	9927	"JQ866001|JQ866001"	100	35	TRUE	"JQ866001|JQ866001"	9181	9458	278	"*"	278	9927
"26"	"AB253712|AB253712"	9371	9514	"+"	26	60.2807	40	1.43738e-10	8868	9013	9371	1	1	100	100	6	148	10340	9927	"JQ866001|JQ866001"	40	32	TRUE	"JQ866001|JQ866001"	8868	9013	146	"*"	148	9927
"6"	"AB253712|AB253712"	8793	9220	"+"	6	171.46	118	4.70171e-44	8270	8697	8793	1	1	288	288	12	434	10340	9927	"JQ866001|JQ866001"	118	31	TRUE	"JQ866001|JQ866001"	8270	8697	428	"*"	434	9927
"4"	"AB253712|AB253712"	8442	8725	"+"	4	219.924	152	1.19121e-58	7883	8166	8442	1	1	218	218	NA	284	10340	9927	"JQ866001|JQ866001"	152	29	TRUE	"JQ866001|JQ866001"	7883	8166	284	"*"	284	9927
"27"	"AB253712|AB253712"	8128	8431	"+"	27	54.5791	36	7.49476e-09	7555	7854	8128	1	1	182	182	12	308	10340	9927	"JQ866001|JQ866001"	36	27	TRUE	"JQ866001|JQ866001"	7555	7854	300	"*"	308	9927
"28"	"AB253712|AB253712"	8024	8101	"+"	28	46.0268	30	2.82187e-06	7474	7549	8024	1	1	58	58	4	79	10340	9927	"JQ866001|JQ866001"	30	26	TRUE	"JQ866001|JQ866001"	7474	7549	76	"*"	79	9927
"7"	"AB253712|AB253712"	7474	7949	"+"	7	162.908	112	1.77036e-41	6889	7366	7474	1	1	304	304	8	481	10340	9927	"JQ866001|JQ866001"	112	25	TRUE	"JQ866001|JQ866001"	6889	7366	478	"*"	481	9927
"39"	"AB253712|AB253712"	7440	7466	"-"	39	24.6461	15	7.76202	5585	5611	7440	1	-1	21	21	NA	27	10340	9927	"JQ866001|JQ866001"	15	21	TRUE	"JQ866001|JQ866001"	5585	5611	27	"*"	27	9927
"21"	"AB253712|AB253712"	6663	7155	"+"	21	85.9375	58	2.69289e-18	6086	6572	6663	1	1	304	304	26	503	10340	9927	"JQ866001|JQ866001"	58	19	TRUE	"JQ866001|JQ866001"	6086	6572	487	"*"	503	9927
"10"	"AB253712|AB253712"	6228	6518	"+"	10	144.378	99	6.74474e-36	5669	5959	6228	1	1	195	195	NA	291	10340	9927	"JQ866001|JQ866001"	99	17	TRUE	"JQ866001|JQ866001"	5669	5959	291	"*"	291	9927
"2"	"AB253712|AB253712"	5320	6172	"+"	2	587.672	410	2.06017e-169	4749	5604	5320	1	1	641	641	7	858	10340	9927	"JQ866001|JQ866001"	410	14	TRUE	"JQ866001|JQ866001"	4749	5604	856	"*"	858	9927
"1"	"AB253712|AB253712"	2263	5304	"+"	1	1983.12	1389	0	2358	5402	2263	1	1	2235	2235	15	3051	10340	9927	"JQ866001|JQ866001"	1389	13	TRUE	"JQ866001|JQ866001"	2358	5402	3045	"*"	3051	9927
"14"	"AB253712|AB253712"	1956	2153	"+"	14	98.766	67	3.68584e-22	2037	2239	1956	1	1	143	143	9	205	10340	9927	"JQ866001|JQ866001"	67	11	TRUE	"JQ866001|JQ866001"	2037	2239	203	"*"	205	9927
"3"	"AB253712|AB253712"	1577	1923	"+"	3	298.32	207	2.91236e-82	1645	1991	1577	1	1	277	277	NA	347	10340	9927	"JQ866001|JQ866001"	207	10	TRUE	"JQ866001|JQ866001"	1645	1991	347	"*"	347	9927
