"seqnames"	"start"	"end"	"strand"	"Hsp_num"	"Hsp_bit.score"	"Hsp_score"	"Hsp_evalue"	"Hsp_query.from"	"Hsp_query.to"	"Hsp_hit.from.1"	"Hsp_query.frame"	"Hsp_hit.frame"	"Hsp_identity"	"Hsp_positive"	"Hsp_gaps"	"Hsp_align.len"	"seq_len"	"query_len"	"query_id"	"raw_score"	"ID"	"filter_pass"	"query_ranges.seqnames"	"query_ranges.start"	"query_ranges.end"	"query_ranges.width"	"query_ranges.strand"	"score"	"query_len.1"
"17"	"KY025538|KY025538"	9943	9997	"+"	17	27.4968	17	1.0764	364	417	9943	1	1	37	37	1	55	10354	9927	"JQ866001|JQ866001"	17	22	TRUE	"JQ866001|JQ866001"	364	417	54	"*"	55	9927
"4"	"KY025538|KY025538"	9414	9784	"+"	4	150.08	103	1.29529e-37	9191	9558	9414	1	1	242	242	5	372	10354	9927	"JQ866001|JQ866001"	103	21	TRUE	"JQ866001|JQ866001"	9191	9558	368	"*"	372	9927
"13"	"KY025538|KY025538"	8838	8910	"+"	13	40.3253	26	0.000147337	8534	8605	8838	1	1	55	55	5	75	10354	9927	"JQ866001|JQ866001"	26	18	TRUE	"JQ866001|JQ866001"	8534	8605	72	"*"	75	9927
"8"	"KY025538|KY025538"	8608	8811	"+"	8	74.5345	50	7.33153e-15	8324	8527	8608	1	1	132	132	4	206	10354	9927	"JQ866001|JQ866001"	50	17	TRUE	"JQ866001|JQ866001"	8324	8527	204	"*"	206	9927
"7"	"KY025538|KY025538"	8246	8483	"+"	7	90.2137	61	1.3897e-19	7914	8151	8246	1	1	152	152	2	239	10354	9927	"JQ866001|JQ866001"	61	16	TRUE	"JQ866001|JQ866001"	7914	8151	238	"*"	239	9927
"11"	"KY025538|KY025538"	5643	5801	"+"	11	56.0045	37	2.79289e-09	5377	5535	5643	1	1	103	103	4	161	10354	9927	"JQ866001|JQ866001"	37	15	TRUE	"JQ866001|JQ866001"	5377	5535	159	"*"	161	9927
"1"	"KY025538|KY025538"	2627	5416	"+"	1	1146.42	802	0	2361	5153	2627	1	1	1842	1842	37	2810	10354	9927	"JQ866001|JQ866001"	802	14	TRUE	"JQ866001|JQ866001"	2361	5153	2793	"*"	2810	9927
"2"	"KY025538|KY025538"	1744	2186	"+"	2	239.879	166	1.16508e-64	1526	1974	1744	1	1	316	316	10	451	10354	9927	"JQ866001|JQ866001"	166	12	TRUE	"JQ866001|JQ866001"	1526	1974	449	"*"	451	9927
"16"	"KY025538|KY025538"	1684	1716	"+"	16	27.4968	17	1.0764	4216	4248	1684	1	1	25	25	NA	33	10354	9927	"JQ866001|JQ866001"	17	10	TRUE	"JQ866001|JQ866001"	4216	4248	33	"*"	33	9927
"5"	"KY025538|KY025538"	1078	1400	"+"	5	103.042	70	1.90213e-23	800	1123	1078	1	1	203	203	5	326	10354	9927	"JQ866001|JQ866001"	70	8	TRUE	"JQ866001|JQ866001"	800	1123	324	"*"	326	9927
"12"	"KY025538|KY025538"	833	871	"+"	12	43.1761	28	2.04042e-05	633	669	833	1	1	35	35	2	39	10354	9927	"JQ866001|JQ866001"	28	7	TRUE	"JQ866001|JQ866001"	633	669	37	"*"	39	9927
"19"	"KY025538|KY025538"	434	488	"+"	19	27.4968	17	1.0764	364	417	434	1	1	37	37	1	55	10354	9927	"JQ866001|JQ866001"	17	5	TRUE	"JQ866001|JQ866001"	364	417	54	"*"	55	9927
"23"	"KY025538|KY025538"	332	356	"+"	23	24.6461	15	7.77257	1860	1884	332	1	1	20	20	NA	25	10354	9927	"JQ866001|JQ866001"	15	4	TRUE	"JQ866001|JQ866001"	1860	1884	25	"*"	25	9927
"9"	"KY025538|KY025538"	64	266	"+"	9	73.1091	49	1.97012e-14	70	272	64	1	1	131	131	4	205	10354	9927	"JQ866001|JQ866001"	49	2	TRUE	"JQ866001|JQ866001"	70	272	203	"*"	205	9927
"15"	"KY025538|KY025538"	28	48	"+"	15	27.4968	17	1.0764	4927	4947	28	1	1	19	19	NA	21	10354	9927	"JQ866001|JQ866001"	17	1	TRUE	"JQ866001|JQ866001"	4927	4947	21	"*"	21	9927
